CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-05-24_00_00_00      badaguan       -1.12        2.73       0.018      288.63     1012.05       94.91        0.00        0.00        0.00        0.00
2024-05-24_00_00_00       beizhai       -1.83        2.46      -0.112      289.95     1011.97       71.15        0.00        0.00        0.00        0.00
2024-05-24_00_00_00    dengzhoulu       -1.27        2.93       0.003      289.18     1011.98       91.55        0.00        0.00        0.00        0.00
2024-05-24_00_00_00       shangma       -1.35        4.57       0.001      289.08     1011.65       90.08        0.00        0.00        0.00        0.00
2024-05-24_00_00_00    xingdenglu       -2.51        2.75      -0.056      290.76     1011.91       74.83        0.00        0.00        0.00        0.00
2024-05-24_01_00_00      badaguan       -1.02        2.51       0.015      288.58     1011.94       95.58        0.00        0.00        0.00        0.00
2024-05-24_01_00_00       beizhai       -2.00        2.71      -0.110      289.84     1011.91       73.77        0.00        0.00        0.00        0.00
2024-05-24_01_00_00    dengzhoulu       -1.15        2.68       0.000      289.03     1011.87       93.91        0.00        0.00        0.00        0.00
2024-05-24_01_00_00       shangma       -1.49        4.79       0.000      288.83     1011.69       93.41        0.00        0.00        0.00        0.00
2024-05-24_01_00_00    xingdenglu       -3.01        3.47      -0.053      290.00     1011.84       83.33        0.00        0.00        0.00        0.00
2024-05-24_02_00_00      badaguan       -0.55        2.40       0.015      288.54     1012.21       96.30        0.00        0.10        0.20        0.00
2024-05-24_02_00_00       beizhai       -1.70        2.40      -0.109      289.19     1012.28       77.01        0.00        0.00        0.00        0.00
2024-05-24_02_00_00    dengzhoulu       -0.72        2.36       0.002      288.88     1012.17       96.63        0.00        0.00        0.00        0.00
2024-05-24_02_00_00       shangma       -1.04        3.22       0.001      288.25     1012.23       95.85        0.00        0.00        0.00        0.00
2024-05-24_02_00_00    xingdenglu       -2.47        2.85      -0.059      289.90     1012.22       85.22        0.00        0.00        0.00        0.00
2024-05-24_03_00_00      badaguan       -0.93        1.78       0.009      288.45     1012.75       97.23        0.00        0.61        0.61        0.00
2024-05-24_03_00_00       beizhai       -1.62        2.12      -0.118      289.21     1012.67       76.44        0.00        0.00        0.00        0.00
2024-05-24_03_00_00    dengzhoulu       -0.93        1.87      -0.005      288.77     1012.65       98.56        0.00        0.00        0.00        0.00
2024-05-24_03_00_00       shangma       -1.33        3.05       0.003      288.29     1012.50       96.17        0.00        0.00        0.00        0.00
2024-05-24_03_00_00    xingdenglu       -2.13        2.67      -0.053      289.94     1012.56       86.05        0.00        0.00        0.00        0.00
2024-05-24_04_00_00      badaguan       -1.41        2.33       0.015      288.51     1013.04       97.25        0.00        0.81        0.81        0.00
2024-05-24_04_00_00       beizhai       -1.66        2.49      -0.066      289.37     1012.86       76.78        0.00        0.00        0.00        0.00
2024-05-24_04_00_00    dengzhoulu       -1.41        2.52      -0.000      288.86     1012.96       99.37        0.00        0.63        0.63        0.00
2024-05-24_04_00_00       shangma       -1.74        3.73       0.002      288.70     1012.49       95.93        0.00        0.00        0.00        0.00
2024-05-24_04_00_00    xingdenglu       -2.35        3.18      -0.047      289.84     1012.74       88.41        0.00        0.00        0.00        0.00
2024-05-24_05_00_00      badaguan       -2.40        1.45       0.014      288.54     1013.33       97.13        0.01        1.00        1.00        0.00
2024-05-24_05_00_00       beizhai       -1.53        1.92      -0.044      289.18     1013.29       75.80        0.00        0.00        0.00        0.00
2024-05-24_05_00_00    dengzhoulu       -2.46        1.59       0.002      288.97     1013.28       98.73        0.00        1.00        1.00        0.00
2024-05-24_05_00_00       shangma       -2.03        2.32       0.003      288.02     1013.14       98.88        0.00        0.00        0.00        0.00
2024-05-24_05_00_00    xingdenglu       -2.64        2.26      -0.050      289.56     1013.20       90.97        0.00        0.00        0.00        0.00
2024-05-24_06_00_00      badaguan       -3.66        1.10       0.009      288.30     1014.05       97.93        0.03        1.00        1.00        8.32
2024-05-24_06_00_00       beizhai       -1.67        1.88      -0.061      292.38     1013.82       70.18        0.00        0.00        0.00      110.91
2024-05-24_06_00_00    dengzhoulu       -2.99        1.43      -0.004      288.69     1013.97       98.17        0.00        1.00        1.00       10.19
2024-05-24_06_00_00       shangma       -2.47        2.59       0.000      289.13     1013.84       97.27        0.00        0.24        0.24       85.11
2024-05-24_06_00_00    xingdenglu       -2.47        2.42      -0.027      290.31     1013.80       87.98        0.00        0.00        0.00      107.82
2024-05-24_07_00_00      badaguan       -3.24        2.30       0.018      288.30     1014.28       98.01        0.00        1.00        1.00       45.38
2024-05-24_07_00_00       beizhai       -1.23        2.57      -0.008      293.73     1013.96       66.75        0.00        0.00        0.00      320.51
2024-05-24_07_00_00    dengzhoulu       -2.40        2.41       0.005      288.89     1014.19       97.66        0.00        1.00        1.00       55.16
2024-05-24_07_00_00       shangma       -1.32        3.25      -0.002      290.02     1013.98       93.49        0.00        0.27        0.27      251.67
2024-05-24_07_00_00    xingdenglu       -2.15        2.95      -0.023      291.92     1013.99       79.45        0.00        0.00        0.00      316.24
2024-05-24_08_00_00      badaguan       -2.51        3.78       0.023      288.25     1014.89       97.97        0.00        1.00        1.00      101.34
2024-05-24_08_00_00       beizhai       -1.73        4.65       0.015      293.00     1014.47       69.85        0.00        0.00        0.00      530.72
2024-05-24_08_00_00    dengzhoulu       -1.85        3.56       0.007      288.87     1014.80       96.69        0.00        1.00        1.00      124.77
2024-05-24_08_00_00       shangma       -0.56        5.42      -0.003      290.55     1014.40       93.11        0.00        0.38        0.38      394.12
2024-05-24_08_00_00    xingdenglu       -2.01        4.51      -0.023      291.80     1014.52       81.45        0.00        0.00        0.00      525.80
2024-05-24_09_00_00      badaguan       -2.31        2.23       0.013      288.40     1015.10       97.71        0.00        1.00        1.00      159.40
2024-05-24_09_00_00       beizhai       -0.86        3.52       0.021      294.01     1014.80       67.00        0.00        0.00        0.00      717.38
2024-05-24_09_00_00    dengzhoulu       -2.03        2.32      -0.001      289.26     1015.05       96.58        0.00        1.00        1.00      169.32
2024-05-24_09_00_00       shangma       -1.17        4.79      -0.001      290.99     1014.94       92.06        0.00        0.37        0.37      562.25
2024-05-24_09_00_00    xingdenglu       -1.94        3.60      -0.021      292.19     1014.91       82.28        0.00        0.00        0.00      711.95
2024-05-24_10_00_00      badaguan       -2.15        2.08       0.015      288.36     1015.60       97.99        0.00        1.00        1.00      212.87
2024-05-24_10_00_00       beizhai       -0.83        3.47       0.025      295.10     1015.29       64.01        0.00        0.00        0.00      866.36
2024-05-24_10_00_00    dengzhoulu       -2.03        2.30       0.001      289.41     1015.52       95.83        0.00        1.00        1.00      256.93
2024-05-24_10_00_00       shangma       -1.45        4.41      -0.000      293.29     1015.26       82.30        0.00        0.00        0.00      858.02
2024-05-24_10_00_00    xingdenglu       -1.34        3.68      -0.011      293.70     1015.30       77.44        0.00        0.00        0.00      860.21
2024-05-24_11_00_00      badaguan       -1.81        2.56       0.017      288.32     1015.56       97.83        0.00        1.00        1.00      243.83
2024-05-24_11_00_00       beizhai       -0.92        4.01       0.036      295.81     1015.04       62.94        0.00        0.00        0.00      964.38
2024-05-24_11_00_00    dengzhoulu       -1.86        2.87       0.002      289.37     1015.47       94.65        0.00        0.94        0.94      374.78
2024-05-24_11_00_00       shangma       -1.16        4.96      -0.001      294.87     1014.89       74.97        0.00        0.00        0.00      956.46
2024-05-24_11_00_00    xingdenglu       -0.88        4.39      -0.004      294.58     1015.01       73.63        0.00        0.00        0.00      959.31
2024-05-24_12_00_00      badaguan       -1.97        1.75       0.013      288.82     1015.15       96.32        0.00        1.00        1.00      338.32
2024-05-24_12_00_00       beizhai       -1.74        4.65       0.011      294.80     1014.85       66.60        0.00        0.00        0.00     1003.37
2024-05-24_12_00_00    dengzhoulu       -1.98        2.48      -0.002      290.51     1015.10       93.03        0.00        0.92        0.92      551.96
2024-05-24_12_00_00       shangma       -1.27        6.40      -0.001      294.94     1014.66       73.28        0.00        0.00        0.00      998.17
2024-05-24_12_00_00    xingdenglu       -2.10        4.64      -0.022      294.33     1014.85       73.60        0.00        0.00        0.00     1000.07
2024-05-24_13_00_00      badaguan       -2.29        1.57       0.016      289.49     1014.34       92.83        0.00        0.72        0.72      567.85
2024-05-24_13_00_00       beizhai       -1.25        4.38       0.026      296.86     1014.06       58.45        0.00        0.00        0.00      982.87
2024-05-24_13_00_00    dengzhoulu       -2.28        2.27       0.002      292.77     1014.24       81.78        0.00        0.00        0.00      982.82
2024-05-24_13_00_00       shangma       -1.53        5.32      -0.000      296.45     1013.90       66.53        0.00        0.00        0.00      979.16
2024-05-24_13_00_00    xingdenglu       -1.57        4.09      -0.014      296.30     1013.98       66.14        0.00        0.00        0.00      978.84
2024-05-24_14_00_00      badaguan       -2.76        2.66       0.023      289.39     1014.05       93.27        0.00        0.72        0.72      577.95
2024-05-24_14_00_00       beizhai       -1.40        4.63       0.022      297.24     1013.80       56.67        0.00        0.00        0.00      902.91
2024-05-24_14_00_00    dengzhoulu       -2.51        3.12       0.004      292.71     1013.94       81.65        0.00        0.00        0.00      904.12
2024-05-24_14_00_00       shangma       -1.02        4.99      -0.001      297.81     1013.60       60.19        0.00        0.00        0.00      900.60
2024-05-24_14_00_00    xingdenglu       -1.70        4.27      -0.015      297.47     1013.67       59.97        0.00        0.00        0.00      899.98
2024-05-24_15_00_00      badaguan       -2.82        2.73       0.022      289.23     1014.37       93.94        0.00        0.72        0.80      392.39
2024-05-24_15_00_00       beizhai       -1.65        4.45       0.015      296.89     1014.06       57.43        0.00        0.00        0.00      769.09
2024-05-24_15_00_00    dengzhoulu       -2.81        3.13       0.002      291.79     1014.27       86.00        0.00        0.00        0.15      765.77
2024-05-24_15_00_00       shangma       -1.34        6.08      -0.001      296.89     1013.68       64.34        0.00        0.00        0.11      765.11
2024-05-24_15_00_00    xingdenglu       -2.37        4.56      -0.024      296.53     1013.86       64.78        0.00        0.00        0.00      767.83
2024-05-24_16_00_00      badaguan       -3.26        2.96       0.021      288.96     1014.46       95.17        0.00        0.93        0.93      199.54
2024-05-24_16_00_00       beizhai       -2.84        5.34      -0.015      294.99     1014.12       65.61        0.00        0.00        0.00      593.30
2024-05-24_16_00_00    dengzhoulu       -3.49        3.30      -0.002      290.32     1014.40       93.13        0.00        0.72        0.72      358.44
2024-05-24_16_00_00       shangma       -2.19        6.52       0.000      295.26     1013.96       71.81        0.00        0.00        0.00      593.82
2024-05-24_16_00_00    xingdenglu       -3.63        4.85      -0.042      294.27     1014.09       74.87        0.00        0.00        0.00      592.70
2024-05-24_17_00_00      badaguan       -4.07        1.80       0.012      288.90     1014.29       95.56        0.01        1.00        1.00       53.90
2024-05-24_17_00_00       beizhai       -2.93        5.34      -0.021      294.54     1013.82       66.19        0.00        0.00        1.00      349.92
2024-05-24_17_00_00    dengzhoulu       -4.03        2.42      -0.008      290.00     1014.21       95.14        0.00        0.94        1.00       80.81
2024-05-24_17_00_00       shangma       -3.37        6.63       0.001      292.54     1013.56       85.00        0.00        0.00        1.00      183.41
2024-05-24_17_00_00    xingdenglu       -3.67        4.49      -0.047      292.41     1013.90       84.10        0.00        0.00        1.00      297.25
2024-05-24_18_00_00      badaguan       -4.09        1.65       0.012      288.82     1014.78       95.69        0.03        1.00        1.00        0.17
2024-05-24_18_00_00       beizhai       -2.25        4.22       0.011      292.92     1014.27       70.16        0.00        0.00        1.00       29.33
2024-05-24_18_00_00    dengzhoulu       -4.11        2.23      -0.007      289.58     1014.69       96.35        0.00        1.00        1.00        1.49
2024-05-24_18_00_00       shangma       -2.70        5.74       0.001      291.22     1014.27       92.30        0.00        0.00        0.51      176.83
2024-05-24_18_00_00    xingdenglu       -3.49        4.51      -0.028      291.03     1014.33       89.56        0.00        0.12        1.00       68.82
2024-05-24_19_00_00      badaguan       -5.61        1.48       0.012      288.70     1015.46       96.01        0.03        1.00        1.00        0.01
2024-05-24_19_00_00       beizhai       -3.01        3.83      -0.038      293.21     1014.89       60.66        0.00        0.00        0.00        5.00
2024-05-24_19_00_00    dengzhoulu       -4.94        2.11      -0.008      289.26     1015.37       96.79        0.00        1.00        1.00        0.02
2024-05-24_19_00_00       shangma       -2.84        5.26       0.001      290.00     1015.11       96.83        0.00        0.89        0.89        0.43
2024-05-24_19_00_00    xingdenglu       -3.83        4.17      -0.030      290.45     1015.06       90.38        0.00        0.14        0.14        4.60
2024-05-24_20_00_00      badaguan       -6.27        2.15       0.016      288.47     1015.52       96.45        0.05        1.00        1.00        0.00
2024-05-24_20_00_00       beizhai       -4.30        4.09      -0.092      293.58     1014.94       54.91        0.00        0.00        0.00        0.00
2024-05-24_20_00_00    dengzhoulu       -5.39        2.30      -0.008      288.69     1015.42       96.93        0.01        1.00        1.00        0.00
2024-05-24_20_00_00       shangma       -3.17        4.74       0.001      289.74     1015.33       96.57        0.00        0.97        1.00        0.00
2024-05-24_20_00_00    xingdenglu       -4.46        4.24      -0.047      290.79     1015.17       83.85        0.00        0.00        0.00        0.00
2024-05-24_21_00_00      badaguan       -6.03        2.00       0.014      288.13     1015.33       97.87        0.06        1.00        1.00        0.00
2024-05-24_21_00_00       beizhai       -3.66        3.58      -0.080      293.18     1014.54       53.65        0.00        0.00        1.00        0.00
2024-05-24_21_00_00    dengzhoulu       -5.08        2.45      -0.007      288.23     1015.22       97.06        0.01        1.00        1.00        0.00
2024-05-24_21_00_00       shangma       -1.94        3.63      -0.000      288.99     1015.19       97.02        0.00        0.00        0.01        0.00
2024-05-24_21_00_00    xingdenglu       -3.82        4.03      -0.038      290.27     1014.93       83.63        0.00        0.00        1.00        0.00
2024-05-24_22_00_00      badaguan       -5.33        2.05       0.014      288.02     1016.38       98.29        0.04        1.00        1.00        0.00
2024-05-24_22_00_00       beizhai       -3.10        3.83      -0.050      292.00     1015.75       61.07        0.00        0.00        0.78        0.00
2024-05-24_22_00_00    dengzhoulu       -4.42        2.52      -0.005      288.07     1016.27       97.25        0.00        1.00        1.00        0.00
2024-05-24_22_00_00       shangma       -2.14        4.42      -0.000      288.48     1016.01       97.77        0.00        0.24        1.00        0.00
2024-05-24_22_00_00    xingdenglu       -3.17        3.63      -0.030      289.32     1016.19       90.29        0.00        0.00        1.00        0.00
2024-05-24_23_00_00      badaguan       -4.99        2.25       0.016      287.86     1016.94       98.84        0.04        1.00        1.00        0.00
2024-05-24_23_00_00       beizhai       -3.65        5.13      -0.061      291.10     1016.26       71.17        0.00        0.00        0.58        0.00
2024-05-24_23_00_00    dengzhoulu       -4.12        2.71      -0.004      287.79     1016.84       97.29        0.01        1.00        1.00        0.00
2024-05-24_23_00_00       shangma       -2.02        5.16      -0.000      288.11     1016.60       97.50        0.00        0.92        0.92        0.00
2024-05-24_23_00_00    xingdenglu       -3.53        4.41      -0.033      288.66     1016.63       95.81        0.00        0.14        0.14        0.00
2024-05-25_00_00_00      badaguan       -4.71        1.73       0.013      287.97     1017.13       98.64        0.02        1.00        1.00        0.00
2024-05-25_00_00_00       beizhai       -3.68        5.34      -0.078      289.45     1016.53       88.89        0.00        0.00        1.00        0.00
2024-05-25_00_00_00    dengzhoulu       -3.76        2.10      -0.004      288.04     1017.09       97.68        0.02        1.00        1.00        0.00
2024-05-25_00_00_00       shangma       -2.11        5.45      -0.000      288.08     1016.73       97.59        0.00        1.00        1.00        0.00
2024-05-25_00_00_00    xingdenglu       -3.16        3.75      -0.030      288.53     1016.94       97.65        0.00        0.99        1.00        0.00
2024-05-25_01_00_00      badaguan       -4.28        1.87       0.012      288.10     1016.78       98.10        0.03        1.00        1.00        0.00
2024-05-25_01_00_00       beizhai       -3.45        5.03      -0.089      289.12     1016.32       96.03        0.00        0.82        1.00        0.00
2024-05-25_01_00_00    dengzhoulu       -3.37        2.21      -0.005      288.16     1016.68       97.82        0.01        1.00        1.00        0.00
2024-05-25_01_00_00       shangma       -2.00        4.70      -0.000      288.41     1016.42       97.90        0.00        1.00        1.00        0.00
2024-05-25_01_00_00    xingdenglu       -2.91        3.62      -0.027      288.71     1016.61       97.72        0.00        1.00        1.00        0.00
2024-05-25_02_00_00      badaguan       -3.39        2.42       0.017      288.18     1016.88       98.02        0.09        1.00        1.00        0.00
2024-05-25_02_00_00       beizhai       -3.30        4.97      -0.093      288.80     1016.68       97.41        0.00        0.82        1.00        0.00
2024-05-25_02_00_00    dengzhoulu       -2.89        2.75       0.000      288.36     1016.77       98.02        0.03        1.00        1.00        0.00
2024-05-25_02_00_00       shangma       -1.59        4.25       0.000      288.48     1016.81       98.07        0.01        1.00        1.00        0.00
2024-05-25_02_00_00    xingdenglu       -2.78        3.80      -0.029      288.80     1016.76       97.71        0.00        1.00        1.00        0.00
2024-05-25_03_00_00      badaguan       -3.31        2.99       0.018      288.15     1016.77       98.42        0.12        1.00        1.00        0.00
2024-05-25_03_00_00       beizhai       -2.95        4.99      -0.076      289.00     1016.38       96.72        0.00        0.82        0.82        0.00
2024-05-25_03_00_00    dengzhoulu       -2.59        3.01       0.002      288.47     1016.66       98.13        0.04        1.00        1.00        0.00
2024-05-25_03_00_00       shangma       -1.33        4.57      -0.000      288.52     1016.48       98.20        0.00        1.00        1.00        0.00
2024-05-25_03_00_00    xingdenglu       -2.39        3.82      -0.025      288.97     1016.54       97.80        0.00        1.00        1.00        0.00
2024-05-25_04_00_00      badaguan       -1.76        3.12       0.015      288.26     1017.04       97.96        0.11        1.00        1.00        0.00
2024-05-25_04_00_00       beizhai       -2.54        4.61      -0.065      288.85     1016.93       98.24        0.00        0.82        0.82        0.00
2024-05-25_04_00_00    dengzhoulu       -1.72        3.13       0.001      288.57     1017.00       98.29        0.08        1.00        1.00        0.00
2024-05-25_04_00_00       shangma       -1.74        4.65      -0.000      288.69     1016.92       98.43        0.04        1.00        1.00        0.00
2024-05-25_04_00_00    xingdenglu       -2.09        3.56      -0.022      288.93     1016.99       97.81        0.02        1.00        1.00        0.00
2024-05-25_05_00_00      badaguan       -2.18        2.51       0.019      288.21     1017.12       98.21        0.04        1.00        1.00        0.00
2024-05-25_05_00_00       beizhai       -2.35        3.87      -0.070      289.22     1016.94       98.13        0.00        0.82        1.00        0.00
2024-05-25_05_00_00    dengzhoulu       -1.95        2.69       0.004      288.55     1017.03       98.23        0.04        1.00        1.00        0.00
2024-05-25_05_00_00       shangma       -2.09        4.12       0.002      288.82     1016.97       98.57        0.05        1.00        1.00        0.00
2024-05-25_05_00_00    xingdenglu       -2.41        3.34      -0.026      288.98     1017.03       97.86        0.04        1.00        1.00        0.00
2024-05-25_06_00_00      badaguan       -1.81        3.58       0.024      287.42     1017.50       98.84        0.02        1.00        1.00        0.00
2024-05-25_06_00_00       beizhai       -2.58        4.02      -0.072      289.39     1017.10       97.41        0.00        0.82        1.00        4.91
2024-05-25_06_00_00    dengzhoulu       -1.76        3.00       0.007      287.61     1017.43       97.57        0.02        1.00        1.00        0.00
2024-05-25_06_00_00       shangma       -2.05        4.00       0.001      288.83     1017.23       98.62        0.04        1.00        1.00        0.00
2024-05-25_06_00_00    xingdenglu       -2.45        3.51      -0.023      288.91     1017.29       97.92        0.00        1.00        1.00        0.00
2024-05-25_07_00_00      badaguan       -2.60        3.44       0.024      287.38     1017.55       98.77        0.02        1.00        1.00       31.20
2024-05-25_07_00_00       beizhai       -2.84        4.47      -0.068      289.38     1017.25       96.37        0.00        0.82        0.83       93.60
2024-05-25_07_00_00    dengzhoulu       -2.26        2.95       0.006      287.48     1017.47       97.31        0.01        1.00        1.00       32.31
2024-05-25_07_00_00       shangma       -2.27        4.51       0.001      288.26     1017.31       97.75        0.01        1.00        1.00       29.17
2024-05-25_07_00_00    xingdenglu       -2.79        3.68      -0.026      288.32     1017.43       97.50        0.00        1.00        1.00       36.89
2024-05-25_08_00_00      badaguan       -2.95        3.21       0.023      287.52     1017.65       98.76        0.01        1.00        1.00       44.24
2024-05-25_08_00_00       beizhai       -2.86        4.98      -0.050      289.72     1017.21       92.33        0.00        0.82        1.00      168.21
2024-05-25_08_00_00    dengzhoulu       -2.54        2.84       0.005      287.66     1017.58       97.23        0.00        1.00        1.00       46.48
2024-05-25_08_00_00       shangma       -2.11        4.99       0.000      288.13     1017.37       97.06        0.00        1.00        1.00       79.26
2024-05-25_08_00_00    xingdenglu       -2.80        3.94      -0.029      288.33     1017.45       97.23        0.00        1.00        1.00       66.89
2024-05-25_09_00_00      badaguan       -2.52        2.40       0.016      287.67     1017.12       98.71        0.00        1.00        1.00       86.17
2024-05-25_09_00_00       beizhai       -1.93        4.84      -0.013      290.76     1016.95       85.52        0.00        0.39        1.00      520.08
2024-05-25_09_00_00    dengzhoulu       -2.23        2.27       0.002      287.90     1017.11       96.97        0.00        1.00        1.00       93.17
2024-05-25_09_00_00       shangma       -1.99        4.92      -0.000      288.47     1016.92       96.33        0.00        1.00        1.00      152.59
2024-05-25_09_00_00    xingdenglu       -2.77        3.30      -0.032      288.74     1017.13       95.45        0.00        1.00        1.00      172.88
2024-05-25_10_00_00      badaguan       -3.90        2.84       0.017      287.87     1016.49       98.47        0.00        1.00        1.00      188.00
2024-05-25_10_00_00       beizhai       -2.12        6.07       0.001      292.19     1016.09       78.13        0.00        0.00        0.00      879.00
2024-05-25_10_00_00    dengzhoulu       -3.23        2.80      -0.003      288.34     1016.44       95.90        0.00        1.00        1.00      205.23
2024-05-25_10_00_00       shangma       -2.55        5.20       0.001      288.93     1016.01       95.46        0.00        1.00        1.00      234.49
2024-05-25_10_00_00    xingdenglu       -3.04        4.89      -0.030      290.31     1016.20       87.12        0.00        0.76        0.76      512.78
2024-05-25_11_00_00      badaguan       -4.41        2.18       0.017      287.98     1016.36       98.39        0.00        1.00        1.00      213.13
2024-05-25_11_00_00       beizhai       -2.30        5.96      -0.003      292.39     1016.07       74.85        0.00        0.00        0.00      980.23
2024-05-25_11_00_00    dengzhoulu       -3.51        2.72      -0.003      288.60     1016.25       95.08        0.00        1.00        1.00      273.75
2024-05-25_11_00_00       shangma       -2.04        6.36      -0.000      290.71     1016.16       86.55        0.00        0.90        0.90      577.34
2024-05-25_11_00_00    xingdenglu       -2.52        5.39      -0.025      292.02     1016.07       77.48        0.00        0.00        0.00      976.87
2024-05-25_12_00_00      badaguan       -4.16        1.84       0.009      288.49     1015.90       95.59        0.00        0.92        0.94      474.29
2024-05-25_12_00_00       beizhai       -1.85        5.99       0.005      293.18     1015.61       68.26        0.00        0.00        0.00     1024.06
2024-05-25_12_00_00    dengzhoulu       -2.95        2.98      -0.006      290.24     1015.83       84.53        0.00        0.70        0.80      829.62
