CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-05-19_00_00_00      badaguan       -5.35        2.80       0.016      288.07     1013.95       92.79        0.00        1.00        1.00        0.00
2024-05-19_00_00_00       beizhai       -5.43        6.12      -0.166      289.86     1014.20       85.93        0.00        0.00        0.00        0.00
2024-05-19_00_00_00    dengzhoulu       -3.91        3.41      -0.010      288.77     1013.81       97.60        0.00        0.82        0.82        0.00
2024-05-19_00_00_00       shangma       -3.21        8.11       0.001      289.36     1013.32       94.69        0.00        0.00        0.00        0.00
2024-05-19_00_00_00    xingdenglu       -4.74        4.22      -0.075      289.29     1013.89       92.34        0.00        0.00        0.00        0.00
2024-05-19_01_00_00      badaguan       -5.98        2.77       0.014      288.00     1014.56       93.07        0.00        1.00        1.00        0.00
2024-05-19_01_00_00       beizhai       -5.31        6.22      -0.149      289.51     1014.84       90.67        0.00        0.00        0.00        0.00
2024-05-19_01_00_00    dengzhoulu       -4.22        3.57      -0.012      288.72     1014.41       97.58        0.00        0.82        0.82        0.00
2024-05-19_01_00_00       shangma       -3.35        7.83       0.001      289.31     1013.96       95.69        0.00        0.00        0.00        0.00
2024-05-19_01_00_00    xingdenglu       -5.37        4.43      -0.081      289.27     1014.38       93.09        0.00        0.12        0.12        0.00
2024-05-19_02_00_00      badaguan       -5.89        3.42       0.022      287.96     1014.68       93.43        0.01        1.00        1.00        0.00
2024-05-19_02_00_00       beizhai       -4.99        6.29      -0.142      288.79     1015.02       95.92        0.00        0.00        0.00        0.00
2024-05-19_02_00_00    dengzhoulu       -4.22        4.25      -0.006      288.64     1014.53       98.52        0.00        0.89        0.89        0.00
2024-05-19_02_00_00       shangma       -3.23        8.20       0.000      288.97     1014.07       97.66        0.00        0.00        0.00        0.00
2024-05-19_02_00_00    xingdenglu       -4.71        4.94      -0.070      288.84     1014.56       95.73        0.00        0.13        0.13        0.00
2024-05-19_03_00_00      badaguan       -5.89        3.27       0.019      287.78     1014.98       94.24        0.03        1.00        1.00        0.00
2024-05-19_03_00_00       beizhai       -4.66        6.17      -0.122      288.83     1015.24       95.61        0.00        0.00        0.00        0.00
2024-05-19_03_00_00    dengzhoulu       -3.98        4.07      -0.005      288.50     1014.85       98.46        0.00        0.97        0.97        0.00
2024-05-19_03_00_00       shangma       -2.45        8.25      -0.001      288.85     1014.57       99.22        0.00        0.21        0.21        0.00
2024-05-19_03_00_00    xingdenglu       -4.42        4.63      -0.063      288.90     1014.93       96.36        0.00        0.65        0.65        0.00
2024-05-19_04_00_00      badaguan       -5.59        1.90      -0.001      287.80     1015.12       93.82        0.04        1.00        1.00        0.00
2024-05-19_04_00_00       beizhai       -4.34        6.04      -0.115      288.57     1015.22       95.88        0.00        0.00        0.00        0.00
2024-05-19_04_00_00    dengzhoulu       -3.83        2.91      -0.019      288.33     1014.99       98.30        0.00        1.00        1.00        0.00
2024-05-19_04_00_00       shangma       -2.71        7.67      -0.001      288.65     1014.62       98.72        0.00        0.99        0.99        0.00
2024-05-19_04_00_00    xingdenglu       -4.08        4.95      -0.052      288.57     1014.94       97.38        0.00        0.65        0.65        0.00
2024-05-19_05_00_00      badaguan       -5.58        2.38       0.005      287.67     1015.71       94.45        0.02        1.00        1.00        0.00
2024-05-19_05_00_00       beizhai       -4.70        6.67      -0.114      288.05     1015.64       98.61        0.00        0.36        0.36        0.00
2024-05-19_05_00_00    dengzhoulu       -3.56        3.40      -0.014      288.24     1015.62       98.33        0.00        1.00        1.00        0.00
2024-05-19_05_00_00       shangma       -1.73        7.69      -0.001      288.37     1015.38       98.62        0.00        1.00        1.00        0.00
2024-05-19_05_00_00    xingdenglu       -3.47        5.01      -0.041      288.36     1015.67       97.60        0.00        1.00        1.00        0.00
2024-05-19_06_00_00      badaguan       -4.54        2.91       0.020      287.60     1016.21       94.91        0.05        1.00        1.00        0.49
2024-05-19_06_00_00       beizhai       -3.99        6.80      -0.084      287.98     1016.02       98.55        0.00        0.82        0.83       22.91
2024-05-19_06_00_00    dengzhoulu       -3.22        3.58      -0.004      288.25     1016.06       98.41        0.01        1.00        1.00        0.00
2024-05-19_06_00_00       shangma       -3.21        7.57       0.001      288.42     1015.41       98.73        0.00        1.00        1.00        0.00
2024-05-19_06_00_00    xingdenglu       -2.96        5.19      -0.035      288.46     1015.93       97.61        0.00        1.00        1.00        0.00
2024-05-19_07_00_00      badaguan       -3.87        2.94       0.021      287.48     1016.92       95.43        0.08        1.00        1.00       26.43
2024-05-19_07_00_00       beizhai       -3.57        5.86      -0.080      288.09     1016.95       98.27        0.00        1.00        1.00       21.60
2024-05-19_07_00_00    dengzhoulu       -3.28        3.34       0.000      288.20     1016.81       97.96        0.03        1.00        1.00       29.82
2024-05-19_07_00_00       shangma       -2.76        6.64       0.001      288.64     1016.55       98.37        0.00        1.00        1.00       19.14
2024-05-19_07_00_00    xingdenglu       -3.41        3.76      -0.057      288.54     1016.82       97.23        0.00        1.00        1.00       38.32
2024-05-19_08_00_00      badaguan       -4.44        2.37       0.013      287.52     1016.97       95.20        0.02        1.00        1.00       69.36
