CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-30_00_00_00      badaguan        1.39       -0.03      -0.004      295.66      999.04       97.22        0.00        0.00        0.83        0.00
2024-06-30_00_00_00       beizhai        0.05        0.73      -0.034      293.03      999.29       95.35        0.00        0.00        0.00        0.00
2024-06-30_00_00_00    dengzhoulu        1.07       -0.00       0.004      295.44      999.09       96.39        0.00        0.00        0.90        0.00
2024-06-30_00_00_00       shangma        2.67        0.21      -0.004      295.18      999.08       97.36        0.00        0.00        1.00        0.00
2024-06-30_00_00_00    xingdenglu        0.97        0.42       0.013      295.08      999.07       97.13        0.00        0.00        0.00        0.00
2024-06-30_01_00_00      badaguan        3.01       -1.80      -0.015      295.50      999.10       95.61        0.00        0.00        0.00        0.00
2024-06-30_01_00_00       beizhai        0.64       -0.82      -0.049      292.84      999.37       93.91        0.00        0.00        0.00        0.00
2024-06-30_01_00_00    dengzhoulu        2.20       -1.07       0.000      294.97      999.15       97.06        0.00        0.00        0.00        0.00
2024-06-30_01_00_00       shangma        2.18       -1.13      -0.002      294.05      999.30       99.81        0.00        0.00        0.00        0.00
2024-06-30_01_00_00    xingdenglu        2.09       -1.23       0.030      294.58      999.23       99.37        0.00        0.00        0.00        0.00
2024-06-30_02_00_00      badaguan        2.94       -3.44      -0.019      295.05      998.96       97.88        0.00        0.00        0.00        0.00
2024-06-30_02_00_00       beizhai        0.40       -2.28      -0.073      292.10      999.19       99.99        0.00        0.00        0.00        0.00
2024-06-30_02_00_00    dengzhoulu        1.80       -2.33      -0.005      294.59      999.02       99.16        0.00        0.00        0.00        0.00
2024-06-30_02_00_00       shangma        1.57       -1.66      -0.002      293.52      999.11       99.24        0.00        0.10        0.10        0.00
2024-06-30_02_00_00    xingdenglu        1.48       -2.63       0.005      294.53      999.13       99.29        0.00        0.71        0.71        0.00
2024-06-30_03_00_00      badaguan        0.78       -2.85      -0.015      294.76      999.42       98.20        0.00        0.15        0.15        0.00
2024-06-30_03_00_00       beizhai       -0.99       -1.85      -0.086      293.23      999.60       96.13        0.00        0.77        0.77        0.00
2024-06-30_03_00_00    dengzhoulu        0.25       -1.85      -0.009      294.38      999.45       99.17        0.00        0.62        0.62        0.00
2024-06-30_03_00_00       shangma        1.49       -1.03      -0.002      292.79      999.38       99.22        0.00        0.00        0.00        0.00
2024-06-30_03_00_00    xingdenglu       -0.87       -1.44      -0.010      294.32      999.44       99.23        0.00        0.88        0.88        0.00
2024-06-30_04_00_00      badaguan        0.67       -1.11      -0.005      294.38      999.95       98.80        0.00        0.00        0.00        0.00
2024-06-30_04_00_00       beizhai       -0.56       -0.62      -0.053      293.02      999.95       82.94        0.00        0.00        0.00        0.00
2024-06-30_04_00_00    dengzhoulu        0.30       -0.79      -0.002      293.70      999.92      100.00        0.00        0.02        0.02        0.00
2024-06-30_04_00_00       shangma        1.43       -0.25      -0.002      292.28      999.61       99.28        0.00        0.00        0.00        0.00
2024-06-30_04_00_00    xingdenglu       -0.25        0.07       0.001      294.43      999.77       97.63        0.00        1.00        1.00        0.00
2024-06-30_05_00_00      badaguan       -0.93        1.10       0.006      294.47     1000.74       98.99        0.00        0.21        0.21        0.00
2024-06-30_05_00_00       beizhai       -1.63        2.20      -0.076      292.91     1000.90       85.50        0.00        0.00        1.00        0.00
2024-06-30_05_00_00    dengzhoulu       -0.71        1.06      -0.001      293.90     1000.75       99.54        0.00        0.90        0.90        0.00
2024-06-30_05_00_00       shangma        0.41        1.60      -0.002      291.62     1000.72       98.02        0.00        0.00        0.00        0.00
2024-06-30_05_00_00    xingdenglu       -0.56        1.63       0.003      294.38     1000.75       97.69        0.00        0.99        0.99        0.00
2024-06-30_06_00_00      badaguan        0.29       -0.23      -0.005      294.60     1000.59       98.73        0.00        0.28        0.28       82.01
2024-06-30_06_00_00       beizhai       -1.55        2.33      -0.037      296.22     1000.72       75.80        0.00        0.00        0.00      111.51
2024-06-30_06_00_00    dengzhoulu        0.22       -0.10      -0.003      293.99     1000.62       99.32        0.00        1.00        1.00       16.75
2024-06-30_06_00_00       shangma       -0.03        1.08      -0.000      293.77     1000.74       95.53        0.00        0.24        0.24       84.79
2024-06-30_06_00_00    xingdenglu        0.20        0.99       0.014      294.47     1000.65       97.64        0.00        0.24        0.24       85.84
2024-06-30_07_00_00      badaguan        0.36        0.03      -0.006      294.42     1001.14       99.07        0.00        0.58        0.58      168.71
2024-06-30_07_00_00       beizhai       -0.11        2.71       0.022      296.96     1001.26       75.53        0.00        0.00        0.00      316.91
2024-06-30_07_00_00    dengzhoulu        0.31        0.18      -0.004      294.08     1001.18       98.63        0.00        1.00        1.00       66.09
2024-06-30_07_00_00       shangma        0.29        1.24      -0.001      295.76     1001.09       84.17        0.00        0.00        0.00      312.60
2024-06-30_07_00_00    xingdenglu        0.94        0.79       0.019      294.82     1001.17       95.58        0.00        0.24        0.24      251.48
2024-06-30_08_00_00      badaguan       -0.71        0.44       0.004      295.10     1001.24       94.98        0.00        0.30        0.58      433.63
2024-06-30_08_00_00       beizhai       -0.07        2.38       0.026      297.41     1001.41       76.81        0.00        0.00        1.00      425.16
