CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-29_00_00_00      badaguan       -5.23        2.66       0.019      295.21     1004.64       95.52        0.00        0.00        0.00        0.00
2024-06-29_00_00_00       beizhai       -4.81        4.45      -0.136      293.80     1004.75       89.21        0.00        0.00        1.00        0.00
2024-06-29_00_00_00    dengzhoulu       -4.18        2.33      -0.004      294.94     1004.62       95.33        0.00        0.00        0.00        0.00
2024-06-29_00_00_00       shangma       -3.64        4.48       0.002      294.52     1004.41       97.19        0.00        0.00        1.00        0.00
2024-06-29_00_00_00    xingdenglu       -5.04        3.84      -0.062      294.64     1004.45       94.97        0.00        0.00        0.86        0.00
2024-06-29_01_00_00      badaguan       -5.83        1.79       0.013      295.31     1004.13       96.41        0.00        1.00        1.00        0.00
2024-06-29_01_00_00       beizhai       -4.74        3.91      -0.155      293.83     1004.34       95.24        0.00        0.00        0.00        0.00
2024-06-29_01_00_00    dengzhoulu       -4.58        1.88      -0.007      295.27     1004.14       94.88        0.00        1.00        1.00        0.00
2024-06-29_01_00_00       shangma       -3.78        3.86       0.003      294.38     1003.99       98.07        0.00        0.00        0.75        0.00
2024-06-29_01_00_00    xingdenglu       -4.82        3.27      -0.058      294.85     1004.04       95.43        0.00        0.44        0.44        0.00
2024-06-29_02_00_00      badaguan       -6.67        0.36       0.006      295.31     1003.35       97.96        0.02        1.00        1.00        0.00
2024-06-29_02_00_00       beizhai       -5.11        3.79      -0.139      294.68     1003.74       98.39        0.00        0.62        1.00        0.00
2024-06-29_02_00_00    dengzhoulu       -4.98        0.77      -0.012      295.27     1003.41       96.90        0.02        1.00        1.00        0.00
2024-06-29_02_00_00       shangma       -4.34        2.96       0.004      295.17     1003.48       97.09        0.00        1.00        1.00        0.00
2024-06-29_02_00_00    xingdenglu       -5.07        2.84      -0.053      295.41     1003.42       96.07        0.00        1.00        1.00        0.00
2024-06-29_03_00_00      badaguan       -5.96        2.54       0.020      295.42     1003.58       99.16        0.02        1.00        1.00        0.00
2024-06-29_03_00_00       beizhai       -5.37        3.92      -0.136      294.79     1003.39       95.70        0.00        0.00        1.00        0.00
2024-06-29_03_00_00    dengzhoulu       -4.56        2.06      -0.000      295.38     1003.63       98.70        0.01        1.00        1.00        0.00
2024-06-29_03_00_00       shangma       -3.89        3.03       0.004      295.72     1003.39       95.44        0.00        0.96        1.00        0.00
2024-06-29_03_00_00    xingdenglu       -4.88        3.42      -0.051      295.69     1003.19       95.50        0.00        0.65        1.00        0.00
2024-06-29_04_00_00      badaguan       -6.43        2.64       0.019      295.52     1002.97       99.06        0.05        1.00        1.00        0.00
2024-06-29_04_00_00       beizhai       -4.92        4.81      -0.098      294.82     1003.49       99.83        0.04        0.71        1.00        0.00
2024-06-29_04_00_00    dengzhoulu       -4.89        2.26      -0.003      295.58     1003.02       99.53        0.06        1.00        1.00        0.00
2024-06-29_04_00_00       shangma       -4.50        3.69       0.003      295.42     1003.53       99.01        0.00        1.00        1.00        0.00
2024-06-29_04_00_00    xingdenglu       -4.51        3.29      -0.046      295.44     1003.48       99.40        0.02        1.00        1.00        0.00
2024-06-29_05_00_00      badaguan       -6.50        2.95       0.022      295.65     1002.21       98.44        0.01        1.00        1.00        0.00
2024-06-29_05_00_00       beizhai       -4.96        4.23      -0.112      295.58     1002.11       89.63        0.01        0.00        1.00        0.00
2024-06-29_05_00_00    dengzhoulu       -4.78        2.55       0.001      295.67     1002.38       99.45        0.00        1.00        1.00        0.00
2024-06-29_05_00_00       shangma       -3.91        0.37       0.005      295.65     1002.06       97.71        0.00        0.76        1.00        0.00
2024-06-29_05_00_00    xingdenglu       -3.42        3.57      -0.038      295.88     1002.63       96.31        0.00        0.17        1.00        0.00
2024-06-29_06_00_00      badaguan       -7.14        0.08       0.004      295.62     1001.51       98.62        0.53        1.00        1.00        0.00
2024-06-29_06_00_00       beizhai       -5.65        2.27      -0.152      295.62     1001.95       94.01        0.09        0.79        1.00        1.01
2024-06-29_06_00_00    dengzhoulu       -5.44        0.27      -0.013      295.69     1001.61       99.32        0.34        1.00        1.00        0.00
2024-06-29_06_00_00       shangma       -4.09        0.69       0.005      296.07     1001.82       93.41        0.01        1.00        1.00        0.00
2024-06-29_06_00_00    xingdenglu       -4.84        1.94      -0.061      296.24     1001.89       94.01        0.02        1.00        1.00        0.00
2024-06-29_07_00_00      badaguan       -7.96       -0.02       0.005      295.61     1000.60       98.55        1.41        0.91        1.00       12.86
2024-06-29_07_00_00       beizhai       -4.74        2.21      -0.099      296.29     1001.02       89.78        0.15        0.00        1.00       78.62
2024-06-29_07_00_00    dengzhoulu       -5.97        0.35      -0.014      295.72     1000.61       98.65        1.38        0.92        1.00       14.09
2024-06-29_07_00_00       shangma       -3.43        0.66       0.004      296.74     1000.66       89.91        0.00        0.61        1.00       28.58
2024-06-29_07_00_00    xingdenglu       -5.56        2.55      -0.064      296.55     1000.64       91.32        0.16        0.00        1.00       39.98
2024-06-29_08_00_00      badaguan       -8.95        0.74       0.012      295.71     1000.16       98.06        0.24        0.90        1.00       13.31
2024-06-29_08_00_00       beizhai       -7.71        3.15      -0.186      296.46     1000.34       90.11        0.45        0.00        1.00       54.03
2024-06-29_08_00_00    dengzhoulu       -6.66        0.96      -0.010      295.79     1000.14       98.70        0.31        0.79        1.00       14.73
2024-06-29_08_00_00       shangma       -4.94       -1.02       0.006      296.82     1000.59       90.34        0.05        0.53        1.00       57.97
2024-06-29_08_00_00    xingdenglu       -5.33        1.49      -0.058      296.75     1000.26       90.99        0.31        0.00        1.00       40.96
2024-06-29_09_00_00      badaguan       -8.17       -0.83       0.002      295.76      999.54       97.82        0.16        0.84        1.00       38.70
2024-06-29_09_00_00       beizhai       -6.39        0.26      -0.169      296.34     1000.03       92.31        0.01        0.00        1.00       63.41
2024-06-29_09_00_00    dengzhoulu       -6.41        0.02      -0.016      296.14      999.65       96.88        0.10        0.91        1.00       47.17
2024-06-29_09_00_00       shangma       -6.12       -2.18       0.008      297.11      999.93       90.08        0.02        0.00        1.00       96.99
2024-06-29_09_00_00    xingdenglu       -2.24        0.83      -0.035      297.36      999.93       87.90        0.02        0.00        1.00       52.47
2024-06-29_10_00_00      badaguan       -5.62       -0.92      -0.003      295.81      999.07       97.82        0.95        1.00        1.00       26.84
2024-06-29_10_00_00       beizhai       -5.26       -0.24      -0.154      297.06      999.42       89.14        0.16        0.08        1.00      156.42
2024-06-29_10_00_00    dengzhoulu       -4.73       -0.65      -0.014      296.29      999.06       96.96        0.76        1.00        1.00       62.95
2024-06-29_10_00_00       shangma       -5.66       -1.86       0.008      296.90      999.37       92.20        0.24        1.00        1.00       37.76
2024-06-29_10_00_00    xingdenglu       -4.35        0.74      -0.060      297.65      999.18       87.45        0.26        0.85        1.00       82.35
2024-06-29_11_00_00      badaguan       -5.22        0.90       0.009      295.81      998.86       98.07        5.56        1.00        1.00       23.45
2024-06-29_11_00_00       beizhai       -4.05        2.61      -0.071      296.34      999.15       93.84        3.17        0.49        1.00       51.82
2024-06-29_11_00_00    dengzhoulu       -4.27        1.06      -0.005      296.16      998.93       98.61        6.86        0.98        1.00       25.47
2024-06-29_11_00_00       shangma       -5.93       -2.35       0.009      297.28      998.98       90.53        0.68        0.72        1.00      116.12
2024-06-29_11_00_00    xingdenglu       -3.46        1.35      -0.044      296.89      998.91       93.56        2.74        0.63        1.00       75.72
2024-06-29_12_00_00      badaguan       -5.74       -1.17      -0.002      295.95      997.89       96.19        1.02        0.42        1.00       58.46
2024-06-29_12_00_00       beizhai       -4.93        1.63      -0.137      296.69      998.30       80.96        0.58        0.16        1.00       45.77
2024-06-29_12_00_00    dengzhoulu       -4.59       -0.63      -0.012      296.41      997.91       93.28        1.03        0.08        1.00       40.11
2024-06-29_12_00_00       shangma       -3.64       -1.59       0.004      296.54      998.27       96.26        6.19        0.94        1.00       27.60
2024-06-29_12_00_00    xingdenglu       -3.60        0.73      -0.042      297.28      998.08       82.81        1.45        0.00        1.00       55.90
2024-06-29_13_00_00      badaguan       -5.72       -2.95      -0.013      295.98      996.97       92.72        2.09        0.22        1.00       31.30
2024-06-29_13_00_00       beizhai       -3.48       -1.24      -0.124      296.50      997.52       83.16        1.31        0.96        1.00       54.30
2024-06-29_13_00_00    dengzhoulu       -4.31       -1.75      -0.017      296.36      997.10       88.72        1.88        0.57        1.00       33.13
2024-06-29_13_00_00       shangma       -3.70       -1.58       0.005      297.14      997.70       88.73        0.45        0.00        1.00       76.17
2024-06-29_13_00_00    xingdenglu       -1.82       -0.67      -0.026      297.21      997.44       81.96        0.32        0.00        1.00       33.73
2024-06-29_14_00_00      badaguan       -4.48       -3.49      -0.018      296.33      996.14       90.29        0.72        1.00        1.00       63.19
2024-06-29_14_00_00       beizhai       -2.68       -2.09      -0.108      296.30      996.48       88.38        1.43        0.64        1.00       84.11
2024-06-29_14_00_00    dengzhoulu       -3.49       -2.52      -0.017      296.92      996.23       84.88        0.85        0.91        1.00       55.31
2024-06-29_14_00_00       shangma       -3.69       -2.09       0.005      296.93      996.64       84.90        0.39        0.00        1.00      112.20
2024-06-29_14_00_00    xingdenglu       -2.42       -1.51      -0.040      297.02      996.48       85.15        0.25        0.57        1.00       72.82
2024-06-29_15_00_00      badaguan        2.66       -4.34      -0.027      296.03      996.63       92.66        0.16        1.00        1.00       41.24
2024-06-29_15_00_00       beizhai       -1.56       -4.04      -0.076      295.67      996.57       95.76        0.47        1.00        1.00       43.46
2024-06-29_15_00_00    dengzhoulu        1.98       -4.01      -0.006      296.37      996.73       89.93        0.23        1.00        1.00       42.15
2024-06-29_15_00_00       shangma        1.43       -3.05      -0.001      296.78      997.40       90.79        0.88        0.00        1.00       37.27
