CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-19_00_00_00      badaguan       -1.49        3.54       0.030      293.75     1008.16       84.97        0.00        0.00        0.91        0.00
2024-06-19_00_00_00       beizhai       -3.72        4.97      -0.172      294.24     1008.42       58.98        0.00        0.00        1.00        0.00
2024-06-19_00_00_00    dengzhoulu       -1.80        3.56       0.009      294.02     1008.13       78.39        0.00        0.00        1.00        0.00
2024-06-19_00_00_00       shangma       -1.39        5.94      -0.001      294.02     1007.83       76.41        0.00        0.00        1.00        0.00
2024-06-19_00_00_00    xingdenglu       -2.95        4.49      -0.042      294.75     1008.02       67.07        0.00        0.00        1.00        0.00
2024-06-19_01_00_00      badaguan       -1.88        2.99       0.028      293.71     1007.98       85.26        0.00        0.00        1.00        0.00
2024-06-19_01_00_00       beizhai       -3.80        4.29      -0.189      294.17     1008.21       58.35        0.00        0.00        1.00        0.00
2024-06-19_01_00_00    dengzhoulu       -2.13        3.06       0.007      293.90     1007.92       79.21        0.00        0.00        1.00        0.00
2024-06-19_01_00_00       shangma       -1.61        5.29      -0.001      293.71     1007.66       78.99        0.00        0.00        1.00        0.00
2024-06-19_01_00_00    xingdenglu       -3.30        3.52      -0.059      294.63     1007.79       66.81        0.00        0.00        1.00        0.00
2024-06-19_02_00_00      badaguan       -2.04        2.64       0.022      293.49     1008.07       86.83        0.00        0.00        0.72        0.00
2024-06-19_02_00_00       beizhai       -3.36        3.75      -0.215      292.60     1008.31       65.45        0.00        0.00        0.42        0.00
2024-06-19_02_00_00    dengzhoulu       -1.99        2.52       0.003      293.37     1008.04       82.35        0.00        0.00        0.00        0.00
2024-06-19_02_00_00       shangma       -1.74        4.42      -0.000      292.24     1007.73       86.79        0.00        0.00        0.00        0.00
2024-06-19_02_00_00    xingdenglu       -4.00        2.75      -0.096      294.21     1007.86       66.48        0.00        0.00        0.00        0.00
2024-06-19_03_00_00      badaguan       -2.54        2.80       0.019      293.45     1008.32       87.76        0.00        0.00        1.00        0.00
2024-06-19_03_00_00       beizhai       -3.18        3.73      -0.207      292.07     1008.61       71.90        0.00        0.00        0.24        0.00
2024-06-19_03_00_00    dengzhoulu       -2.32        2.62      -0.000      293.36     1008.29       83.91        0.00        0.00        1.00        0.00
2024-06-19_03_00_00       shangma       -1.94        5.05       0.001      292.31     1007.90       86.00        0.00        0.00        0.14        0.00
2024-06-19_03_00_00    xingdenglu       -3.90        3.03      -0.089      294.14     1008.15       69.37        0.00        0.00        1.00        0.00
