CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-22_10_00_00       beizhai       -0.21       -4.99      -0.063      300.27      998.44       61.90        0.00        0.00        0.00      857.32
2024-06-22_10_00_00    dengzhoulu        0.92       -3.39      -0.008      300.50      998.46       64.97        0.00        0.00        0.00      853.51
2024-06-22_10_00_00       shangma       -0.42       -3.76       0.002      301.56      998.15       62.46        0.00        0.00        0.00      850.71
2024-06-22_10_00_00    xingdenglu       -0.71       -3.70      -0.015      300.03      998.30       68.75        0.00        0.00        0.00      852.35
2024-06-22_11_00_00      badaguan       -2.73        0.48       0.021      297.07      997.98       82.42        0.00        0.00        0.00      953.27
2024-06-22_11_00_00       beizhai        0.18       -3.94      -0.048      301.64      997.91       55.71        0.00        0.00        0.00      958.72
2024-06-22_11_00_00    dengzhoulu       -1.06       -1.32       0.010      301.56      997.90       59.44        0.00        0.00        0.00      953.63
2024-06-22_11_00_00       shangma       -0.42       -2.33       0.002      303.04      997.47       55.52        0.00        0.00        0.00      950.58
2024-06-22_11_00_00    xingdenglu       -0.45       -2.47      -0.010      301.79      997.63       59.78        0.00        0.00        0.00      952.60
2024-06-22_12_00_00      badaguan       -3.10        4.26       0.029      295.13      998.45       93.62        0.00        0.72        0.72      732.33
2024-06-22_12_00_00       beizhai        1.54        0.85       0.077      302.23      998.11       54.34        0.00        0.00        0.00     1003.56
2024-06-22_12_00_00    dengzhoulu       -2.81        4.22       0.009      297.51      998.41       82.51        0.00        0.00        0.00      997.63
2024-06-22_12_00_00       shangma        1.99        0.02      -0.001      304.09      997.45       51.26        0.00        0.68        0.68      525.62
2024-06-22_12_00_00    xingdenglu        1.23        3.25       0.028      302.17      997.73       58.76        0.00        0.00        0.00      996.94
2024-06-22_13_00_00      badaguan       -3.32        3.39       0.024      295.28      998.30       92.58        0.00        0.70        0.70      799.51
2024-06-22_13_00_00       beizhai       -1.81        5.78       0.025      299.10      998.34       70.77        0.00        0.00        0.00      986.11
2024-06-22_13_00_00    dengzhoulu       -3.12        3.47       0.003      298.00      998.27       79.16        0.00        0.00        0.00      981.69
2024-06-22_13_00_00       shangma       -1.40        6.15       0.000      302.91      997.38       56.93        0.00        0.10        0.10      937.77
2024-06-22_13_00_00    xingdenglu       -2.09        4.94      -0.017      300.15      997.92       69.35        0.01        0.47        0.47      606.18
2024-06-22_14_00_00      badaguan        0.07        3.93       0.024      295.15      998.19       93.12        0.00        0.56        0.56      778.84
2024-06-22_14_00_00       beizhai       -1.01        3.97       0.034      300.36      997.96       64.69        0.00        0.00        0.00      913.16
2024-06-22_14_00_00    dengzhoulu       -0.51        4.55       0.012      297.84      998.11       79.20        0.00        0.00        0.00      911.97
2024-06-22_14_00_00       shangma        0.53        8.88      -0.003      300.67      997.53       66.59        0.00        0.00        0.00      911.73
2024-06-22_14_00_00    xingdenglu       -1.49        4.54      -0.012      301.11      997.53       63.85        0.00        0.00        0.00      911.18
2024-06-22_15_00_00      badaguan        1.54        4.54       0.021      295.14      998.14       93.34        0.00        0.68        0.68      534.21
2024-06-22_15_00_00       beizhai        0.25        5.96       0.073      299.20      998.18       69.11        0.00        0.00        0.00      790.88
2024-06-22_15_00_00    dengzhoulu        1.25        4.80       0.012      297.64      998.13       80.96        0.00        0.00        0.00      789.01
2024-06-22_15_00_00       shangma       -0.03        8.06      -0.003      300.62      997.34       68.24        0.00        0.00        0.00      788.65
2024-06-22_15_00_00    xingdenglu        0.61        5.43       0.011      299.77      997.83       70.02        0.00        0.00        0.00      788.56
2024-06-22_16_00_00      badaguan        1.53        5.47       0.024      295.16      998.22       93.17        0.00        0.66        0.66      394.31
2024-06-22_16_00_00       beizhai       -0.37        5.00       0.035      299.22      998.53       70.17        0.00        0.00        0.00      622.41
2024-06-22_16_00_00    dengzhoulu        1.22        5.33       0.012      297.63      998.23       80.90        0.00        0.00        0.00      621.60
2024-06-22_16_00_00       shangma       -1.50        8.21      -0.002      300.64      997.46       67.54        0.00        0.00        0.00      621.68
2024-06-22_16_00_00    xingdenglu       -0.47        5.40      -0.002      300.19      997.98       67.87        0.00        0.00        0.00      620.77
2024-06-22_17_00_00      badaguan        0.65        5.33       0.026      295.14      998.14       93.11        0.00        0.58        0.58      289.71
2024-06-22_17_00_00       beizhai       -0.81        4.71       0.015      298.84      998.55       71.73        0.00        0.00        0.00      426.13
2024-06-22_17_00_00    dengzhoulu        0.36        4.97       0.010      297.39      998.15       81.58        0.00        0.00        0.00      425.04
2024-06-22_17_00_00       shangma       -1.95        7.55      -0.000      300.19      997.44       69.23        0.02        0.00        0.00      420.14
2024-06-22_17_00_00    xingdenglu       -0.81        5.14      -0.005      300.24      998.03       67.62        0.00        0.00        0.00      423.76
2024-06-22_18_00_00      badaguan        0.10        4.73       0.021      294.90      997.45       94.34        0.00        0.50        0.50      134.19
2024-06-22_18_00_00       beizhai       -1.06        4.08      -0.001      298.86      997.83       70.58        0.00        0.00        0.00      216.58
2024-06-22_18_00_00    dengzhoulu       -0.14        4.49       0.007      296.67      997.46       85.04        0.00        0.00        0.00      217.11
2024-06-22_18_00_00       shangma       -2.12        6.56       0.001      298.47      996.88       76.48        0.00        0.00        0.00      184.98
2024-06-22_18_00_00    xingdenglu       -2.23        4.74      -0.020      299.09      997.23       71.79        0.00        0.00        0.00      216.58
2024-06-22_19_00_00      badaguan       -0.07        4.48       0.020      294.49      997.95       97.03        0.00        0.00        0.00       31.11
2024-06-22_19_00_00       beizhai       -2.20        3.83      -0.053      297.83      998.22       73.24        0.00        0.00        0.00       30.96
2024-06-22_19_00_00    dengzhoulu       -0.82        3.94       0.005      295.48      997.97       92.93        0.00        0.00        0.00       31.35
2024-06-22_19_00_00       shangma       -2.42        6.92       0.002      296.82      997.27       84.19        0.00        0.00        0.00       33.16
2024-06-22_19_00_00    xingdenglu       -2.90        4.35      -0.035      296.85      997.77       82.91        0.00        0.00        0.00       31.38
2024-06-22_20_00_00      badaguan       -1.71        2.02       0.007      294.19      998.06       98.79        0.00        0.71        0.71        0.00
2024-06-22_20_00_00       beizhai       -2.18        2.77      -0.124      297.71      998.37       72.69        0.00        0.00        0.00        0.00
2024-06-22_20_00_00    dengzhoulu       -1.92        2.49      -0.005      294.82      998.02       96.71        0.00        0.00        0.00        0.00
2024-06-22_20_00_00       shangma       -2.90        5.49       0.003      296.49      997.63       85.54        0.00        0.00        0.00        0.00
2024-06-22_20_00_00    xingdenglu       -3.32        3.15      -0.043      296.70      997.94       82.51        0.00        0.00        0.00        0.00
2024-06-22_21_00_00      badaguan       -1.30        2.23       0.008      294.03      998.47       99.29        0.00        0.93        1.00        0.00
2024-06-22_21_00_00       beizhai       -2.02        3.03      -0.087      298.43      998.74       70.22        0.00        0.00        1.00        0.00
2024-06-22_21_00_00    dengzhoulu       -1.60        2.60      -0.004      294.49      998.42       97.28        0.00        0.73        1.00        0.00
2024-06-22_21_00_00       shangma       -1.91        5.50       0.001      296.27      997.99       87.24        0.00        0.00        1.00        0.00
2024-06-22_21_00_00    xingdenglu       -2.77        3.43      -0.029      297.23      998.30       79.37        0.00        0.00        1.00        0.00
2024-06-22_22_00_00      badaguan       -1.06        2.49       0.007      293.97      998.18       99.22        0.00        0.93        0.94        0.00
2024-06-22_22_00_00       beizhai       -1.81        2.58      -0.126      297.59      998.47       76.35        0.00        0.00        0.80        0.00
2024-06-22_22_00_00    dengzhoulu       -1.32        2.67      -0.005      294.42      998.12       96.95        0.00        0.73        0.76        0.00
2024-06-22_22_00_00       shangma       -1.82        4.68       0.002      295.42      997.69       92.16        0.00        0.00        1.00        0.00
2024-06-22_22_00_00    xingdenglu       -2.97        3.84      -0.037      296.67      997.98       83.23        0.00        0.00        0.21        0.00
2024-06-22_23_00_00      badaguan       -0.87        2.72       0.011      294.58      997.98       95.00        0.00        0.27        1.00        0.00
2024-06-22_23_00_00       beizhai       -2.15        2.98      -0.161      297.54      998.24       78.14        0.00        0.00        1.00        0.00
2024-06-22_23_00_00    dengzhoulu       -0.78        3.40      -0.003      295.55      997.90       89.41        0.00        0.80        1.00        0.00
2024-06-22_23_00_00       shangma       -1.27        5.34       0.002      296.35      997.62       86.23        0.00        0.00        1.00        0.00
2024-06-22_23_00_00    xingdenglu       -2.72        3.57      -0.033      296.72      997.78       83.44        0.00        0.00        1.00        0.00
2024-06-23_00_00_00      badaguan       -1.95        1.97       0.012      294.56      998.67       95.32        0.00        0.00        1.00        0.00
2024-06-23_00_00_00       beizhai       -1.47        2.80      -0.137      297.77      998.74       78.86        0.00        0.00        1.00        0.00
2024-06-23_00_00_00    dengzhoulu       -2.09        1.92      -0.003      295.11      998.74       91.61        0.00        0.00        1.00        0.00
2024-06-23_00_00_00       shangma       -1.33        5.08       0.002      296.82      998.12       83.69        0.00        0.00        1.00        0.00
2024-06-23_00_00_00    xingdenglu       -2.38        3.46      -0.029      297.07      998.48       82.28        0.00        0.00        1.00        0.00
2024-06-23_01_00_00      badaguan       -1.13        2.61       0.018      294.65      998.90       95.72        0.00        0.00        1.00        0.00
2024-06-23_01_00_00       beizhai       -1.21        1.96      -0.162      296.51      999.14       87.21        0.00        0.00        1.00        0.00
2024-06-23_01_00_00    dengzhoulu       -1.34        2.88      -0.000      295.42      998.83       92.11        0.00        0.00        1.00        0.00
2024-06-23_01_00_00       shangma       -0.37        3.54       0.002      296.83      998.24       85.24        0.00        0.00        0.33        0.00
2024-06-23_01_00_00    xingdenglu       -2.51        3.13      -0.037      296.70      998.68       85.17        0.00        0.00        1.00        0.00
2024-06-23_02_00_00      badaguan        0.36        1.74       0.005      294.45      997.97       97.82        0.00        0.41        0.43        0.00
2024-06-23_02_00_00       beizhai       -0.78        1.69      -0.147      294.68      998.25       91.24        0.00        0.00        0.00        0.00
2024-06-23_02_00_00    dengzhoulu       -0.02        1.89      -0.006      294.96      997.98       98.13        0.00        0.00        0.04        0.00
2024-06-23_02_00_00       shangma       -0.11        2.94       0.002      295.14      997.83       89.77        0.00        0.00        0.00        0.00
2024-06-23_02_00_00    xingdenglu       -2.03        2.28      -0.050      295.78      997.98       90.98        0.00        0.00        0.00        0.00
2024-06-23_03_00_00      badaguan        1.34       -1.17       0.003      295.75      998.20       84.83        0.00        0.00        0.00        0.00
