CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-05-20_00_00_00      badaguan       -1.81        1.11      -0.005      287.91     1014.88       96.58        0.03        1.00        1.00        0.00
2024-05-20_00_00_00       beizhai       -1.94        2.34      -0.138      287.56     1015.03       84.13        0.00        0.00        0.64        0.00
2024-05-20_00_00_00    dengzhoulu       -1.51        1.86      -0.010      288.69     1014.83       97.91        0.00        1.00        1.00        0.00
2024-05-20_00_00_00       shangma       -1.28        2.62      -0.000      288.62     1015.20       98.06        0.00        1.00        1.00        0.00
2024-05-20_00_00_00    xingdenglu       -2.41        2.04      -0.054      288.76     1014.99       92.45        0.00        0.14        0.14        0.00
2024-05-20_01_00_00      badaguan       -1.71       -0.79      -0.017      287.80     1015.76       96.88        0.00        1.00        1.00        0.00
2024-05-20_01_00_00       beizhai       -1.76        1.46      -0.081      287.05     1015.99       79.73        0.00        0.00        0.00        0.00
2024-05-20_01_00_00    dengzhoulu       -1.33       -0.04      -0.012      288.48     1015.80       98.05        0.00        1.00        1.00        0.00
2024-05-20_01_00_00       shangma       -2.48        2.91       0.002      288.31     1015.41       97.99        0.01        1.00        1.00        0.00
2024-05-20_01_00_00    xingdenglu       -2.33        1.24      -0.063      288.67     1015.79       89.83        0.00        0.24        0.24        0.00
2024-05-20_02_00_00      badaguan       -2.73       -0.54      -0.000      287.86     1016.41       96.74        0.00        1.00        1.00        0.00
2024-05-20_02_00_00       beizhai       -1.38        1.29      -0.072      287.07     1016.34       79.37        0.00        0.00        1.00        0.00
2024-05-20_02_00_00    dengzhoulu       -2.24       -0.35      -0.005      288.60     1016.41       98.01        0.00        1.00        1.00        0.00
2024-05-20_02_00_00       shangma       -2.83        1.58       0.001      288.77     1016.31       94.90        0.01        1.00        1.00        0.00
2024-05-20_02_00_00    xingdenglu       -1.79        0.72      -0.039      288.41     1016.48       91.46        0.00        0.13        1.00        0.00
2024-05-20_03_00_00      badaguan       -3.26        2.15       0.015      287.79     1016.76       96.77        0.00        1.00        1.00        0.00
2024-05-20_03_00_00       beizhai       -2.15        3.74      -0.047      288.23     1016.46       87.01        0.00        0.00        1.00        0.00
2024-05-20_03_00_00    dengzhoulu       -2.80        2.33      -0.001      288.38     1016.70       97.80        0.00        1.00        1.00        0.00
2024-05-20_03_00_00       shangma       -0.78        4.22      -0.002      288.30     1016.50       99.33        0.00        0.66        0.66        0.00
2024-05-20_03_00_00    xingdenglu       -2.00        3.61      -0.023      288.18     1016.61       97.95        0.00        0.07        0.07        0.00
2024-05-20_04_00_00      badaguan       -3.26        1.92       0.012      287.74     1016.71       96.93        0.00        1.00        1.00        0.00
2024-05-20_04_00_00       beizhai       -1.90        2.94      -0.077      287.00     1016.21       87.41        0.00        0.00        0.00        0.00
2024-05-20_04_00_00    dengzhoulu       -2.76        2.13      -0.003      288.28     1016.61       97.90        0.00        1.00        1.00        0.00
2024-05-20_04_00_00       shangma        0.49        1.16      -0.002      288.33     1017.36       98.50        0.02        1.00        1.00        0.00
2024-05-20_04_00_00    xingdenglu       -2.44        3.14      -0.023      287.85     1016.50       98.36        0.00        0.77        0.77        0.00
2024-05-20_05_00_00      badaguan       -1.90        0.50       0.002      287.65     1018.03       97.59        0.01        1.00        1.00        0.00
2024-05-20_05_00_00       beizhai       -0.26        0.76      -0.021      285.49     1017.92       91.45        0.00        0.00        0.00        0.00
2024-05-20_05_00_00    dengzhoulu       -1.59        0.35      -0.005      288.29     1018.04       98.21        0.00        1.00        1.00        0.00
2024-05-20_05_00_00       shangma       -0.75        0.54       0.001      288.22     1017.95       98.55        0.03        1.00        1.00        0.00
2024-05-20_05_00_00    xingdenglu       -1.07        0.38      -0.009      287.90     1018.19       98.29        0.00        1.00        1.00        0.00
2024-05-20_06_00_00      badaguan       -2.05        0.84       0.004      287.59     1018.07       97.71        0.04        1.00        1.00        4.77
2024-05-20_06_00_00       beizhai       -0.89        1.88      -0.023      287.99     1017.83       91.59        0.00        0.00        0.00      104.77
2024-05-20_06_00_00    dengzhoulu       -1.79        1.33      -0.005      288.18     1017.99       98.02        0.01        1.00        1.00        4.98
2024-05-20_06_00_00       shangma       -1.56        1.51       0.001      288.18     1018.14       98.41        0.01        1.00        1.00        4.67
2024-05-20_06_00_00    xingdenglu       -1.68        1.39      -0.022      288.02     1018.05       98.11        0.00        1.00        1.00        9.32
2024-05-20_07_00_00      badaguan       -1.59       -0.82      -0.007      287.58     1018.18       97.86        0.03        1.00        1.00       28.62
2024-05-20_07_00_00       beizhai        0.66       -0.04       0.041      289.36     1018.07       87.52        0.00        0.11        0.11      282.15
2024-05-20_07_00_00    dengzhoulu       -1.17       -0.54      -0.007      288.20     1018.17       97.98        0.00        1.00        1.00       33.78
2024-05-20_07_00_00       shangma       -0.43       -0.90       0.001      288.27     1018.51       98.23        0.02        1.00        1.00       28.32
2024-05-20_07_00_00    xingdenglu       -0.37       -0.92      -0.004      288.10     1018.37       97.81        0.00        1.00        1.00       46.57
