CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-15_00_00_00      badaguan       -4.80        2.06       0.006      292.79     1004.54       97.79        0.06        1.00        1.00        0.00
2024-06-15_00_00_00       beizhai       -2.42        4.29      -0.037      293.31     1004.64       87.08        0.00        0.00        1.00        0.00
2024-06-15_00_00_00    dengzhoulu       -3.85        2.12      -0.008      293.03     1004.51       98.55        0.02        1.00        1.00        0.00
2024-06-15_00_00_00       shangma       -2.26        2.58       0.001      292.90     1004.45       99.50        0.00        0.14        1.00        0.00
2024-06-15_00_00_00    xingdenglu       -2.76        3.14      -0.026      293.06     1004.51       98.02        0.00        0.67        1.00        0.00
2024-06-15_01_00_00      badaguan       -4.67        1.80       0.003      292.85     1005.38       97.51        0.03        1.00        1.00        0.00
2024-06-15_01_00_00       beizhai       -2.59        3.41      -0.056      292.94     1005.30       87.93        0.00        0.00        0.77        0.00
2024-06-15_01_00_00    dengzhoulu       -4.00        2.37      -0.012      293.05     1005.34       98.69        0.01        1.00        1.00        0.00
2024-06-15_01_00_00       shangma       -3.10        3.95       0.002      292.99     1005.09       98.91        0.00        0.98        1.00        0.00
2024-06-15_01_00_00    xingdenglu       -3.94        3.37      -0.043      293.08     1005.11       98.59        0.00        0.89        1.00        0.00
2024-06-15_02_00_00      badaguan       -4.26        1.71       0.000      292.78     1005.79       97.88        0.03        1.00        1.00        0.00
2024-06-15_02_00_00       beizhai       -3.23        4.20      -0.069      292.39     1005.93       95.35        0.00        0.00        1.00        0.00
2024-06-15_02_00_00    dengzhoulu       -3.73        2.48      -0.012      293.00     1005.75       98.71        0.02        1.00        1.00        0.00
2024-06-15_02_00_00       shangma       -2.63        4.73       0.001      292.95     1005.74       98.88        0.00        1.00        1.00        0.00
2024-06-15_02_00_00    xingdenglu       -4.02        3.76      -0.044      292.89     1005.76       98.53        0.00        1.00        1.00        0.00
2024-06-15_03_00_00      badaguan       -3.95        2.56       0.013      292.71     1005.45       98.06        0.02        1.00        1.00        0.00
2024-06-15_03_00_00       beizhai       -2.64        3.96      -0.040      292.26     1005.33       96.69        0.00        0.36        1.00        0.00
2024-06-15_03_00_00    dengzhoulu       -3.47        2.83      -0.004      292.87     1005.40       98.68        0.00        1.00        1.00        0.00
2024-06-15_03_00_00       shangma       -2.13        4.85       0.000      292.77     1005.04       98.86        0.01        1.00        1.00        0.00
2024-06-15_03_00_00    xingdenglu       -3.67        3.84      -0.040      292.77     1005.16       98.63        0.00        1.00        1.00        0.00
2024-06-15_04_00_00      badaguan       -2.16        1.69       0.004      292.49     1005.61       99.00        0.01        1.00        1.00        0.00
2024-06-15_04_00_00       beizhai       -2.22        3.83      -0.041      291.99     1005.50       98.62        0.00        0.82        0.83        0.00
2024-06-15_04_00_00    dengzhoulu       -2.11        2.33      -0.006      292.66     1005.56       98.61        0.01        1.00        1.00        0.00
2024-06-15_04_00_00       shangma       -1.79        4.92      -0.000      292.54     1005.48       98.81        0.01        1.00        1.00        0.00
2024-06-15_04_00_00    xingdenglu       -2.16        3.43      -0.022      292.63     1005.48       98.72        0.00        1.00        1.00        0.00
2024-06-15_05_00_00      badaguan       -1.56        1.71       0.007      292.44     1005.91       99.27        0.00        1.00        1.00        0.00
2024-06-15_05_00_00       beizhai       -1.27        3.35      -0.008      292.03     1006.18       98.47        0.00        0.99        1.00        0.00
2024-06-15_05_00_00    dengzhoulu       -1.63        2.16      -0.002      292.62     1005.91       98.68        0.00        1.00        1.00        0.00
2024-06-15_05_00_00       shangma       -1.20        4.46      -0.001      292.38     1005.84       98.79        0.00        1.00        1.00        0.00
2024-06-15_05_00_00    xingdenglu       -2.03        3.16      -0.022      292.55     1005.96       98.77        0.00        1.00        1.00        0.00
2024-06-15_06_00_00      badaguan       -2.24        1.53       0.010      292.45     1005.73       99.06        0.03        1.00        1.00        0.01
2024-06-15_06_00_00       beizhai       -0.91        2.87       0.010      292.43     1005.68       94.56        0.00        0.54        1.00       34.53
2024-06-15_06_00_00    dengzhoulu       -1.98        1.92      -0.001      292.51     1005.71       98.66        0.01        1.00        1.00        0.01
