CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-05-31_00_00_00      badaguan        1.49        6.10       0.034      290.30     1009.99       90.70        0.00        0.00        0.00        0.00
2024-05-31_00_00_00       beizhai       -1.78        4.91      -0.063      289.00     1010.06       96.74        0.00        0.82        0.82        0.00
2024-05-31_00_00_00    dengzhoulu        0.83        4.80       0.019      290.18     1009.97       89.56        0.00        0.00        0.00        0.00
2024-05-31_00_00_00       shangma       -0.43        6.05      -0.002      289.91     1009.56       93.30        0.00        0.23        0.23        0.00
2024-05-31_00_00_00    xingdenglu       -1.87        4.65      -0.018      290.17     1009.92       94.49        0.00        0.97        0.97        0.00
2024-05-31_01_00_00      badaguan        1.31        5.32       0.031      290.26     1010.78       86.16        0.00        0.00        0.00        0.00
2024-05-31_01_00_00       beizhai       -1.55        3.34      -0.158      287.72     1010.79       89.31        0.00        0.00        0.00        0.00
2024-05-31_01_00_00    dengzhoulu        0.76        4.10       0.017      290.07     1010.76       82.90        0.00        0.00        0.00        0.00
2024-05-31_01_00_00       shangma        0.19        5.51      -0.002      289.42     1010.38       89.49        0.00        0.00        0.00        0.00
2024-05-31_01_00_00    xingdenglu       -1.59        3.65      -0.038      289.76     1010.73       90.58        0.00        0.00        0.00        0.00
2024-05-31_02_00_00      badaguan        1.49        5.19       0.030      290.01     1011.15       88.90        0.00        0.00        0.00        0.00
2024-05-31_02_00_00       beizhai       -1.48        3.29      -0.163      287.23     1011.11       88.62        0.00        0.00        0.00        0.00
2024-05-31_02_00_00    dengzhoulu        0.88        3.85       0.017      289.67     1011.14       87.51        0.00        0.00        0.00        0.00
2024-05-31_02_00_00       shangma        0.34        5.22      -0.003      289.04     1010.77       83.77        0.00        0.00        0.00        0.00
2024-05-31_02_00_00    xingdenglu       -1.49        3.66      -0.037      289.39     1011.08       88.36        0.00        0.00        0.00        0.00
2024-05-31_03_00_00      badaguan        2.15        4.89       0.028      289.87     1011.09       90.73        0.00        0.00        0.00        0.00
2024-05-31_03_00_00       beizhai       -1.39        3.11      -0.166      286.81     1011.05       90.72        0.00        0.00        0.00        0.00
2024-05-31_03_00_00    dengzhoulu        1.24        3.67       0.018      289.44     1011.06       90.18        0.00        0.00        0.00        0.00
2024-05-31_03_00_00       shangma        0.64        5.04      -0.003      288.66     1010.81       87.67        0.00        0.00        0.00        0.00
2024-05-31_03_00_00    xingdenglu       -1.21        3.34      -0.035      289.05     1011.10       90.74        0.00        0.00        0.00        0.00
2024-05-31_04_00_00      badaguan        2.29        4.09       0.023      289.66     1011.11       93.59        0.00        0.00        0.00        0.00
2024-05-31_04_00_00       beizhai       -1.00        2.65      -0.145      286.24     1011.11       91.64        0.00        0.00        0.00        0.00
2024-05-31_04_00_00    dengzhoulu        1.29        2.80       0.015      289.06     1011.11       94.53        0.00        0.00        0.00        0.00
2024-05-31_04_00_00       shangma        0.85        3.03      -0.002      287.50     1010.91       89.39        0.00        0.00        0.00        0.00
2024-05-31_04_00_00    xingdenglu       -1.11        2.40      -0.040      288.62     1011.19       93.18        0.00        0.00        0.00        0.00
2024-05-31_05_00_00      badaguan        1.60        4.13       0.024      289.54     1011.73       94.93        0.00        0.00        0.00        0.00
2024-05-31_05_00_00       beizhai       -1.18        2.55      -0.150      286.02     1011.68       91.27        0.00        0.00        0.00        0.00
2024-05-31_05_00_00    dengzhoulu        0.73        2.73       0.014      288.85     1011.71       96.04        0.00        0.00        0.00        0.00
2024-05-31_05_00_00       shangma        0.40        2.78      -0.001      287.00     1011.50       90.60        0.00        0.00        0.00        0.00
2024-05-31_05_00_00    xingdenglu       -1.61        2.79      -0.047      288.57     1011.69       94.83        0.00        0.00        0.00        0.00
2024-05-31_06_00_00      badaguan        2.50        3.37       0.016      289.51     1012.08       95.40        0.00        0.00        0.00      119.08
2024-05-31_06_00_00       beizhai       -0.73        3.08      -0.094      289.11     1012.01       86.29        0.00        0.00        0.00      123.86
2024-05-31_06_00_00    dengzhoulu        1.54        2.74       0.012      289.43     1012.04       93.77        0.00        0.00        0.00      119.40
2024-05-31_06_00_00       shangma        0.30        3.15      -0.002      289.56     1011.81       85.42        0.00        0.00        0.00      118.71
2024-05-31_06_00_00    xingdenglu       -1.14        3.50      -0.019      289.44     1012.02       93.51        0.00        0.06        0.06      104.35
2024-05-31_07_00_00      badaguan        1.13        2.86       0.013      289.36     1012.19       92.16        0.00        0.00        0.00      331.23
2024-05-31_07_00_00       beizhai       -0.01        3.42       0.026      290.62     1012.13       77.55        0.00        0.00        0.00      336.86
2024-05-31_07_00_00    dengzhoulu        0.81        2.67       0.008      289.91     1012.16       85.73        0.00        0.00        0.00      331.56
2024-05-31_07_00_00       shangma        0.82        2.05      -0.003      290.93     1012.16       77.05        0.00        0.00        0.00      330.05
2024-05-31_07_00_00    xingdenglu       -1.26        2.67      -0.012      290.71     1012.16       85.46        0.00        0.00        0.00      331.93
2024-05-31_08_00_00      badaguan        0.17        2.57       0.012      289.66     1013.07       90.38        0.00        0.00        0.00      542.17
2024-05-31_08_00_00       beizhai        0.62        2.62       0.053      292.63     1012.91       64.44        0.00        0.00        0.00      547.32
2024-05-31_08_00_00    dengzhoulu        0.26        2.26       0.006      290.89     1013.02       79.60        0.00        0.00        0.00      542.59
2024-05-31_08_00_00       shangma        0.02        3.94      -0.002      293.53     1012.43       62.94        0.00        0.00        0.00      539.49
2024-05-31_08_00_00    xingdenglu       -0.36        2.36      -0.002      292.82     1012.78       66.90        0.00        0.00        0.00      542.17
2024-05-31_09_00_00      badaguan        0.38        3.67       0.019      289.84     1013.13       91.84        0.00        0.00        0.00      728.87
2024-05-31_09_00_00       beizhai        0.63        3.28       0.054      294.77     1012.98       54.59        0.00        0.00        0.00      734.47
2024-05-31_09_00_00    dengzhoulu        0.30        2.97       0.008      291.52     1013.09       78.16        0.00        0.00        0.00      729.34
2024-05-31_09_00_00       shangma        0.83        4.35      -0.002      295.34     1012.60       56.39        0.00        0.00        0.00      726.90
2024-05-31_09_00_00    xingdenglu        0.19        2.87       0.004      294.65     1012.91       59.64        0.00        0.00        0.00      729.40
2024-05-31_10_00_00      badaguan        0.15        4.01       0.020      290.00     1012.40       92.19        0.00        0.00        0.00      878.88
2024-05-31_10_00_00       beizhai        1.12        3.19       0.065      296.25     1012.31       51.38        0.00        0.00        0.00      884.14
2024-05-31_10_00_00    dengzhoulu        0.04        3.37       0.008      292.50     1012.34       73.75        0.00        0.00        0.00      879.48
2024-05-31_10_00_00       shangma        0.39        4.52      -0.002      296.61     1011.92       54.19        0.00        0.00        0.00      875.97
2024-05-31_10_00_00    xingdenglu        0.10        2.87       0.002      296.24     1012.13       54.74        0.00        0.00        0.00      879.00
2024-05-31_11_00_00      badaguan       -0.18        5.20       0.026      290.16     1012.07       92.99        0.00        0.00        0.00      977.79
2024-05-31_11_00_00       beizhai        0.95        3.98       0.069      296.86     1011.93       51.77        0.00        0.00        0.00      982.75
