CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-05-29_00_00_00      badaguan       -0.55        2.43       0.013      289.44     1013.18       86.25        0.00        0.00        0.24        0.00
2024-05-29_00_00_00       beizhai       -1.35        2.30      -0.121      291.14     1013.28       35.61        0.00        0.00        1.00        0.00
2024-05-29_00_00_00    dengzhoulu       -0.69        2.54      -0.000      290.17     1013.12       73.53        0.00        0.00        0.91        0.00
2024-05-29_00_00_00       shangma       -0.85        4.73       0.001      290.83     1012.70       61.97        0.00        0.00        1.00        0.00
2024-05-29_00_00_00    xingdenglu       -2.17        2.81      -0.044      292.18     1013.02       44.51        0.00        0.00        1.00        0.00
2024-05-29_01_00_00      badaguan       -0.46        2.59       0.014      289.37     1013.53       88.25        0.00        0.00        0.00        0.00
2024-05-29_01_00_00       beizhai       -1.97        2.26      -0.167      289.32     1013.72       41.02        0.00        0.00        0.00        0.00
2024-05-29_01_00_00    dengzhoulu       -0.72        2.55      -0.000      289.81     1013.49       79.05        0.00        0.00        0.00        0.00
2024-05-29_01_00_00       shangma       -1.30        4.45       0.001      289.39     1013.12       72.89        0.00        0.00        0.00        0.00
2024-05-29_01_00_00    xingdenglu       -2.57        2.75      -0.061      291.13     1013.44       52.35        0.00        0.00        0.00        0.00
2024-05-29_02_00_00      badaguan       -0.62        2.72       0.015      289.20     1013.93       91.48        0.00        0.00        0.00        0.00
2024-05-29_02_00_00       beizhai       -2.08        2.42      -0.169      289.01     1014.05       44.55        0.00        0.00        0.00        0.00
2024-05-29_02_00_00    dengzhoulu       -0.90        2.64      -0.000      289.45     1013.87       85.02        0.00        0.00        0.00        0.00
2024-05-29_02_00_00       shangma       -1.30        4.68       0.002      289.24     1013.43       75.12        0.00        0.00        0.00        0.00
2024-05-29_02_00_00    xingdenglu       -2.65        2.88      -0.060      291.06     1013.77       52.34        0.00        0.00        0.00        0.00
2024-05-29_03_00_00      badaguan       -0.46        2.59       0.014      289.18     1014.23       91.22        0.00        0.00        0.00        0.00
2024-05-29_03_00_00       beizhai       -2.14        2.39      -0.196      288.63     1014.37       48.65        0.00        0.00        0.00        0.00
2024-05-29_03_00_00    dengzhoulu       -0.77        2.39      -0.001      289.24     1014.18       86.49        0.00        0.00        0.00        0.00
2024-05-29_03_00_00       shangma       -1.59        4.66       0.002      288.87     1013.78       81.27        0.00        0.00        0.00        0.00
2024-05-29_03_00_00    xingdenglu       -2.73        2.66      -0.069      290.91     1014.11       54.30        0.00        0.00        0.00        0.00
2024-05-29_04_00_00      badaguan       -0.66        2.05       0.011      289.15     1014.05       90.01        0.00        0.00        1.00        0.00
2024-05-29_04_00_00       beizhai       -2.03        2.33      -0.188      289.35     1014.18       47.48        0.00        0.00        1.00        0.00
2024-05-29_04_00_00    dengzhoulu       -0.82        1.91      -0.003      289.17     1013.99       84.28        0.00        0.00        1.00        0.00
2024-05-29_04_00_00       shangma       -1.36        4.30       0.002      288.74     1013.62       81.97        0.00        0.00        1.00        0.00
2024-05-29_04_00_00    xingdenglu       -2.35        2.42      -0.060      291.09     1013.92       53.42        0.00        0.00        1.00        0.00
2024-05-29_05_00_00      badaguan       -0.42        2.67       0.017      289.09     1014.12       90.52        0.00        0.00        0.00        0.00
2024-05-29_05_00_00       beizhai       -2.08        2.76      -0.167      288.14     1014.19       51.58        0.00        0.00        0.00        0.00
2024-05-29_05_00_00    dengzhoulu       -0.74        2.29       0.001      288.84     1014.06       87.09        0.00        0.00        0.00        0.00
2024-05-29_05_00_00       shangma       -1.21        4.75       0.002      288.46     1013.57       82.08        0.00        0.00        0.00        0.00
2024-05-29_05_00_00    xingdenglu       -2.40        2.85      -0.059      290.81     1013.93       52.71        0.00        0.00        0.00        0.00
2024-05-29_06_00_00      badaguan       -0.61        3.48       0.022      289.32     1014.92       90.49        0.00        0.00        0.00      118.48
2024-05-29_06_00_00       beizhai       -2.04        2.67      -0.158      291.28     1014.94       47.19        0.00        0.00        0.00      123.23
2024-05-29_06_00_00    dengzhoulu       -0.89        3.24       0.006      289.80     1014.87       82.76        0.00        0.00        0.00      118.84
2024-05-29_06_00_00       shangma       -1.52        4.95       0.001      290.27     1014.39       71.41        0.00        0.00        0.00      118.36
2024-05-29_06_00_00    xingdenglu       -2.95        3.37      -0.042      291.45     1014.71       57.48        0.00        0.00        0.00      119.89
2024-05-29_07_00_00      badaguan       -0.91        2.95       0.018      289.43     1015.37       89.67        0.00        0.00        0.00      333.10
2024-05-29_07_00_00       beizhai       -2.08        3.89      -0.048      293.02     1015.54       44.11        0.00        0.00        0.00      338.99
2024-05-29_07_00_00    dengzhoulu       -1.01        3.20       0.004      290.53     1015.33       77.49        0.00        0.00        0.00      333.54
2024-05-29_07_00_00       shangma       -1.77        5.07       0.002      291.54     1014.91       70.58        0.00        0.00        0.00      332.65
2024-05-29_07_00_00    xingdenglu       -2.68        3.79      -0.028      291.84     1015.26       67.62        0.00        0.00        0.00      334.27
2024-05-29_08_00_00      badaguan       -0.88        3.27       0.020      289.68     1015.43       86.52        0.00        0.00        0.00      547.40
2024-05-29_08_00_00       beizhai       -0.43        4.58       0.018      293.92     1015.52       42.06        0.00        0.00        0.00      553.45
2024-05-29_08_00_00    dengzhoulu       -0.68        3.64       0.006      291.40     1015.38       68.68        0.00        0.00        0.00      547.86
2024-05-29_08_00_00       shangma       -1.46        6.05      -0.001      293.49     1014.83       53.00        0.00        0.00        0.00      546.65
2024-05-29_08_00_00    xingdenglu       -1.79        4.34      -0.016      293.33     1015.21       57.59        0.00        0.00        0.00      548.16
2024-05-29_09_00_00      badaguan       -1.54        3.88       0.022      289.70     1015.41       87.99        0.00        0.00        0.00      740.06
2024-05-29_09_00_00       beizhai       -0.40        4.96       0.032      294.37     1015.49       40.98        0.00        0.00        0.00      744.42
2024-05-29_09_00_00    dengzhoulu       -1.18        3.95       0.006      291.81     1015.35       67.52        0.00        0.00        0.00      740.49
2024-05-29_09_00_00       shangma       -1.53        6.35      -0.001      294.75     1014.71       45.63        0.00        0.00        0.00      738.79
2024-05-29_09_00_00    xingdenglu       -1.60        4.87      -0.015      294.59     1015.11       48.51        0.00        0.00        0.00      740.02
2024-05-29_10_00_00      badaguan       -2.04        4.61       0.023      289.61     1015.63       90.68        0.00        0.00        0.00      892.90
2024-05-29_10_00_00       beizhai       -0.62        5.61       0.037      294.62     1015.67       40.65        0.00        0.00        0.00      897.30
2024-05-29_10_00_00    dengzhoulu       -1.46        4.51       0.005      291.91     1015.57       69.57        0.00        0.00        0.00      893.38
2024-05-29_10_00_00       shangma       -2.14        7.89      -0.001      295.22     1014.68       45.47        0.00        0.00        0.00      891.67
2024-05-29_10_00_00    xingdenglu       -1.60        5.86      -0.014      294.94     1015.24       48.32        0.00        0.00        0.00      892.83
2024-05-29_11_00_00      badaguan       -1.31        5.22       0.024      289.82     1014.91       87.05        0.00        0.00        0.00      994.34
2024-05-29_11_00_00       beizhai       -1.08        5.84       0.023      294.85     1014.99       39.79        0.00        0.00        0.00      998.46
2024-05-29_11_00_00    dengzhoulu       -1.08        4.87       0.006      292.32     1014.88       64.60        0.00        0.00        0.00      994.74
2024-05-29_11_00_00       shangma       -2.47        9.26      -0.001      295.38     1013.88       47.00        0.00        0.00        0.00      992.60
2024-05-29_11_00_00    xingdenglu       -1.57        6.07      -0.014      295.35     1014.56       45.93        0.00        0.00        0.00      993.99
2024-05-29_12_00_00      badaguan       -0.75        5.04       0.022      290.04     1014.10       82.29        0.00        0.00        0.00     1038.13
2024-05-29_12_00_00       beizhai       -0.90        5.89       0.026      295.06     1014.25       37.01        0.00        0.00        0.00     1041.19
2024-05-29_12_00_00    dengzhoulu       -0.49        4.99       0.006      292.83     1014.08       56.69        0.00        0.00        0.00     1038.39
2024-05-29_12_00_00       shangma       -1.74        9.34      -0.002      295.71     1013.26       44.57        0.00        0.00        0.00     1035.12
2024-05-29_12_00_00    xingdenglu       -1.23        5.97      -0.011      295.71     1013.85       42.20        0.00        0.00        0.00     1036.90
2024-05-29_13_00_00      badaguan       -0.45        5.23       0.025      290.05     1013.71       81.96        0.00        0.00        0.00     1019.51
2024-05-29_13_00_00       beizhai       -0.51        5.96       0.038      295.72     1013.87       31.76        0.00        0.00        0.00     1022.08
2024-05-29_13_00_00    dengzhoulu       -0.44        4.97       0.008      293.07     1013.70       54.43        0.00        0.00        0.00     1019.92
2024-05-29_13_00_00       shangma       -1.93        9.54      -0.002      296.23     1012.57       41.15        0.00        0.00        0.00     1015.96
2024-05-29_13_00_00    xingdenglu       -0.94        6.16      -0.008      296.60     1013.35       35.55        0.00        0.00        0.00     1018.54
2024-05-29_14_00_00      badaguan       -1.42        6.94       0.033      290.67     1013.31       74.89        0.00        0.00        0.00      938.45
2024-05-29_14_00_00       beizhai       -1.83        6.21       0.002      295.54     1013.62       32.80        0.00        0.00        0.00      941.10
2024-05-29_14_00_00    dengzhoulu       -1.22        6.09       0.010      293.65     1013.34       50.09        0.00        0.00        0.00      938.77
2024-05-29_14_00_00       shangma       -2.36       10.46      -0.001      296.25     1012.35       36.84        0.00        0.00        0.00      935.90
2024-05-29_14_00_00    xingdenglu       -2.20        6.63      -0.021      296.10     1013.10       39.07        0.00        0.00        0.00      937.64
2024-05-29_15_00_00      badaguan       -1.68        7.52       0.035      290.94     1013.03       74.21        0.00        0.00        1.00      755.59
2024-05-29_15_00_00       beizhai       -2.75        6.29      -0.027      294.47     1013.40       39.79        0.00        0.00        1.00      671.32
2024-05-29_15_00_00    dengzhoulu       -1.48        6.73       0.011      293.61     1013.05       52.94        0.00        0.00        1.00      750.26
2024-05-29_15_00_00       shangma       -2.32       10.14      -0.002      295.35     1012.27       42.16        0.00        0.00        1.00      685.12
2024-05-29_15_00_00    xingdenglu       -2.99        6.48      -0.030      295.10     1012.89       47.05        0.00        0.00        1.00      695.99
2024-05-29_16_00_00      badaguan       -2.46        6.67       0.028      290.89     1012.07       72.15        0.00        0.00        0.00      621.76
2024-05-29_16_00_00       beizhai       -3.27        6.03      -0.049      294.74     1012.39       35.92        0.00        0.00        0.65      597.67
2024-05-29_16_00_00    dengzhoulu       -2.35        5.77       0.004      293.50     1012.12       50.87        0.00        0.00        0.00      621.86
2024-05-29_16_00_00       shangma       -2.33        8.90      -0.001      295.43     1011.55       40.93        0.00        0.00        1.00      588.64
2024-05-29_16_00_00    xingdenglu       -3.13        6.11      -0.030      295.26     1011.92       43.38        0.00        0.00        0.00      619.18
2024-05-29_17_00_00      badaguan       -2.51        7.49       0.035      290.89     1011.77       70.74        0.00        0.00        0.07      403.78
2024-05-29_17_00_00       beizhai       -4.10        6.15      -0.072      293.73     1012.08       39.78        0.00        0.00        0.22      396.82
2024-05-29_17_00_00    dengzhoulu       -2.47        6.25       0.008      292.83     1011.82       54.80        0.00        0.00        0.05      404.74
2024-05-29_17_00_00       shangma       -2.54        8.88      -0.001      294.40     1011.20       46.27        0.00        0.00        1.00      370.16
2024-05-29_17_00_00    xingdenglu       -3.93        6.04      -0.041      294.10     1011.63       48.70        0.00        0.00        0.05      403.76
2024-05-29_18_00_00      badaguan       -2.68        7.34       0.034      290.74     1011.80       71.30        0.00        0.00        1.00       69.66
2024-05-29_18_00_00       beizhai       -4.51        5.39      -0.107      292.41     1012.09       43.25        0.00        0.00        1.00       50.82
2024-05-29_18_00_00    dengzhoulu       -2.71        5.70       0.008      291.96     1011.89       59.91        0.00        0.00        1.00       71.03
2024-05-29_18_00_00       shangma       -2.18        7.96      -0.001      292.57     1011.37       55.58        0.00        0.00        1.00       43.90
2024-05-29_18_00_00    xingdenglu       -4.17        5.28      -0.046      292.64     1011.72       53.38        0.00        0.00        1.00       43.81
2024-05-29_19_00_00      badaguan       -2.61        6.18       0.026      290.41     1011.71       75.11        0.00        0.00        1.00        0.00
2024-05-29_19_00_00       beizhai       -4.29        5.49      -0.114      292.47     1011.83       40.27        0.00        0.00        1.00        0.00
2024-05-29_19_00_00    dengzhoulu       -2.74        4.72       0.003      291.29     1011.80       65.23        0.00        0.00        1.00        0.00
2024-05-29_19_00_00       shangma       -1.64        7.23      -0.002      291.62     1011.35       61.24        0.00        0.00        1.00        0.00
2024-05-29_19_00_00    xingdenglu       -3.68        4.95      -0.043      292.43     1011.58       51.78        0.00        0.00        1.00        0.00
2024-05-29_20_00_00      badaguan       -0.49        6.85       0.041      290.04     1012.37       81.20        0.00        0.00        0.79        0.00
2024-05-29_20_00_00       beizhai       -4.14        5.65      -0.151      290.65     1012.32       55.82        0.00        0.00        1.00        0.00
2024-05-29_20_00_00    dengzhoulu       -0.74        5.55       0.018      290.57     1012.40       74.58        0.00        0.00        0.10        0.00
2024-05-29_20_00_00       shangma       -1.30        8.55      -0.002      290.83     1011.69       67.92        0.00        0.00        0.76        0.00
2024-05-29_20_00_00    xingdenglu       -2.95        4.75      -0.043      291.12     1012.19       63.57        0.00        0.00        1.00        0.00
2024-05-29_21_00_00      badaguan        0.50        7.07       0.042      290.00     1012.63       83.57        0.00        0.00        1.00        0.00
2024-05-29_21_00_00       beizhai       -3.56        5.27      -0.125      290.28     1012.84       62.34        0.00        0.00        1.00        0.00
2024-05-29_21_00_00    dengzhoulu       -0.17        5.56       0.020      290.48     1012.66       78.10        0.00        0.00        1.00        0.00
2024-05-29_21_00_00       shangma       -1.27        8.31      -0.002      290.50     1012.22       75.23        0.00        0.00        1.00        0.00
2024-05-29_21_00_00    xingdenglu       -3.01        4.73      -0.031      290.45     1012.66       74.56        0.00        0.00        1.00        0.00
2024-05-29_22_00_00      badaguan        0.16        5.35       0.034      289.78     1012.24       86.85        0.00        0.00        1.00        0.00
2024-05-29_22_00_00       beizhai       -2.97        4.94      -0.114      290.41     1012.43       63.56        0.00        0.00        1.00        0.00
2024-05-29_22_00_00    dengzhoulu       -0.51        4.63       0.016      290.28     1012.26       81.41        0.00        0.00        1.00        0.00
2024-05-29_22_00_00       shangma       -1.18        7.97      -0.002      290.59     1011.78       76.69        0.00        0.00        1.00        0.00
2024-05-29_22_00_00    xingdenglu       -2.77        4.64      -0.031      290.42     1012.22       78.22        0.00        0.00        1.00        0.00
2024-05-29_23_00_00      badaguan       -0.40        4.53       0.030      289.66     1012.43       88.26        0.00        0.00        1.00        0.00
2024-05-29_23_00_00       beizhai       -3.91        5.06      -0.163      289.78     1012.42       71.64        0.00        0.00        1.00        0.00
