CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-05-21_00_00_00      badaguan       -3.66        1.63       0.011      287.60     1018.11       97.96        0.04        1.00        1.00        0.00
2024-05-21_00_00_00       beizhai       -1.18        2.37       0.012      288.48     1017.68       92.16        0.00        0.00        0.00        0.00
2024-05-21_00_00_00    dengzhoulu       -3.31        2.03      -0.003      287.89     1018.05       97.10        0.01        1.00        1.00        0.00
2024-05-21_00_00_00       shangma       -1.23        3.61      -0.000      288.40     1018.01       97.66        0.00        0.95        0.95        0.00
2024-05-21_00_00_00    xingdenglu       -1.89        3.03      -0.005      288.09     1017.95       97.49        0.00        0.95        0.95        0.00
2024-05-21_01_00_00      badaguan       -3.07        1.86       0.016      287.62     1018.59       98.16        0.02        1.00        1.00        0.00
2024-05-21_01_00_00       beizhai       -1.43        2.78       0.008      287.99     1018.20       95.51        0.00        0.00        1.00        0.00
2024-05-21_01_00_00    dengzhoulu       -2.80        1.89       0.001      288.04     1018.52       97.41        0.02        1.00        1.00        0.00
2024-05-21_01_00_00       shangma       -1.08        3.31      -0.000      287.87     1018.53       97.57        0.01        1.00        1.00        0.00
2024-05-21_01_00_00    xingdenglu       -2.08        2.98      -0.010      288.28     1018.45       97.57        0.00        1.00        1.00        0.00
2024-05-21_02_00_00      badaguan       -3.43        2.00       0.014      287.27     1018.84       98.83        0.01        1.00        1.00        0.00
2024-05-21_02_00_00       beizhai       -1.65        2.68      -0.011      287.87     1018.50       96.16        0.00        0.00        0.00        0.00
2024-05-21_02_00_00    dengzhoulu       -2.61        2.34       0.002      287.68     1018.77       97.27        0.01        1.00        1.00        0.00
2024-05-21_02_00_00       shangma       -1.78        3.30      -0.000      288.26     1018.71       97.92        0.01        1.00        1.00        0.00
2024-05-21_02_00_00    xingdenglu       -2.60        2.54      -0.025      288.65     1018.66       97.68        0.00        1.00        1.00        0.00
2024-05-21_03_00_00      badaguan       -3.26        1.28       0.007      287.26     1018.84       98.93        0.01        1.00        1.00        0.00
2024-05-21_03_00_00       beizhai       -1.60        2.78      -0.021      287.59     1018.59       96.87        0.00        0.00        0.00        0.00
2024-05-21_03_00_00    dengzhoulu       -2.55        1.70      -0.004      287.43     1018.79       97.33        0.00        1.00        1.00        0.00
2024-05-21_03_00_00       shangma       -1.37        3.01       0.000      288.23     1018.88       98.00        0.01        1.00        1.00        0.00
2024-05-21_03_00_00    xingdenglu       -2.06        2.63      -0.017      288.31     1018.80       97.72        0.00        1.00        1.00        0.00
2024-05-21_04_00_00      badaguan       -3.57        0.60       0.008      287.10     1019.08       98.82        0.01        1.00        1.00        0.00
2024-05-21_04_00_00       beizhai       -1.32        1.86      -0.002      287.21     1018.90       94.52        0.00        0.29        0.29        0.00
2024-05-21_04_00_00    dengzhoulu       -2.55        1.03      -0.001      287.39     1019.04       97.49        0.01        1.00        1.00        0.00
2024-05-21_04_00_00       shangma       -1.77        1.99       0.000      288.09     1019.17       98.11        0.00        1.00        1.00        0.00
