CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-09_00_00_00      badaguan       -0.17        2.97       0.016      292.23     1006.41       92.09        0.00        0.08        0.93        0.00
2024-06-09_00_00_00       beizhai       -1.87        2.28      -0.211      292.57     1006.72       72.85        0.00        0.00        0.00        0.00
2024-06-09_00_00_00    dengzhoulu       -0.24        2.94       0.002      292.62     1006.36       87.39        0.00        0.28        0.73        0.00
2024-06-09_00_00_00       shangma       -1.82        5.50       0.002      292.63     1005.93       85.78        0.00        0.00        0.62        0.00
2024-06-09_00_00_00    xingdenglu       -2.68        3.16      -0.059      293.58     1006.36       76.99        0.00        0.00        0.00        0.00
2024-06-09_01_00_00      badaguan       -0.53        3.15       0.019      292.41     1006.72       90.26        0.00        0.00        1.00        0.00
2024-06-09_01_00_00       beizhai       -1.90        2.21      -0.235      293.76     1007.05       68.54        0.00        0.00        1.00        0.00
2024-06-09_01_00_00    dengzhoulu       -0.83        2.94       0.002      292.91     1006.69       84.93        0.00        0.00        1.00        0.00
2024-06-09_01_00_00       shangma       -1.54        5.74       0.001      293.68     1006.17       78.65        0.00        0.00        1.00        0.00
2024-06-09_01_00_00    xingdenglu       -2.77        2.78      -0.072      294.37     1006.60       72.14        0.00        0.00        1.00        0.00
2024-06-09_02_00_00      badaguan       -0.78        2.86       0.016      292.44     1006.88       89.61        0.00        0.00        1.00        0.00
2024-06-09_02_00_00       beizhai       -1.80        2.20      -0.234      293.95     1007.16       67.95        0.00        0.00        1.00        0.00
2024-06-09_02_00_00    dengzhoulu       -1.01        2.79       0.001      293.00     1006.85       83.58        0.00        0.00        1.00        0.00
2024-06-09_02_00_00       shangma       -1.63        5.67       0.001      293.90     1006.35       76.88        0.00        0.00        1.00        0.00
2024-06-09_02_00_00    xingdenglu       -2.76        2.84      -0.066      294.94     1006.72       68.47        0.00        0.00        1.00        0.00
2024-06-09_03_00_00      badaguan       -0.70        2.73       0.016      292.43     1006.80       89.14        0.00        0.00        1.00        0.00
2024-06-09_03_00_00       beizhai       -1.76        2.02      -0.224      292.99     1007.09       71.95        0.00        0.00        1.00        0.00
2024-06-09_03_00_00    dengzhoulu       -0.99        2.52       0.001      292.93     1006.77       83.25        0.00        0.00        1.00        0.00
2024-06-09_03_00_00       shangma       -1.84        5.31       0.002      293.86     1006.25       76.47        0.00        0.00        1.00        0.00
2024-06-09_03_00_00    xingdenglu       -2.54        2.67      -0.064      294.65     1006.67       69.80        0.00        0.00        1.00        0.00
2024-06-09_04_00_00      badaguan       -0.90        2.24       0.012      292.30     1006.79       90.11        0.00        0.00        1.00        0.00
2024-06-09_04_00_00       beizhai       -1.65        1.90      -0.211      293.44     1007.00       68.93        0.00        0.00        1.00        0.00
2024-06-09_04_00_00    dengzhoulu       -1.09        2.08      -0.004      292.72     1006.76       84.51        0.00        0.00        1.00        0.00
2024-06-09_04_00_00       shangma       -1.92        4.91       0.003      293.52     1006.27       78.19        0.00        0.00        1.00        0.00
2024-06-09_04_00_00    xingdenglu       -2.46        2.75      -0.059      294.82     1006.58       68.54        0.00        0.00        1.00        0.00
2024-06-09_05_00_00      badaguan       -0.75        2.77       0.017      292.19     1007.04       90.66        0.00        0.00        0.93        0.00
2024-06-09_05_00_00       beizhai       -1.81        2.20      -0.181      293.70     1007.21       67.68        0.00        0.00        1.00        0.00
2024-06-09_05_00_00    dengzhoulu       -1.08        2.53      -0.001      292.46     1007.00       85.95        0.00        0.00        0.91        0.00
2024-06-09_05_00_00       shangma       -1.79        5.04       0.003      293.22     1006.47       79.93        0.00        0.00        1.00        0.00
2024-06-09_05_00_00    xingdenglu       -2.98        3.41      -0.053      294.81     1006.84       68.71        0.00        0.00        1.00        0.00
2024-06-09_06_00_00      badaguan       -0.22        3.01       0.018      292.52     1007.27       88.49        0.00        0.00        0.29      119.08
2024-06-09_06_00_00       beizhai       -1.48        1.99      -0.176      294.70     1007.48       63.61        0.00        0.00        1.00       34.06
