CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-24_00_00_00      badaguan        0.08       -3.31      -0.022      295.95     1002.69       79.09        0.00        0.00        0.00        0.00
2024-06-24_00_00_00       beizhai       -3.43       -4.97      -0.211      295.82     1002.67       64.02        0.00        0.00        0.00        0.00
2024-06-24_00_00_00    dengzhoulu       -0.12       -3.30      -0.010      296.99     1002.74       66.56        0.00        0.00        0.00        0.00
2024-06-24_00_00_00       shangma       -0.15       -4.42       0.002      294.88     1002.99       65.67        0.00        0.00        0.00        0.00
2024-06-24_00_00_00    xingdenglu       -1.68       -3.99      -0.025      296.20     1002.84       69.57        0.00        0.00        0.00        0.00
2024-06-24_01_00_00      badaguan       -0.03       -3.42      -0.022      295.23     1003.36       76.54        0.00        0.00        0.00        0.00
2024-06-24_01_00_00       beizhai       -2.97       -6.44      -0.213      294.52     1002.93       62.68        0.00        0.00        0.00        0.00
2024-06-24_01_00_00    dengzhoulu       -0.18       -3.68      -0.013      295.63     1003.31       65.35        0.00        0.00        0.00        0.00
2024-06-24_01_00_00       shangma       -0.12       -5.80       0.002      294.04     1003.50       72.14        0.00        0.00        0.00        0.00
2024-06-24_01_00_00    xingdenglu       -1.53       -5.39      -0.035      294.76     1003.08       69.39        0.00        0.00        0.00        0.00
2024-06-24_02_00_00      badaguan        1.94       -0.04      -0.003      294.62     1005.35       80.50        0.00        0.00        0.00        0.00
2024-06-24_02_00_00       beizhai       -2.69       -2.97      -0.162      292.46     1004.49       74.09        0.00        0.00        0.00        0.00
2024-06-24_02_00_00    dengzhoulu        1.16        0.13       0.001      294.73     1005.38       69.86        0.00        0.00        0.00        0.00
2024-06-24_02_00_00       shangma       -0.41       -3.77       0.002      293.03     1004.27       76.11        0.00        0.00        0.00        0.00
2024-06-24_02_00_00    xingdenglu       -0.93       -1.43      -0.016      293.31     1004.71       77.23        0.00        0.00        0.00        0.00
2024-06-24_03_00_00      badaguan        2.28       -4.63      -0.026      294.35     1005.53       76.21        0.00        0.00        0.00        0.00
2024-06-24_03_00_00       beizhai       -2.03       -2.92      -0.143      292.35     1005.79       70.26        0.00        0.00        0.00        0.00
2024-06-24_03_00_00    dengzhoulu        1.54       -3.11      -0.008      294.23     1005.67       72.06        0.00        0.00        0.00        0.00
2024-06-24_03_00_00       shangma        1.13       -0.53      -0.003      292.11     1006.38       79.93        0.00        0.00        0.00        0.00
2024-06-24_03_00_00    xingdenglu        1.72       -1.23       0.025      293.42     1005.98       77.80        0.00        0.00        0.00        0.00
2024-06-24_04_00_00      badaguan        2.23       -5.85      -0.033      294.05     1005.59       76.42        0.00        0.00        0.00        0.00
2024-06-24_04_00_00       beizhai       -0.80       -5.35      -0.159      291.64     1005.68       76.97        0.00        0.00        0.00        0.00
2024-06-24_04_00_00    dengzhoulu        1.77       -4.40      -0.010      293.79     1005.66       73.74        0.00        0.00        0.00        0.00
2024-06-24_04_00_00       shangma        2.26       -2.83      -0.004      292.04     1006.11       77.21        0.00        0.00        0.00        0.00
2024-06-24_04_00_00    xingdenglu        1.62       -4.10       0.018      293.01     1005.85       76.23        0.00        0.00        0.00        0.00
2024-06-24_05_00_00      badaguan        1.72       -5.85      -0.033      293.67     1006.07       75.32        0.00        0.00        0.00        0.00
2024-06-24_05_00_00       beizhai       -0.99       -5.58      -0.159      291.15     1005.93       78.01        0.00        0.00        0.00        0.00
2024-06-24_05_00_00    dengzhoulu        1.44       -4.25      -0.011      293.38     1006.13       72.90        0.00        0.00        0.00        0.00
2024-06-24_05_00_00       shangma        2.20       -3.33      -0.004      291.68     1006.44       76.96        0.00        0.00        0.00        0.00
2024-06-24_05_00_00    xingdenglu        2.12       -4.15       0.022      292.57     1006.12       74.83        0.00        0.00        0.00        0.00
2024-06-24_06_00_00      badaguan        1.18       -6.47      -0.038      293.61     1007.05       73.69        0.00        0.00        0.00      115.49
2024-06-24_06_00_00       beizhai       -1.02       -6.62      -0.142      292.17     1006.89       70.64        0.00        0.00        0.00      120.18
2024-06-24_06_00_00    dengzhoulu        0.90       -5.32      -0.016      293.47     1007.10       70.06        0.00        0.00        0.00      115.82
2024-06-24_06_00_00       shangma        1.31       -5.23      -0.000      293.14     1007.41       69.91        0.00        0.00        0.00      115.57
2024-06-24_06_00_00    xingdenglu        0.69       -5.73       0.003      293.13     1007.12       70.29        0.00        0.00        0.00      116.95
2024-06-24_07_00_00      badaguan        1.06       -6.23      -0.036      294.11     1007.08       68.74        0.00        0.00        0.00      321.97
2024-06-24_07_00_00       beizhai       -0.55       -8.05      -0.141      294.39     1006.93       56.09        0.00        0.00        0.00      328.04
2024-06-24_07_00_00    dengzhoulu        0.78       -5.42      -0.015      294.39     1007.12       62.37        0.00        0.00        0.00      322.44
2024-06-24_07_00_00       shangma        0.10       -6.37       0.002      294.89     1007.52       57.74        0.00        0.00        0.00      322.45
2024-06-24_07_00_00    xingdenglu       -0.14       -6.57      -0.013      294.68     1007.16       59.82        0.00        0.00        0.00      323.72
2024-06-24_08_00_00      badaguan        1.88       -6.13      -0.036      295.31     1007.44       62.51        0.00        0.00        0.00      531.64
2024-06-24_08_00_00       beizhai        1.25       -8.96      -0.076      296.12     1007.16       46.70        0.00        0.00        0.00      538.82
2024-06-24_08_00_00    dengzhoulu        1.58       -5.88      -0.014      296.15     1007.43       51.08        0.00        0.00        0.00      532.23
2024-06-24_08_00_00       shangma        1.42       -7.67       0.002      297.24     1007.56       46.13        0.00        0.00        0.00      533.08
2024-06-24_08_00_00    xingdenglu        0.92       -7.25       0.000      296.70     1007.32       48.58        0.00        0.00        0.00      533.87
2024-06-24_09_00_00      badaguan        1.69       -6.04      -0.038      296.46     1008.05       58.27        0.00        0.00        0.00      720.13
2024-06-24_09_00_00       beizhai        1.82       -8.48      -0.048      297.52     1007.97       40.34        0.00        0.00        0.00      728.65
2024-06-24_09_00_00    dengzhoulu        1.69       -6.12      -0.016      298.03     1008.07       41.67        0.00        0.00        0.00      720.80
2024-06-24_09_00_00       shangma        2.16       -7.87       0.001      298.85     1008.08       39.96        0.00        0.00        0.00      723.61
2024-06-24_09_00_00    xingdenglu        1.37       -6.82       0.007      298.31     1007.96       42.73        0.00        0.00        0.00      723.43
2024-06-24_10_00_00      badaguan        1.86       -5.60      -0.037      297.14     1008.30       56.71        0.00        0.00        0.00      873.05
2024-06-24_10_00_00       beizhai        2.12       -8.36      -0.032      298.56     1008.19       37.25        0.00        0.00        0.00      882.65
2024-06-24_10_00_00    dengzhoulu        2.05       -6.21      -0.016      299.32     1008.31       36.69        0.00        0.00        0.00      874.10
2024-06-24_10_00_00       shangma        1.98       -8.31       0.001      299.93     1008.17       35.75        0.00        0.00        0.00      876.57
2024-06-24_10_00_00    xingdenglu        1.71       -6.93       0.011      299.42     1008.07       38.62        0.00        0.00        0.00      877.02
2024-06-24_11_00_00      badaguan        1.99       -6.71      -0.044      297.75     1007.75       52.93        0.00        0.00        0.00      977.63
2024-06-24_11_00_00       beizhai        2.47       -9.20      -0.030      299.28     1007.78       34.35        0.00        0.00        0.00      986.69
2024-06-24_11_00_00    dengzhoulu        2.18       -7.12      -0.018      300.14     1007.79       33.85        0.00        0.00        0.00      978.91
2024-06-24_11_00_00       shangma        2.13       -9.22       0.001      300.48     1007.96       33.45        0.00        0.00        0.00      980.19
2024-06-24_11_00_00    xingdenglu        1.73       -7.77       0.010      300.07     1007.65       36.53        0.00        0.00        0.00      980.81
2024-06-24_12_00_00      badaguan        2.05       -5.91      -0.040      297.85     1008.24       53.95        0.00        0.00        0.00     1028.29
2024-06-24_12_00_00       beizhai        2.72       -8.20      -0.008      299.65     1008.22       32.71        0.00        0.00        0.00     1034.94
2024-06-24_12_00_00    dengzhoulu        2.29       -6.55      -0.016      300.51     1008.27       33.13        0.00        0.00        0.00     1029.03
2024-06-24_12_00_00       shangma        2.44       -8.46       0.000      300.71     1008.26       32.96        0.00        0.00        0.00     1028.88
2024-06-24_12_00_00    xingdenglu        2.01       -6.98       0.015      300.37     1008.06       36.46        0.00        0.00        0.00     1028.48
2024-06-24_13_00_00      badaguan        2.02       -5.78      -0.040      297.97     1007.66       54.01        0.00        0.00        0.00     1015.31
2024-06-24_13_00_00       beizhai        2.57       -7.91      -0.007      299.93     1007.76       32.04        0.00        0.00        0.00     1021.72
2024-06-24_13_00_00    dengzhoulu        2.19       -6.44      -0.016      300.78     1007.70       32.64        0.00        0.00        0.00     1015.90
2024-06-24_13_00_00       shangma        2.29       -8.16       0.000      300.99     1007.85       31.90        0.00        0.00        0.00     1016.30
