CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-05-28_00_00_00      badaguan        0.93       -0.00      -0.003      289.68     1009.47       72.00        0.00        0.00        0.00        0.00
2024-05-28_00_00_00       beizhai       -0.11       -1.15      -0.066      288.50     1009.55       46.52        0.00        0.00        0.00        0.00
2024-05-28_00_00_00    dengzhoulu        0.90       -0.05      -0.002      289.82     1009.46       58.72        0.00        0.00        0.00        0.00
2024-05-28_00_00_00       shangma        1.03        1.70      -0.002      287.78     1009.49       71.99        0.00        0.00        0.00        0.00
2024-05-28_00_00_00    xingdenglu        0.12        0.50      -0.014      289.92     1009.45       57.25        0.00        0.00        0.00        0.00
2024-05-28_01_00_00      badaguan        0.26        1.01       0.004      289.10     1009.82       78.75        0.00        0.00        0.00        0.00
2024-05-28_01_00_00       beizhai       -0.42       -0.98      -0.072      288.34     1009.83       44.65        0.00        0.00        0.00        0.00
2024-05-28_01_00_00    dengzhoulu        0.25        0.87       0.001      289.13     1009.81       66.04        0.00        0.00        0.00        0.00
2024-05-28_01_00_00       shangma        1.83        1.08      -0.003      287.41     1009.72       65.49        0.00        0.00        0.00        0.00
2024-05-28_01_00_00    xingdenglu        0.03        0.32      -0.013      289.66     1009.78       58.26        0.00        0.00        0.00        0.00
2024-05-28_02_00_00      badaguan        0.87        0.96       0.001      288.87     1010.13       80.55        0.00        0.00        0.00        0.00
2024-05-28_02_00_00       beizhai       -0.20       -0.93      -0.058      288.11     1010.18       43.73        0.00        0.00        0.00        0.00
2024-05-28_02_00_00    dengzhoulu        0.65        1.02      -0.000      288.56     1010.13       70.22        0.00        0.00        0.00        0.00
2024-05-28_02_00_00       shangma        1.72        1.35      -0.003      287.03     1010.10       60.43        0.00        0.00        0.00        0.00
2024-05-28_02_00_00    xingdenglu       -0.06        0.77      -0.005      288.82     1010.16       63.51        0.00        0.00        0.00        0.00
2024-05-28_03_00_00      badaguan        1.23        0.33      -0.001      289.11     1010.36       74.90        0.00        0.00        0.00        0.00
2024-05-28_03_00_00       beizhai       -0.34       -1.55      -0.085      287.22     1010.45       46.39        0.00        0.00        0.00        0.00
2024-05-28_03_00_00    dengzhoulu        0.96        0.26      -0.000      288.62     1010.37       65.27        0.00        0.00        0.00        0.00
2024-05-28_03_00_00       shangma        1.27        0.96      -0.001      286.65     1010.50       61.27        0.00        0.00        0.00        0.00
2024-05-28_03_00_00    xingdenglu        0.13        0.18      -0.005      288.75     1010.45       64.19        0.00        0.00        0.00        0.00
2024-05-28_04_00_00      badaguan        0.43       -1.10      -0.011      289.14     1010.54       72.06        0.00        0.00        0.00        0.00
2024-05-28_04_00_00       beizhai       -0.74       -2.13      -0.120      286.47     1010.56       49.67        0.00        0.00        0.00        0.00
2024-05-28_04_00_00    dengzhoulu        0.38       -1.16      -0.007      288.26     1010.54       66.12        0.00        0.00        0.00        0.00
