CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-05-26_00_00_00      badaguan       -5.30        3.34       0.026      288.04     1009.40       98.91        0.03        1.00        1.00        0.00
2024-05-26_00_00_00       beizhai       -4.97        6.27      -0.126      288.72     1009.34       98.26        0.00        0.00        1.00        0.00
2024-05-26_00_00_00    dengzhoulu       -4.21        3.33       0.003      288.05     1009.26       97.88        0.00        1.00        1.00        0.00
2024-05-26_00_00_00       shangma       -2.99        7.47       0.000      288.16     1008.70       98.66        0.00        0.00        1.00        0.00
2024-05-26_00_00_00    xingdenglu       -5.10        4.93      -0.062      288.33     1009.11       97.27        0.00        0.00        1.00        0.00
2024-05-26_01_00_00      badaguan       -5.77        3.66       0.029      288.03     1009.29       99.10        0.03        1.00        1.00        0.00
2024-05-26_01_00_00       beizhai       -5.57        6.30      -0.145      289.01     1009.23       98.80        0.00        0.82        0.83        0.00
2024-05-26_01_00_00    dengzhoulu       -4.34        3.64       0.008      288.26     1009.14       98.13        0.00        1.00        1.00        0.00
2024-05-26_01_00_00       shangma       -3.36        6.58       0.001      288.46     1008.89       98.30        0.00        1.00        1.00        0.00
2024-05-26_01_00_00    xingdenglu       -5.21        4.46      -0.064      288.73     1009.11       98.27        0.00        0.99        1.00        0.00
2024-05-26_02_00_00      badaguan       -5.84        2.04       0.010      288.39     1009.01       98.17        0.00        1.00        1.00        0.00
2024-05-26_02_00_00       beizhai       -4.68        5.69      -0.121      289.72     1009.10       99.15        0.00        0.82        1.00        0.00
2024-05-26_02_00_00    dengzhoulu       -4.24        2.50      -0.005      288.70     1008.92       98.57        0.00        1.00        1.00        0.00
2024-05-26_02_00_00       shangma       -3.50        6.24       0.001      288.95     1008.47       98.60        0.00        1.00        1.00        0.00
2024-05-26_02_00_00    xingdenglu       -4.85        4.13      -0.061      289.24     1008.82       98.25        0.00        1.00        1.00        0.00
2024-05-26_03_00_00      badaguan       -5.95        2.83       0.011      288.87     1008.45       96.37        0.00        1.00        1.00        0.00
2024-05-26_03_00_00       beizhai       -5.01        6.07      -0.135      289.80     1008.51       99.19        0.00        0.85        1.00        0.00
2024-05-26_03_00_00    dengzhoulu       -4.10        3.60      -0.009      289.28     1008.31       99.07        0.00        1.00        1.00        0.00
2024-05-26_03_00_00       shangma       -3.37        7.19       0.001      289.60     1007.77       99.00        0.00        1.00        1.00        0.00
2024-05-26_03_00_00    xingdenglu       -4.72        4.88      -0.058      289.68     1008.22       98.22        0.00        1.00        1.00        0.00
2024-05-26_04_00_00      badaguan       -5.69        2.82       0.016      289.04     1007.63       95.97        0.00        1.00        1.00        0.00
2024-05-26_04_00_00       beizhai       -4.98        5.63      -0.130      290.32     1007.65       99.44        0.00        1.00        1.00        0.00
2024-05-26_04_00_00    dengzhoulu       -4.18        3.36      -0.008      289.67     1007.54       99.36        0.00        1.00        1.00        0.00
