CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-05-09_00_00_00      badaguan        0.32        3.55       0.016      286.04     1020.40       89.04        0.00        0.00        0.00        0.00
2024-05-09_00_00_00       beizhai       -2.40        2.38      -0.237      285.37     1020.42       48.95        0.00        0.00        0.00        0.00
2024-05-09_00_00_00    dengzhoulu       -0.33        2.97       0.001      286.26     1020.35       82.03        0.00        0.00        0.00        0.00
2024-05-09_00_00_00       shangma       -1.40        4.89       0.002      286.38     1019.95       67.26        0.00        0.00        0.00        0.00
2024-05-09_00_00_00    xingdenglu       -2.90        2.76      -0.073      287.51     1020.26       53.82        0.00        0.00        0.00        0.00
2024-05-09_01_00_00      badaguan        0.20        2.87       0.014      286.09     1020.71       85.99        0.00        0.00        0.00        0.00
2024-05-09_01_00_00       beizhai       -2.03        2.58      -0.231      284.69     1020.77       58.02        0.00        0.00        0.00        0.00
2024-05-09_01_00_00    dengzhoulu       -0.29        2.33       0.000      286.07     1020.68       80.16        0.00        0.00        0.00        0.00
2024-05-09_01_00_00       shangma       -1.51        4.72       0.002      286.15     1020.21       68.08        0.00        0.00        0.00        0.00
2024-05-09_01_00_00    xingdenglu       -2.50        3.07      -0.058      287.05     1020.64       60.03        0.00        0.00        0.00        0.00
2024-05-09_02_00_00      badaguan        0.69        3.01       0.017      286.22     1020.68       84.68        0.00        0.00        0.00        0.00
2024-05-09_02_00_00       beizhai       -1.69        2.48      -0.222      284.20     1020.68       61.90        0.00        0.00        0.00        0.00
2024-05-09_02_00_00    dengzhoulu       -0.10        2.21       0.002      285.98     1020.65       79.16        0.00        0.00        0.00        0.00
2024-05-09_02_00_00       shangma       -1.01        4.66       0.001      286.04     1020.18       66.30        0.00        0.00        0.00        0.00
2024-05-09_02_00_00    xingdenglu       -2.26        2.68      -0.068      286.82     1020.56       62.07        0.00        0.00        0.00        0.00
2024-05-09_03_00_00      badaguan        1.51        3.34       0.019      286.32     1020.68       81.08        0.00        0.00        0.00        0.00
2024-05-09_03_00_00       beizhai       -0.91        2.38      -0.195      284.04     1020.76       59.94        0.00        0.00        0.00        0.00
2024-05-09_03_00_00    dengzhoulu        0.48        2.34       0.005      285.94     1020.67       75.59        0.00        0.00        0.00        0.00
2024-05-09_03_00_00       shangma       -0.32        3.93       0.000      285.57     1020.20       58.30        0.00        0.00        0.00        0.00
2024-05-09_03_00_00    xingdenglu       -2.01        2.79      -0.067      286.51     1020.62       65.73        0.00        0.00        0.00        0.00
2024-05-09_04_00_00      badaguan        1.29        3.57       0.022      286.38     1021.05       76.11        0.00        0.00        0.00        0.00
2024-05-09_04_00_00       beizhai       -0.96        2.53      -0.180      283.83     1021.12       58.01        0.00        0.00        0.00        0.00
2024-05-09_04_00_00    dengzhoulu        0.37        2.39       0.007      285.90     1021.03       67.99        0.00        0.00        0.00        0.00
2024-05-09_04_00_00       shangma       -0.14        3.73      -0.002      285.16     1020.47       54.79        0.00        0.00        0.00        0.00
2024-05-09_04_00_00    xingdenglu       -2.31        3.08      -0.066      286.35     1020.94       67.12        0.00        0.00        0.00        0.00
2024-05-09_05_00_00      badaguan        0.85        3.29       0.021      286.18     1021.31       78.78        0.00        0.00        0.00        0.00
2024-05-09_05_00_00       beizhai       -1.66        2.54      -0.211      283.45     1021.44       59.86        0.00        0.00        0.00        0.00
2024-05-09_05_00_00    dengzhoulu       -0.07        2.38       0.005      285.58     1021.29       72.83        0.00        0.00        0.00        0.00
2024-05-09_05_00_00       shangma       -0.44        3.88      -0.000      285.13     1020.80       54.15        0.00        0.00        0.00        0.00
2024-05-09_05_00_00    xingdenglu       -2.81        3.00      -0.077      286.28     1021.26       66.17        0.00        0.00        0.00        0.00
2024-05-09_06_00_00      badaguan        0.34        3.38       0.020      286.26     1021.82       81.17        0.00        0.00        0.00       78.82
2024-05-09_06_00_00       beizhai       -1.44        2.30      -0.200      285.82     1021.74       57.90        0.00        0.00        0.00       82.78
