CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-05_00_00_00      badaguan       -2.59        2.79       0.012      290.67     1017.21       94.35        0.00        0.00        1.00        0.00
2024-06-05_00_00_00       beizhai       -2.64        3.71      -0.119      290.06     1017.28       68.09        0.00        0.00        1.00        0.00
2024-06-05_00_00_00    dengzhoulu       -2.24        2.59      -0.002      290.68     1017.17       91.68        0.00        0.00        1.00        0.00
2024-06-05_00_00_00       shangma       -1.41        3.74       0.000      290.44     1016.89       88.32        0.00        0.00        1.00        0.00
2024-06-05_00_00_00    xingdenglu       -2.94        3.40      -0.050      291.32     1017.09       71.70        0.00        0.00        1.00        0.00
2024-06-05_01_00_00      badaguan       -3.51        2.74       0.013      290.74     1017.66       92.91        0.00        0.00        1.00        0.00
2024-06-05_01_00_00       beizhai       -3.07        4.18      -0.114      290.44     1017.61       67.48        0.00        0.00        1.00        0.00
2024-06-05_01_00_00    dengzhoulu       -2.87        2.43      -0.003      290.71     1017.62       90.06        0.00        0.00        1.00        0.00
2024-06-05_01_00_00       shangma       -1.91        3.56       0.001      290.34     1017.45       87.00        0.00        0.00        1.00        0.00
2024-06-05_01_00_00    xingdenglu       -3.38        3.53      -0.054      291.43     1017.45       71.70        0.00        0.00        1.00        0.00
2024-06-05_02_00_00      badaguan       -3.89        2.82       0.015      290.68     1017.56       94.07        0.00        0.00        1.00        0.00
2024-06-05_02_00_00       beizhai       -3.25        4.43      -0.113      290.38     1017.45       71.19        0.00        0.00        1.00        0.00
2024-06-05_02_00_00    dengzhoulu       -3.16        2.57      -0.003      290.64     1017.52       90.88        0.00        0.00        1.00        0.00
2024-06-05_02_00_00       shangma       -1.71        3.89       0.001      290.31     1017.23       86.57        0.00        0.00        1.00        0.00
2024-06-05_02_00_00    xingdenglu       -3.41        4.01      -0.053      291.36     1017.29       74.74        0.00        0.00        1.00        0.00
2024-06-05_03_00_00      badaguan       -2.98        3.57       0.020      290.68     1017.59       95.21        0.00        0.00        1.00        0.00
