CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-05-15_00_00_00      badaguan        0.62        3.11       0.011      288.15     1014.53       88.84        0.00        0.00        0.00        0.00
2024-05-15_00_00_00       beizhai       -1.23        1.85      -0.280      288.51     1014.95       78.21        0.00        0.00        0.00        0.00
2024-05-15_00_00_00    dengzhoulu        0.57        3.17       0.001      289.19     1014.46       81.12        0.00        0.00        0.00        0.00
2024-05-15_00_00_00       shangma        0.60        1.50       0.000      289.08     1015.29       77.17        0.00        0.00        0.00        0.00
2024-05-15_00_00_00    xingdenglu       -1.56        1.64      -0.090      289.81     1014.59       75.62        0.00        0.00        0.00        0.00
2024-05-15_01_00_00      badaguan        1.42        1.24       0.007      289.23     1015.66       79.36        0.00        0.00        0.00        0.00
2024-05-15_01_00_00       beizhai       -1.25       -0.99      -0.171      288.25     1016.11       77.17        0.00        0.00        0.00        0.00
2024-05-15_01_00_00    dengzhoulu        0.79        1.24       0.002      289.34     1015.62       76.61        0.00        0.00        0.00        0.00
2024-05-15_01_00_00       shangma       -2.63       -2.00       0.000      288.40     1016.07       79.63        0.00        0.00        0.00        0.00
2024-05-15_01_00_00    xingdenglu       -1.52       -1.09      -0.042      289.66     1015.84       75.31        0.00        0.00        0.00        0.00
2024-05-15_02_00_00      badaguan       -2.34       -2.03      -0.030      288.89     1016.44       81.19        0.00        0.00        0.00        0.00
2024-05-15_02_00_00       beizhai       -5.07       -4.98      -0.232      290.99     1016.56       61.46        0.00        0.00        0.00        0.00
2024-05-15_02_00_00    dengzhoulu       -1.40       -1.54      -0.023      289.14     1016.45       76.48        0.00        0.00        0.00        0.00
2024-05-15_02_00_00       shangma       -2.03       -6.48       0.005      290.52     1017.50       50.73        0.00        0.00        0.00        0.00
2024-05-15_02_00_00    xingdenglu       -3.51       -4.02      -0.060      291.18     1016.73       65.09        0.00        0.00        0.00        0.00
2024-05-15_03_00_00      badaguan       -1.26       -7.38      -0.044      289.90     1018.73       60.15        0.00        0.00        0.00        0.00
2024-05-15_03_00_00       beizhai       -5.50      -11.11      -0.349      290.53     1018.30       38.62        0.00        0.00        0.00        0.00
2024-05-15_03_00_00    dengzhoulu       -0.96       -6.41      -0.024      290.65     1018.85       48.41        0.00        0.00        0.00        0.00
2024-05-15_03_00_00       shangma       -0.76       -8.95       0.005      290.24     1019.81       36.66        0.00        0.00        0.00        0.00
2024-05-15_03_00_00    xingdenglu       -1.63       -7.31      -0.034      290.32     1019.04       45.49        0.00        0.00        0.00        0.00
2024-05-15_04_00_00      badaguan       -0.96      -10.16      -0.058      289.49     1020.63       52.81        0.00        0.00        0.00        0.00
2024-05-15_04_00_00       beizhai       -5.20      -12.87      -0.349      288.66     1020.24       46.49        0.00        0.00        0.00        0.00
2024-05-15_04_00_00    dengzhoulu       -1.02       -8.96      -0.032      289.97     1020.71       42.19        0.00        0.00        0.00        0.00
2024-05-15_04_00_00       shangma       -2.14      -11.03       0.007      289.12     1021.61       45.96        0.00        0.00        0.00        0.00
2024-05-15_04_00_00    xingdenglu       -2.37       -9.78      -0.049      289.76     1020.91       44.94        0.00        0.00        0.00        0.00
2024-05-15_05_00_00      badaguan       -0.92       -9.62      -0.053      288.45     1022.31       59.21        0.00        0.00        0.00        0.00
2024-05-15_05_00_00       beizhai       -4.61      -11.64      -0.306      287.15     1021.92       56.06        0.00        0.00        0.00        0.00
2024-05-15_05_00_00    dengzhoulu       -0.96       -8.18      -0.028      288.64     1022.36       50.57        0.00        0.00        0.00        0.00
2024-05-15_05_00_00       shangma       -1.13       -9.49       0.005      287.73     1022.93       57.24        0.00        0.00        0.00        0.00
2024-05-15_05_00_00    xingdenglu       -1.86       -8.72      -0.039      288.40     1022.48       53.40        0.00        0.00        0.00        0.00
2024-05-15_06_00_00      badaguan       -1.17       -8.55      -0.048      288.01     1023.37       64.41        0.00        0.00        0.00       91.13
2024-05-15_06_00_00       beizhai       -4.30      -10.12      -0.259      286.86     1023.14       62.30        0.00        0.00        0.00       95.24
2024-05-15_06_00_00    dengzhoulu       -1.40       -7.19      -0.027      288.27     1023.43       56.27        0.00        0.00        0.00       91.39
2024-05-15_06_00_00       shangma       -2.23       -7.78       0.006      287.71     1023.86       62.20        0.00        0.00        0.00       90.56
2024-05-15_06_00_00    xingdenglu       -2.32       -8.73      -0.045      288.12     1023.48       59.28        0.00        0.00        0.00       92.22
2024-05-15_07_00_00      badaguan       -0.03       -9.30      -0.054      288.00     1023.81       68.07        0.00        0.00        0.00      302.58
2024-05-15_07_00_00       beizhai       -3.10      -10.08      -0.230      287.24     1023.58       66.10        0.00        0.00        0.00      308.74
2024-05-15_07_00_00    dengzhoulu       -0.32       -8.15      -0.029      288.52     1023.87       60.05        0.00        0.00        0.00      303.92
2024-05-15_07_00_00       shangma       -1.24       -8.48       0.004      286.57     1024.53       76.60        0.07        0.00        1.00      129.99
2024-05-15_07_00_00    xingdenglu       -0.81       -8.26      -0.024      288.31     1024.25       62.79        0.00        0.00        0.00      304.65
2024-05-15_08_00_00      badaguan       -0.04       -7.65      -0.043      285.54     1023.99       87.19        2.23        0.64        1.00       25.43
2024-05-15_08_00_00       beizhai       -2.79       -5.83      -0.157      284.59     1023.81       82.66        2.28        0.00        1.00       20.21
2024-05-15_08_00_00    dengzhoulu       -0.08       -6.07      -0.022      285.60     1024.13       83.56        2.45        0.04        1.00       24.05
2024-05-15_08_00_00       shangma       -0.10       -2.32       0.000      285.66     1024.24       84.15        2.33        0.00        1.00       22.18
2024-05-15_08_00_00    xingdenglu       -1.60       -4.22      -0.031      285.61     1024.07       83.54        2.58        0.00        1.00       29.69
2024-05-15_09_00_00      badaguan        1.22       -5.40      -0.032      287.25     1024.72       74.33        0.25        0.00        1.00      423.54
2024-05-15_09_00_00       beizhai        0.12       -7.78      -0.099      288.32     1024.36       59.86        0.26        0.00        1.00      508.50
2024-05-15_09_00_00    dengzhoulu        1.08       -4.58      -0.013      287.66     1024.74       67.63        0.18        0.00        1.00      451.52
2024-05-15_09_00_00       shangma        0.86       -5.84       0.001      290.13     1024.80       59.24        0.00        0.00        0.00      726.34
2024-05-15_09_00_00    xingdenglu        1.43       -5.31       0.010      288.94     1024.71       63.94        0.05        0.00        0.90      586.59
2024-05-15_10_00_00      badaguan        1.30       -4.63      -0.031      288.73     1024.65       69.60        0.00        0.00        1.00      575.37
2024-05-15_10_00_00       beizhai        0.47       -7.09      -0.064      290.15     1024.44       53.21        0.00        0.00        1.00      646.91
2024-05-15_10_00_00    dengzhoulu        1.04       -5.00      -0.014      290.46     1024.66       52.39        0.00        0.00        0.95      635.94
2024-05-15_10_00_00       shangma        0.03       -6.69       0.003      292.24     1024.74       47.72        0.00        0.00        0.00      888.35
2024-05-15_10_00_00    xingdenglu        0.49       -5.88      -0.000      290.99     1024.65       53.29        0.00        0.00        0.01      887.51
2024-05-15_11_00_00      badaguan        1.62       -4.84      -0.033      290.01     1024.37       62.94        0.00        0.00        0.00      994.21
2024-05-15_11_00_00       beizhai        1.23       -7.75      -0.044      292.06     1024.18       42.68        0.00        0.00        0.00      997.53
2024-05-15_11_00_00    dengzhoulu        1.73       -5.30      -0.012      292.68     1024.38       42.77        0.00        0.00        0.00      994.65
2024-05-15_11_00_00       shangma       -0.02       -8.40       0.003      293.65     1024.50       36.18        0.00        0.00        0.00      991.07
2024-05-15_11_00_00    xingdenglu        0.87       -6.63       0.002      292.88     1024.25       42.84        0.00        0.00        0.00      992.16
2024-05-15_12_00_00      badaguan        0.97       -6.07      -0.039      291.04     1024.08       50.05        0.00        0.00        0.00     1036.43
2024-05-15_12_00_00       beizhai        0.33       -8.95      -0.080      293.20     1023.99       26.55        0.00        0.00        0.00     1039.84
2024-05-15_12_00_00    dengzhoulu        0.86       -6.81      -0.015      294.27     1024.13       26.09        0.00        0.00        0.00     1036.90
2024-05-15_12_00_00       shangma       -0.38       -9.21       0.005      294.56     1024.37       22.48        0.00        0.00        0.00     1041.81
2024-05-15_12_00_00    xingdenglu        0.32       -7.88      -0.005      293.88     1024.07       27.25        0.00        0.00        0.00     1040.08
2024-05-15_13_00_00      badaguan        1.12       -7.77      -0.052      291.70     1023.80       35.57        0.00        0.00        0.00     1027.39
