CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-05-17_00_00_00      badaguan        1.81        6.31       0.031      289.55     1008.79       70.28        0.00        0.00        0.00        0.00
2024-05-17_00_00_00       beizhai       -1.15        3.24      -0.178      289.44     1009.25       53.65        0.00        0.00        0.50        0.00
2024-05-17_00_00_00    dengzhoulu        1.38        5.93       0.015      291.32     1008.78       55.71        0.00        0.00        0.00        0.00
2024-05-17_00_00_00       shangma       -2.06        6.46       0.000      291.57     1008.34       53.21        0.00        0.00        1.00        0.00
2024-05-17_00_00_00    xingdenglu       -3.13        3.63      -0.069      290.79     1008.84       58.07        0.00        0.00        0.34        0.00
2024-05-17_01_00_00      badaguan        3.93        7.06       0.029      289.80     1008.40       67.89        0.00        0.00        0.00        0.00
2024-05-17_01_00_00       beizhai       -1.64        3.06      -0.279      289.03     1008.96       55.14        0.00        0.00        0.76        0.00
2024-05-17_01_00_00    dengzhoulu        3.15        6.52       0.020      291.71     1008.41       52.07        0.00        0.00        0.00        0.00
2024-05-17_01_00_00       shangma        0.24        6.69      -0.002      292.60     1007.93       42.63        0.00        0.00        0.00        0.00
2024-05-17_01_00_00    xingdenglu       -2.73        3.09      -0.079      290.78     1008.51       56.30        0.00        0.00        0.00        0.00
2024-05-17_02_00_00      badaguan        1.65        5.84       0.023      289.21     1008.70       71.90        0.00        0.00        0.00        0.00
2024-05-17_02_00_00       beizhai       -1.70        3.34      -0.291      288.95     1009.17       52.71        0.00        0.00        0.00        0.00
2024-05-17_02_00_00    dengzhoulu        0.59        5.25       0.011      290.75     1008.75       57.93        0.00        0.00        0.00        0.00
2024-05-17_02_00_00       shangma       -1.94        6.78       0.001      291.80     1008.04       48.38        0.00        0.00        0.00        0.00
2024-05-17_02_00_00    xingdenglu       -3.07        3.88      -0.076      290.78     1008.74       54.94        0.00        0.00        0.00        0.00
2024-05-17_03_00_00      badaguan        0.92        4.89       0.016      288.74     1008.67       75.56        0.00        0.00        0.00        0.00
2024-05-17_03_00_00       beizhai       -1.96        3.30      -0.310      289.29     1009.00       52.12        0.00        0.00        0.00        0.00
2024-05-17_03_00_00    dengzhoulu       -0.13        4.29       0.003      289.96     1008.69       63.58        0.00        0.00        0.00        0.00
2024-05-17_03_00_00       shangma       -1.27        7.52      -0.001      291.15     1007.93       53.38        0.00        0.00        0.00        0.00
2024-05-17_03_00_00    xingdenglu       -2.86        3.79      -0.068      290.44     1008.63       57.09        0.00        0.00        0.00        0.00
2024-05-17_04_00_00      badaguan        1.47        5.68       0.019      288.71     1008.70       76.86        0.00        0.00        0.00        0.00
2024-05-17_04_00_00       beizhai       -2.84        3.53      -0.322      289.60     1008.94       56.33        0.00        0.00        0.00        0.00
2024-05-17_04_00_00    dengzhoulu        0.37        4.62       0.008      289.67     1008.74       67.36        0.00        0.00        0.00        0.00
2024-05-17_04_00_00       shangma       -1.57        8.00      -0.001      290.17     1007.94       61.36        0.00        0.00        0.00        0.00
2024-05-17_04_00_00    xingdenglu       -3.46        3.93      -0.065      290.10     1008.65       60.07        0.00        0.00        0.00        0.00
2024-05-17_05_00_00      badaguan       -0.34        2.74      -0.004      288.09     1009.13       83.07        0.00        0.00        0.00        0.00
2024-05-17_05_00_00       beizhai       -2.48        3.34      -0.352      288.53     1009.08       66.73        0.00        0.00        0.00        0.00
2024-05-17_05_00_00    dengzhoulu       -0.81        2.50      -0.010      288.97     1009.07       73.73        0.00        0.00        0.00        0.00
2024-05-17_05_00_00       shangma       -1.40        7.51      -0.001      289.74     1008.25       66.40        0.00        0.00        0.00        0.00
2024-05-17_05_00_00    xingdenglu       -3.25        3.57      -0.091      290.09     1008.79       62.13        0.00        0.00        0.00        0.00
2024-05-17_06_00_00      badaguan       -1.45        3.24       0.008      288.14     1009.17       83.81        0.00        0.00        0.00       96.09
2024-05-17_06_00_00       beizhai       -2.66        3.80      -0.250      290.65     1009.28       62.02        0.00        0.00        0.00      100.23
2024-05-17_06_00_00    dengzhoulu       -1.11        4.25      -0.002      289.57     1009.06       71.66        0.00        0.00        0.00       96.48
2024-05-17_06_00_00       shangma       -1.58        7.03      -0.001      290.31     1008.27       67.16        0.00        0.00        0.00       96.10
2024-05-17_06_00_00    xingdenglu       -3.10        4.21      -0.050      290.45     1008.88       64.52        0.00        0.00        0.00       97.44
2024-05-17_07_00_00      badaguan       -3.11        3.29       0.013      288.55     1009.45       80.35        0.00        0.00        0.00      308.95
2024-05-17_07_00_00       beizhai       -2.68        4.76      -0.077      292.01     1009.51       58.94        0.00        0.00        0.00      314.37
2024-05-17_07_00_00    dengzhoulu       -2.04        4.70      -0.003      290.14     1009.31       69.04        0.00        0.00        0.00      309.44
2024-05-17_07_00_00       shangma       -2.64        7.31       0.000      291.19     1008.62       65.95        0.00        0.00        0.00      308.58
2024-05-17_07_00_00    xingdenglu       -3.44        4.72      -0.036      291.13     1009.16       65.42        0.00        0.00        0.00      310.27
2024-05-17_08_00_00      badaguan       -5.34        2.91       0.009      288.53     1009.67       81.42        0.00        0.00        0.00      522.50
2024-05-17_08_00_00       beizhai       -3.37        6.00      -0.059      292.06     1009.80       61.27        0.00        0.00        0.00      529.08
2024-05-17_08_00_00    dengzhoulu       -3.91        3.93      -0.012      290.33     1009.56       70.22        0.00        0.00        0.00      523.00
2024-05-17_08_00_00       shangma       -2.45        8.35      -0.002      292.14     1008.81       63.41        0.00        0.00        0.00      522.13
2024-05-17_08_00_00    xingdenglu       -3.98        5.16      -0.045      292.12     1009.39       63.20        0.00        0.00        0.00      523.94
2024-05-17_09_00_00      badaguan       -7.38        2.41       0.010      288.70     1009.59       81.42        0.00        0.00        0.00      712.46
2024-05-17_09_00_00       beizhai       -3.74        6.69      -0.046      292.96     1009.62       60.11        0.00        0.00        0.00      718.92
2024-05-17_09_00_00    dengzhoulu       -5.27        3.60      -0.013      290.68     1009.44       70.08        0.00        0.00        0.00      713.04
2024-05-17_09_00_00       shangma       -3.52        7.97       0.000      292.99     1008.59       62.25        0.00        0.00        0.00      711.84
2024-05-17_09_00_00    xingdenglu       -4.66        5.57      -0.056      292.78     1009.20       62.05        0.00        0.00        0.00      713.69
2024-05-17_10_00_00      badaguan       -6.97        2.89       0.013      288.45     1009.69       84.65        0.00        0.00        0.00      863.28
2024-05-17_10_00_00       beizhai       -4.59        7.27      -0.063      293.27     1009.54       61.57        0.00        0.00        0.00      869.04
2024-05-17_10_00_00    dengzhoulu       -5.32        4.02      -0.010      290.65     1009.50       71.98        0.00        0.00        0.00      863.82
2024-05-17_10_00_00       shangma       -5.11        8.79       0.003      294.02     1008.51       59.51        0.00        0.00        0.00      862.15
2024-05-17_10_00_00    xingdenglu       -4.74        6.33      -0.056      293.10     1009.21       62.70        0.00        0.00        0.00      863.82
2024-05-17_11_00_00      badaguan       -6.03        2.96       0.017      288.21     1009.35       87.84        0.00        0.00        0.00      963.83
2024-05-17_11_00_00       beizhai       -4.13        7.26      -0.047      293.24     1009.30       64.55        0.00        0.00        0.12      962.80
2024-05-17_11_00_00    dengzhoulu       -5.47        3.48      -0.009      290.61     1009.21       74.23        0.00        0.00        0.00      964.25
2024-05-17_11_00_00       shangma       -5.28        9.00       0.003      294.39     1008.23       60.43        0.00        0.00        0.00      960.61
2024-05-17_11_00_00    xingdenglu       -5.18        6.25      -0.063      293.16     1008.92       65.14        0.00        0.00        0.00      963.95
2024-05-17_12_00_00      badaguan       -6.85        2.71       0.010      288.41     1009.03       88.10        0.00        0.00        0.00     1001.90
2024-05-17_12_00_00       beizhai       -4.60        7.44      -0.061      293.52     1008.99       66.21        0.00        0.00        0.00     1009.11
2024-05-17_12_00_00    dengzhoulu       -5.37        3.90      -0.014      291.04     1008.89       74.15        0.00        0.00        0.01     1001.24
2024-05-17_12_00_00       shangma       -4.91        9.49       0.002      294.90     1007.88       61.02        0.00        0.00        0.00     1000.44
2024-05-17_12_00_00    xingdenglu       -5.41        6.19      -0.068      293.83     1008.57       65.12        0.00        0.00        1.00      968.46
2024-05-17_13_00_00      badaguan       -8.25        1.88       0.008      288.62     1008.68       87.40        0.00        0.00        0.00      977.95
