CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-04_00_00_00      badaguan       -2.05        0.59       0.003      290.73     1015.03       85.89        0.00        0.00        0.00        0.00
2024-06-04_00_00_00       beizhai       -1.58        1.35      -0.037      289.69     1015.24       54.11        0.00        0.00        0.00        0.00
2024-06-04_00_00_00    dengzhoulu       -1.55        0.70      -0.010      290.85     1015.02       75.28        0.00        0.00        0.00        0.00
2024-06-04_00_00_00       shangma       -1.31        1.62       0.001      289.12     1014.94       83.87        0.00        0.00        0.00        0.00
2024-06-04_00_00_00    xingdenglu       -1.86        1.38      -0.042      291.49     1015.06       58.57        0.00        0.00        0.00        0.00
2024-06-04_01_00_00      badaguan       -2.25        0.59       0.003      290.85     1015.39       82.27        0.00        0.00        0.00        0.00
2024-06-04_01_00_00       beizhai       -1.80        1.69      -0.054      289.66     1015.52       51.19        0.00        0.00        0.00        0.00
2024-06-04_01_00_00    dengzhoulu       -1.74        0.71      -0.010      290.79     1015.38       70.39        0.00        0.00        0.00        0.00
2024-06-04_01_00_00       shangma       -1.92        1.37       0.002      288.81     1015.39       71.54        0.00        0.00        0.00        0.00
2024-06-04_01_00_00    xingdenglu       -2.17        1.28      -0.053      291.47     1015.36       55.38        0.00        0.00        0.00        0.00
2024-06-04_02_00_00      badaguan       -2.45        0.61       0.004      290.86     1015.72       81.40        0.00        0.00        0.00        0.00
2024-06-04_02_00_00       beizhai       -1.87        1.88      -0.059      289.47     1015.83       50.12        0.00        0.00        0.00        0.00
2024-06-04_02_00_00    dengzhoulu       -1.86        0.74      -0.010      290.61     1015.70       70.88        0.00        0.00        0.00        0.00
2024-06-04_02_00_00       shangma       -1.36        1.59       0.001      288.60     1015.75       68.26        0.00        0.00        0.00        0.00
2024-06-04_02_00_00    xingdenglu       -2.04        1.47      -0.049      291.32     1015.66       55.09        0.00        0.00        0.00        0.00
2024-06-04_03_00_00      badaguan       -2.46        0.62       0.005      290.87     1016.21       80.81        0.00        0.00        0.00        0.00
2024-06-04_03_00_00       beizhai       -1.56        1.97      -0.038      289.17     1016.36       52.05        0.00        0.00        0.00        0.00
2024-06-04_03_00_00    dengzhoulu       -1.92        0.82      -0.010      290.42     1016.20       71.00        0.00        0.00        0.00        0.00
2024-06-04_03_00_00       shangma       -0.90        1.80       0.000      288.15     1016.31       74.35        0.00        0.00        0.00        0.00
2024-06-04_03_00_00    xingdenglu       -1.83        1.63      -0.044      290.98     1016.22       57.56        0.00        0.00        0.00        0.00
2024-06-04_04_00_00      badaguan       -2.89        0.31       0.003      290.74     1016.50       81.67        0.00        0.00        0.00        0.00
2024-06-04_04_00_00       beizhai       -1.66        1.13      -0.055      289.08     1016.70       53.09        0.00        0.00        0.00        0.00
2024-06-04_04_00_00    dengzhoulu       -2.16        0.55      -0.014      290.27     1016.48       71.01        0.00        0.00        0.00        0.00
2024-06-04_04_00_00       shangma       -0.97        1.66       0.001      287.89     1016.55       74.06        0.00        0.00        0.00        0.00
2024-06-04_04_00_00    xingdenglu       -2.15        1.04      -0.054      290.83     1016.49       57.04        0.00        0.00        0.00        0.00
2024-06-04_05_00_00      badaguan       -2.63        1.14       0.011      290.52     1016.90       85.09        0.00        0.00        0.00        0.00
2024-06-04_05_00_00       beizhai       -1.29        0.45      -0.051      289.19     1016.95       51.60        0.00        0.00        0.00        0.00
2024-06-04_05_00_00    dengzhoulu       -2.03        0.99      -0.007      289.94     1016.85       76.43        0.00        0.00        0.00        0.00
2024-06-04_05_00_00       shangma       -0.89        2.01       0.000      287.32     1016.84       75.48        0.00        0.00        0.00        0.00
2024-06-04_05_00_00    xingdenglu       -1.95        0.92      -0.036      290.94     1016.77       53.83        0.00        0.00        0.00        0.00
2024-06-04_06_00_00      badaguan       -2.86        2.08       0.015      290.47     1017.32       89.72        0.00        0.00        0.00      124.17
2024-06-04_06_00_00       beizhai       -1.13        0.86      -0.057      292.43     1017.27       50.35        0.00        0.00        0.00      129.28
2024-06-04_06_00_00    dengzhoulu       -2.23        1.90       0.002      290.73     1017.28       81.65        0.00        0.00        0.00      124.66
2024-06-04_06_00_00       shangma       -0.22        2.03      -0.001      290.20     1017.23       73.85        0.00        0.00        0.00      124.30
2024-06-04_06_00_00    xingdenglu       -1.18        1.19      -0.016      292.25     1017.18       57.22        0.00        0.00        0.00      125.99
2024-06-04_07_00_00      badaguan       -3.10        2.56       0.015      290.51     1017.77       92.27        0.00        0.00        0.00      339.53
2024-06-04_07_00_00       beizhai       -0.21        1.97       0.031      295.24     1017.60       40.76        0.00        0.00        0.00      345.94
2024-06-04_07_00_00    dengzhoulu       -2.84        2.50      -0.000      291.62     1017.71       77.70        0.00        0.00        0.00      340.14
2024-06-04_07_00_00       shangma       -0.58        2.83      -0.000      292.87     1017.56       63.73        0.00        0.00        0.00      339.32
2024-06-04_07_00_00    xingdenglu       -0.95        2.24      -0.006      293.58     1017.54       61.39        0.00        0.00        0.00      341.54
2024-06-04_08_00_00      badaguan       -3.09        2.41       0.013      290.70     1018.20       92.36        0.00        0.04        0.04      540.37
2024-06-04_08_00_00       beizhai       -1.62        4.05       0.021      295.06     1018.11       45.33        0.00        0.00        0.00      560.19
2024-06-04_08_00_00    dengzhoulu       -3.11        2.61      -0.002      292.42     1018.16       71.79        0.00        0.00        0.00      554.23
2024-06-04_08_00_00       shangma       -1.17        4.14       0.000      294.38     1017.98       57.79        0.00        0.00        0.00      552.89
2024-06-04_08_00_00    xingdenglu       -2.57        3.74      -0.029      294.88     1017.98       51.73        0.00        0.00        0.00      554.69
2024-06-04_09_00_00      badaguan       -3.09        2.16       0.013      291.04     1018.18       90.61        0.00        0.41        0.41      621.06
2024-06-04_09_00_00       beizhai       -1.97        3.13       0.024      296.36     1017.88       37.34        0.00        0.00        1.00      682.86
2024-06-04_09_00_00    dengzhoulu       -3.47        2.59      -0.003      293.15     1018.11       64.69        0.00        0.00        0.00      746.45
2024-06-04_09_00_00       shangma       -2.00        4.78       0.000      295.73     1017.81       47.00        0.00        0.00        0.73      737.86
2024-06-04_09_00_00    xingdenglu       -3.19        3.50      -0.037      296.06     1017.75       42.58        0.00        0.00        0.86      728.03
2024-06-04_10_00_00      badaguan       -3.14        2.27       0.013      291.02     1017.92       90.92        0.00        0.72        1.00      557.36
2024-06-04_10_00_00       beizhai       -1.65        4.82       0.062      296.39     1017.57       37.65        0.00        0.00        1.00      890.54
2024-06-04_10_00_00    dengzhoulu       -3.24        2.97      -0.003      293.21     1017.84       66.22        0.00        0.00        1.00      859.86
2024-06-04_10_00_00       shangma       -0.67        5.64      -0.001      296.00     1017.52       48.06        0.00        0.00        1.00      865.32
2024-06-04_10_00_00    xingdenglu       -2.60        4.73      -0.027      296.13     1017.50       43.42        0.00        0.00        1.00      871.13
2024-06-04_11_00_00      badaguan       -2.30        2.57       0.015      291.14     1018.11       90.99        0.00        0.72        0.73      703.68
2024-06-04_11_00_00       beizhai       -2.12        6.09       0.049      296.16     1017.70       38.59        0.00        0.00        0.02     1004.49
2024-06-04_11_00_00    dengzhoulu       -2.71        3.35       0.000      293.44     1018.02       66.59        0.00        0.00        0.06      996.69
2024-06-04_11_00_00       shangma       -0.82        6.19      -0.001      296.45     1017.56       46.50        0.00        0.00        0.07      993.92
2024-06-04_11_00_00    xingdenglu       -2.65        5.08      -0.028      296.20     1017.65       45.84        0.00        0.00        0.06      996.20
2024-06-04_12_00_00      badaguan       -2.49        3.41       0.018      291.11     1018.52       91.10        0.00        0.72        1.00      718.29
2024-06-04_12_00_00       beizhai       -3.14        6.27       0.007      296.27     1017.94       39.15        0.00        0.00        1.00     1035.33
2024-06-04_12_00_00    dengzhoulu       -2.49        3.95       0.002      293.45     1018.44       67.27        0.00        0.00        1.00      960.31
2024-06-04_12_00_00       shangma       -1.09        7.49      -0.002      296.27     1017.91       48.81        0.00        0.00        1.00      995.84
2024-06-04_12_00_00    xingdenglu       -2.87        5.89      -0.028      295.87     1018.00       50.08        0.00        0.00        1.00     1015.95
2024-06-04_13_00_00      badaguan       -2.77        3.15       0.015      291.18     1018.18       88.77        0.00        0.68        1.00      812.18
2024-06-04_13_00_00       beizhai       -2.90        6.34      -0.006      294.82     1017.96       47.12        0.00        0.00        1.00      943.72
2024-06-04_13_00_00    dengzhoulu       -2.71        3.67      -0.000      294.04     1018.09       59.18        0.00        0.00        1.00      948.45
2024-06-04_13_00_00       shangma       -2.21        7.21      -0.000      296.26     1017.63       46.57        0.00        0.00        1.00      908.76
2024-06-04_13_00_00    xingdenglu       -2.72        5.30      -0.028      295.84     1017.79       48.80        0.00        0.00        1.00      933.16
2024-06-04_14_00_00      badaguan       -2.12        3.15       0.017      291.25     1018.39       88.24        0.00        0.06        1.00      746.08
2024-06-04_14_00_00       beizhai       -3.42        5.47      -0.029      295.68     1018.07       39.55        0.00        0.00        1.00      849.27
2024-06-04_14_00_00    dengzhoulu       -2.07        3.78       0.002      293.97     1018.33       59.97        0.00        0.00        1.00      776.23
2024-06-04_14_00_00       shangma       -1.98        7.13      -0.001      296.77     1017.82       43.23        0.00        0.00        0.69      934.93
2024-06-04_14_00_00    xingdenglu       -2.98        5.03      -0.032      296.55     1017.90       42.74        0.00        0.00        1.00      913.40
2024-06-04_15_00_00      badaguan       -1.95        2.64       0.015      291.29     1018.25       87.30        0.00        0.04        1.00      596.58
2024-06-04_15_00_00       beizhai       -2.60        5.70      -0.010      295.07     1018.09       42.06        0.00        0.00        1.00      602.21
2024-06-04_15_00_00    dengzhoulu       -1.80        3.30       0.002      293.99     1018.18       57.94        0.00        0.00        1.00      592.98
2024-06-04_15_00_00       shangma       -1.18        7.18      -0.002      296.13     1017.78       42.41        0.00        0.00        1.00      541.17
2024-06-04_15_00_00    xingdenglu       -2.09        4.94      -0.020      295.94     1017.91       44.64        0.00        0.00        1.00      567.33
2024-06-04_16_00_00      badaguan       -1.87        3.16       0.019      291.13     1018.70       88.35        0.00        0.00        1.00      333.01
2024-06-04_16_00_00       beizhai       -2.12        5.68      -0.004      294.22     1018.57       45.71        0.00        0.00        1.00      394.25
2024-06-04_16_00_00    dengzhoulu       -1.58        3.56       0.004      293.10     1018.66       66.39        0.00        0.00        1.00      333.84
2024-06-04_16_00_00       shangma       -0.47        7.11      -0.002      295.32     1018.24       45.38        0.00        0.00        1.00      349.31
2024-06-04_16_00_00    xingdenglu       -1.66        5.07      -0.014      295.01     1018.42       50.09        0.00        0.00        1.00      384.03
2024-06-04_17_00_00      badaguan       -1.70        3.10       0.019      290.98     1018.24       89.09        0.00        0.00        1.00      212.14
2024-06-04_17_00_00       beizhai       -2.33        4.75      -0.031      292.89     1018.15       52.94        0.00        0.00        1.00      182.91
2024-06-04_17_00_00    dengzhoulu       -1.66        3.16       0.004      292.45     1018.20       72.55        0.00        0.00        1.00      179.27
2024-06-04_17_00_00       shangma       -0.94        6.24      -0.002      294.18     1017.89       53.33        0.00        0.00        1.00      175.28
2024-06-04_17_00_00    xingdenglu       -2.27        3.92      -0.026      293.90     1018.02       57.24        0.00        0.00        1.00      182.05
2024-06-04_18_00_00      badaguan       -1.76        3.22       0.018      290.76     1018.03       91.16        0.00        0.00        1.00      102.91
2024-06-04_18_00_00       beizhai       -2.35        4.52      -0.041      292.42     1017.87       51.03        0.00        0.00        1.00       50.70
2024-06-04_18_00_00    dengzhoulu       -1.65        3.12       0.003      291.74     1017.99       79.35        0.00        0.00        1.00       80.28
2024-06-04_18_00_00       shangma       -0.83        5.75      -0.002      292.68     1017.64       65.72        0.00        0.00        1.00       46.63
2024-06-04_18_00_00    xingdenglu       -1.92        4.05      -0.020      292.67     1017.83       67.67        0.00        0.00        1.00       46.84
2024-06-04_19_00_00      badaguan       -2.46        2.24       0.010      290.65     1018.09       91.87        0.00        0.00        1.00        0.70
2024-06-04_19_00_00       beizhai       -2.15        3.97      -0.058      291.34     1018.07       58.06        0.00        0.00        1.00        0.34
2024-06-04_19_00_00    dengzhoulu       -2.19        2.21      -0.003      291.24     1018.06       83.43        0.00        0.00        1.00        1.73
2024-06-04_19_00_00       shangma       -1.38        4.27      -0.000      292.11     1017.90       68.74        0.00        0.00        0.73        9.11
2024-06-04_19_00_00    xingdenglu       -2.33        3.19      -0.027      291.76     1018.02       74.84        0.00        0.00        1.00        2.57
2024-06-04_20_00_00      badaguan       -3.14        2.34       0.010      290.59     1018.45       92.82        0.00        0.00        1.00        0.00
2024-06-04_20_00_00       beizhai       -2.52        3.43      -0.100      290.76     1018.46       59.02        0.00        0.00        0.42        0.00
2024-06-04_20_00_00    dengzhoulu       -2.70        2.01      -0.003      290.84     1018.42       89.21        0.00        0.00        1.00        0.00
2024-06-04_20_00_00       shangma       -2.31        3.97       0.001      291.50     1018.19       75.76        0.00        0.00        1.00        0.00
2024-06-04_20_00_00    xingdenglu       -3.09        2.74      -0.049      291.48     1018.34       69.39        0.00        0.00        0.70        0.00
2024-06-04_21_00_00      badaguan       -3.25        1.59       0.005      290.52     1018.37       93.55        0.00        0.00        1.00        0.00
2024-06-04_21_00_00       beizhai       -2.68        3.14      -0.113      291.08     1018.39       56.07        0.00        0.00        1.00        0.00
2024-06-04_21_00_00    dengzhoulu       -2.80        1.63      -0.005      290.73     1018.34       89.22        0.00        0.00        1.00        0.00
2024-06-04_21_00_00       shangma       -1.76        3.19       0.000      290.96     1018.27       79.29        0.00        0.00        1.00        0.00
2024-06-04_21_00_00    xingdenglu       -3.17        2.44      -0.052      291.77     1018.28       64.41        0.00        0.00        1.00        0.00
2024-06-04_22_00_00      badaguan       -3.09        1.95       0.007      290.33     1018.09       95.85        0.00        0.00        0.06        0.00
2024-06-04_22_00_00       beizhai       -2.34        2.80      -0.108      290.33     1018.03       53.74        0.00        0.00        0.10        0.00
2024-06-04_22_00_00    dengzhoulu       -2.69        1.84      -0.004      290.46     1018.03       89.38        0.00        0.00        0.23        0.00
2024-06-04_22_00_00       shangma       -1.43        2.74       0.000      290.64     1017.92       77.34        0.00        0.00        1.00        0.00
2024-06-04_22_00_00    xingdenglu       -3.13        2.86      -0.053      291.95     1017.84       60.62        0.00        0.00        1.00        0.00
2024-06-04_23_00_00      badaguan       -2.76        2.12       0.009      290.31     1017.84       96.82        0.00        0.00        1.00        0.00
2024-06-04_23_00_00       beizhai       -2.36        2.96      -0.106      289.66     1017.78       58.10        0.00        0.00        0.83        0.00
2024-06-04_23_00_00    dengzhoulu       -2.40        1.95      -0.003      290.29     1017.81       94.93        0.00        0.00        1.00        0.00
2024-06-04_23_00_00       shangma       -0.93        2.90      -0.001      289.20     1017.57       88.64        0.00        0.00        1.00        0.00
2024-06-04_23_00_00    xingdenglu       -2.94        3.13      -0.054      291.07     1017.71       65.33        0.00        0.00        0.77        0.00
2024-06-05_00_00_00      badaguan       -2.92        3.51       0.018      290.33     1018.46       94.72        0.00        0.00        1.00        0.00
2024-06-05_00_00_00       beizhai       -3.30        3.71      -0.123      290.84     1018.33       54.70        0.00        0.00        1.00        0.00
2024-06-05_00_00_00    dengzhoulu       -2.36        2.87       0.000      290.17     1018.43       93.08        0.00        0.00        1.00        0.00
2024-06-05_00_00_00       shangma       -1.50        4.13      -0.000      289.99     1018.17       87.51        0.00        0.00        1.00        0.00
2024-06-05_00_00_00    xingdenglu       -3.25        3.99      -0.044      291.33     1018.27       67.62        0.00        0.00        1.00        0.00
2024-06-05_01_00_00      badaguan       -4.10        2.87       0.014      290.39     1018.51       93.38        0.00        0.00        0.91        0.00
2024-06-05_01_00_00       beizhai       -3.70        3.97      -0.131      289.87     1018.55       69.38        0.00        0.00        1.00        0.00
2024-06-05_01_00_00    dengzhoulu       -3.24        2.45      -0.004      290.20     1018.52       91.60        0.00        0.00        1.00        0.00
2024-06-05_01_00_00       shangma       -2.62        4.10       0.002      289.67     1018.33       89.57        0.00        0.00        1.00        0.00
2024-06-05_01_00_00    xingdenglu       -4.23        3.58      -0.062      290.85     1018.39       75.49        0.00        0.00        1.00        0.00
2024-06-05_02_00_00      badaguan       -3.51        2.45       0.012      290.20     1018.92       95.73        0.00        0.00        0.00        0.00
2024-06-05_02_00_00       beizhai       -3.49        4.02      -0.141      289.05     1018.57       72.04        0.00        0.00        0.00        0.00
2024-06-05_02_00_00    dengzhoulu       -2.85        2.14      -0.004      289.82     1018.83       94.78        0.00        0.00        0.00        0.00
2024-06-05_02_00_00       shangma       -1.65        4.02      -0.000      288.97     1018.55       91.86        0.00        0.00        0.31        0.00
2024-06-05_02_00_00    xingdenglu       -4.00        3.74      -0.071      290.51     1018.53       75.96        0.00        0.00        0.00        0.00
2024-06-05_03_00_00      badaguan       -1.85        3.67       0.023      290.21     1019.76       96.20        0.00        0.00        0.09        0.00
2024-06-05_03_00_00       beizhai       -3.00        4.76      -0.111      289.26     1019.46       77.25        0.00        0.00        1.00        0.00
2024-06-05_03_00_00    dengzhoulu       -1.71        2.73       0.005      289.68     1019.69       96.68        0.00        0.00        0.00        0.00
2024-06-05_03_00_00       shangma       -0.78        3.76      -0.002      288.34     1019.40       95.21        0.00        0.00        1.00        0.00
2024-06-05_03_00_00    xingdenglu       -3.08        4.07      -0.060      290.06     1019.45       83.06        0.00        0.00        1.00        0.00
2024-06-05_04_00_00      badaguan       -2.30        3.60       0.022      290.30     1020.08       97.82        0.00        0.88        1.00        0.00
