CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-06_00_00_00      badaguan       -0.74        4.09       0.025      290.88     1016.97       90.66        0.00        0.00        1.00        0.00
2024-06-06_00_00_00       beizhai       -3.29        4.87      -0.163      289.73     1017.06       81.31        0.00        0.00        0.41        0.00
2024-06-06_00_00_00    dengzhoulu       -0.94        3.78       0.009      290.94     1016.94       86.98        0.00        0.00        1.00        0.00
2024-06-06_00_00_00       shangma       -0.38        6.08      -0.003      290.43     1016.68       90.57        0.00        0.00        0.00        0.00
2024-06-06_00_00_00    xingdenglu       -2.59        4.10      -0.049      290.78     1016.87       85.36        0.00        0.00        0.16        0.00
2024-06-06_01_00_00      badaguan        0.20        2.94       0.021      290.78     1017.38       90.95        0.00        0.00        1.00        0.00
2024-06-06_01_00_00       beizhai       -2.57        3.16      -0.174      289.29     1017.48       78.94        0.00        0.00        0.58        0.00
2024-06-06_01_00_00    dengzhoulu       -0.39        2.01       0.008      290.56     1017.40       88.61        0.00        0.00        1.00        0.00
2024-06-06_01_00_00       shangma       -1.04        3.94      -0.001      289.71     1017.17       94.34        0.00        0.00        0.00        0.00
2024-06-06_01_00_00    xingdenglu       -2.70        2.32      -0.070      290.68     1017.34       80.98        0.00        0.00        0.14        0.00
2024-06-06_02_00_00      badaguan       -1.56        2.31       0.024      290.68     1017.80       91.34        0.00        0.00        0.00        0.00
2024-06-06_02_00_00       beizhai       -3.33        4.03      -0.135      289.50     1017.89       82.27        0.00        0.00        1.00        0.00
2024-06-06_02_00_00    dengzhoulu       -1.58        2.06       0.006      290.35     1017.78       89.10        0.00        0.00        0.00        0.00
2024-06-06_02_00_00       shangma       -1.28        2.96      -0.000      288.94     1017.58       94.48        0.00        0.00        0.00        0.00
2024-06-06_02_00_00    xingdenglu       -3.50        3.04      -0.076      290.69     1017.65       81.60        0.00        0.00        0.76        0.00
2024-06-06_03_00_00      badaguan       -2.26        2.04       0.022      290.59     1017.87       91.90        0.00        0.00        0.00        0.00
2024-06-06_03_00_00       beizhai       -2.90        3.87      -0.128      288.95     1017.88       89.36        0.00        0.00        0.00        0.00
2024-06-06_03_00_00    dengzhoulu       -2.21        1.81       0.006      290.20     1017.86       89.54        0.00        0.00        0.00        0.00
2024-06-06_03_00_00       shangma       -0.76        3.20      -0.001      288.75     1017.70       94.04        0.00        0.00        0.00        0.00
2024-06-06_03_00_00    xingdenglu       -3.18        2.97      -0.069      290.31     1017.77       87.83        0.00        0.00        0.00        0.00
2024-06-06_04_00_00      badaguan       -2.03        2.03       0.012      290.41     1018.06       94.98        0.00        0.00        0.00        0.00
2024-06-06_04_00_00       beizhai       -2.22        2.92      -0.122      288.37     1018.10       92.47        0.00        0.00        0.00        0.00
2024-06-06_04_00_00    dengzhoulu       -1.90        1.77       0.000      289.91     1018.05       94.49        0.00        0.00        0.00        0.00
2024-06-06_04_00_00       shangma       -1.50        2.98       0.001      288.56     1017.87       94.34        0.00        0.00        0.00        0.00
2024-06-06_04_00_00    xingdenglu       -3.30        2.11      -0.075      290.14     1017.97       90.12        0.00        0.00        0.00        0.00
2024-06-06_05_00_00      badaguan       -2.33        2.06       0.003      290.31     1018.36       96.65        0.00        0.00        0.00        0.00
2024-06-06_05_00_00       beizhai       -2.28        2.44      -0.139      288.05     1018.47       94.89        0.00        0.00        0.00        0.00
2024-06-06_05_00_00    dengzhoulu       -2.02        1.82      -0.009      289.78     1018.32       96.70        0.00        0.00        0.00        0.00
2024-06-06_05_00_00       shangma       -1.56        3.02       0.001      288.43     1018.12       95.57        0.00        0.00        0.00        0.00
2024-06-06_05_00_00    xingdenglu       -3.43        2.24      -0.078      290.03     1018.26       93.36        0.00        0.00        0.00        0.00
2024-06-06_06_00_00      badaguan       -3.25        1.90       0.005      290.41     1018.67       96.54        0.00        0.03        0.03      113.11
2024-06-06_06_00_00       beizhai       -2.36        3.18      -0.056      290.45     1018.78       88.47        0.00        0.00        0.00      126.50
2024-06-06_06_00_00    dengzhoulu       -2.67        1.75      -0.007      290.32     1018.64       95.39        0.00        0.11        0.11       92.21
2024-06-06_06_00_00       shangma       -1.66        3.98       0.000      290.43     1018.53       94.11        0.00        0.99        0.99       15.41
2024-06-06_06_00_00    xingdenglu       -2.82        2.70      -0.035      290.97     1018.60       91.16        0.00        0.00        0.00      123.12
2024-06-06_07_00_00      badaguan       -3.28        2.59       0.011      290.44     1019.16       98.40        0.00        0.72        0.72      153.46
2024-06-06_07_00_00       beizhai       -2.13        3.97      -0.018      291.20     1019.14       85.49        0.00        0.00        0.00      338.64
