CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-20_00_00_00      badaguan       -4.82        2.30       0.016      293.75     1005.37       96.41        0.00        0.00        1.00        0.00
2024-06-20_00_00_00       beizhai       -4.87        6.04      -0.094      293.33     1005.26       91.98        0.00        0.00        1.00        0.00
2024-06-20_00_00_00    dengzhoulu       -4.07        2.23      -0.002      293.85     1005.33       94.99        0.00        0.00        1.00        0.00
2024-06-20_00_00_00       shangma       -3.19        3.78       0.002      294.22     1005.39       90.58        0.00        0.00        1.00        0.00
2024-06-20_00_00_00    xingdenglu       -3.94        3.96      -0.047      294.57     1005.29       88.03        0.00        0.00        1.00        0.00
2024-06-20_01_00_00      badaguan       -4.69        1.36       0.009      293.77     1005.74       96.24        0.00        0.93        0.93        0.00
2024-06-20_01_00_00       beizhai       -4.33        5.12      -0.077      293.47     1005.79       94.24        0.00        0.69        1.00        0.00
2024-06-20_01_00_00    dengzhoulu       -3.84        1.40      -0.006      294.02     1005.72       93.94        0.00        0.86        0.88        0.00
2024-06-20_01_00_00       shangma       -2.76        2.88       0.002      293.83     1005.79       93.49        0.00        0.00        1.00        0.00
2024-06-20_01_00_00    xingdenglu       -3.58        3.37      -0.044      294.53     1005.71       89.80        0.00        0.00        1.00        0.00
2024-06-20_02_00_00      badaguan       -4.72        0.64       0.002      293.79     1005.16       96.35        0.00        0.99        0.99        0.00
2024-06-20_02_00_00       beizhai       -4.05        4.46      -0.069      293.49     1005.27       94.91        0.00        0.82        0.82        0.00
2024-06-20_02_00_00    dengzhoulu       -3.72        1.00      -0.009      294.20     1005.17       93.45        0.00        0.97        0.97        0.00
2024-06-20_02_00_00       shangma       -2.94        2.77       0.002      294.35     1005.33       91.47        0.00        0.40        0.40        0.00
2024-06-20_02_00_00    xingdenglu       -3.16        2.52      -0.036      294.64     1005.23       90.59        0.00        0.89        0.89        0.00
2024-06-20_03_00_00      badaguan       -4.53        0.54       0.002      293.78     1005.11       96.80        0.00        1.00        1.00        0.00
2024-06-20_03_00_00       beizhai       -3.92        4.22      -0.072      293.48     1005.26       95.02        0.00        0.81        0.81        0.00
2024-06-20_03_00_00    dengzhoulu       -3.65        0.78      -0.008      294.12     1005.12       94.73        0.00        1.00        1.00        0.00
2024-06-20_03_00_00       shangma       -3.19        2.42       0.003      294.71     1005.12       90.42        0.00        1.00        1.00        0.00
2024-06-20_03_00_00    xingdenglu       -3.28        2.35      -0.037      294.69     1005.16       90.40        0.00        0.97        0.97        0.00
2024-06-20_04_00_00      badaguan       -5.28        0.18       0.001      293.82     1004.64       96.62        0.00        1.00        1.00        0.00
2024-06-20_04_00_00       beizhai       -4.02        3.30      -0.071      293.53     1004.75       95.05        0.00        0.82        0.82        0.00
2024-06-20_04_00_00    dengzhoulu       -4.16        0.64      -0.011      294.19     1004.65       94.59        0.00        1.00        1.00        0.00
2024-06-20_04_00_00       shangma       -4.07        2.69       0.004      294.78     1004.71       89.91        0.00        1.00        1.00        0.00
2024-06-20_04_00_00    xingdenglu       -3.71        2.07      -0.040      294.57     1004.69       91.23        0.00        1.00        1.00        0.00
2024-06-20_05_00_00      badaguan       -5.06        0.21       0.003      293.71     1004.99       97.50        0.00        1.00        1.00        0.00
2024-06-20_05_00_00       beizhai       -4.52        3.60      -0.082      293.49     1005.12       95.82        0.00        0.49        1.00        0.00
2024-06-20_05_00_00    dengzhoulu       -4.11        0.60      -0.010      294.05     1005.01       96.14        0.00        1.00        1.00        0.00
2024-06-20_05_00_00       shangma       -3.48        3.17       0.003      294.75     1005.01       90.40        0.00        1.00        1.00        0.00
2024-06-20_05_00_00    xingdenglu       -3.82        2.39      -0.038      294.55     1005.05       91.80        0.00        0.84        1.00        0.00
2024-06-20_06_00_00      badaguan       -5.46        0.41       0.005      293.81     1004.73       96.95        0.00        1.00        1.00        3.50
2024-06-20_06_00_00       beizhai       -4.46        3.31      -0.078      293.73     1004.87       94.40        0.00        0.79        1.00       18.04
2024-06-20_06_00_00    dengzhoulu       -4.35        0.70      -0.008      294.07     1004.74       96.33        0.00        1.00        1.00        3.63
2024-06-20_06_00_00       shangma       -4.49        2.89       0.004      294.77     1004.89       90.46        0.00        1.00        1.00        3.33
2024-06-20_06_00_00    xingdenglu       -4.16        1.87      -0.043      294.56     1004.79       91.62        0.00        1.00        1.00        4.32
2024-06-20_07_00_00      badaguan       -6.15       -0.29       0.002      293.86     1004.37       96.52        0.02        1.00        1.00       19.62
2024-06-20_07_00_00       beizhai       -5.06        2.48      -0.116      294.64     1004.62       89.34        0.01        0.82        0.82       82.29
2024-06-20_07_00_00    dengzhoulu       -4.89        0.19      -0.012      294.23     1004.40       94.76        0.02        1.00        1.00       22.83
2024-06-20_07_00_00       shangma       -4.82        1.91       0.005      295.24     1004.45       87.76        0.00        1.00        1.00       44.47
2024-06-20_07_00_00    xingdenglu       -4.45        1.70      -0.050      294.98     1004.48       89.21        0.00        1.00        1.00       27.80
2024-06-20_08_00_00      badaguan       -6.39       -0.25       0.003      293.85     1004.48       96.68        0.03        1.00        1.00       41.92
2024-06-20_08_00_00       beizhai       -6.10        2.58      -0.152      295.50     1004.63       85.33        0.01        0.77        0.77      213.35
2024-06-20_08_00_00    dengzhoulu       -5.32        0.28      -0.012      294.32     1004.51       94.65        0.02        1.00        1.00       43.96
2024-06-20_08_00_00       shangma       -3.97        1.14       0.005      295.77     1004.67       85.48        0.00        1.00        1.00       51.11
2024-06-20_08_00_00    xingdenglu       -4.88        2.12      -0.064      295.56     1004.51       86.99        0.00        1.00        1.00       66.97
2024-06-20_09_00_00      badaguan       -6.31       -0.76      -0.001      293.98     1004.54       96.18        0.04        1.00        1.00       93.65
2024-06-20_09_00_00       beizhai       -6.39        2.71      -0.150      296.66     1004.67       80.26        0.00        0.30        0.30      524.87
2024-06-20_09_00_00    dengzhoulu       -5.58       -0.01      -0.015      294.69     1004.56       93.50        0.03        1.00        1.00       95.09
2024-06-20_09_00_00       shangma       -3.37        0.94       0.005      296.34     1004.71       83.16        0.09        1.00        1.00       70.08
2024-06-20_09_00_00    xingdenglu       -5.10        2.50      -0.066      296.22     1004.53       84.37        0.00        0.99        0.99      145.91
2024-06-20_10_00_00      badaguan       -5.97       -0.64      -0.003      294.14     1004.83       95.50        0.01        1.00        1.00      143.60
2024-06-20_10_00_00       beizhai       -6.19        2.69      -0.146      297.15     1004.88       78.23        0.00        0.52        0.52      561.47
2024-06-20_10_00_00    dengzhoulu       -5.72        0.24      -0.018      295.07     1004.86       92.10        0.01        1.00        1.00      145.86
2024-06-20_10_00_00       shangma       -2.84        1.67       0.003      297.07     1004.94       80.45        0.00        1.00        1.00      145.92
2024-06-20_10_00_00    xingdenglu       -4.84        2.74      -0.061      296.58     1004.78       83.14        0.00        1.00        1.00      202.02
2024-06-20_11_00_00      badaguan       -6.79       -0.02       0.002      294.55     1004.43       93.35        0.00        0.75        0.75      566.59
2024-06-20_11_00_00       beizhai       -6.43        2.62      -0.146      297.58     1004.52       76.28        0.00        0.30        0.30      753.89
2024-06-20_11_00_00    dengzhoulu       -6.60        0.96      -0.016      296.46     1004.42       85.01        0.00        0.58        0.58      788.61
2024-06-20_11_00_00       shangma       -3.13        2.95       0.003      297.60     1004.28       78.64        0.01        1.00        1.00      164.88
2024-06-20_11_00_00    xingdenglu       -5.51        3.06      -0.068      298.14     1004.23       75.83        0.00        0.32        0.32      765.92
2024-06-20_12_00_00      badaguan       -6.69        0.40       0.004      294.64     1004.19       93.03        0.00        0.00        0.00      999.20
2024-06-20_12_00_00       beizhai       -6.64        3.17      -0.150      297.50     1004.32       77.02        0.00        0.25        0.25      824.05
2024-06-20_12_00_00    dengzhoulu       -6.55        1.07      -0.016      296.90     1004.20       83.06        0.01        0.00        0.00      999.69
2024-06-20_12_00_00       shangma       -3.59        3.65       0.004      298.15     1004.08       76.35        0.03        1.00        1.00      175.54
2024-06-20_12_00_00    xingdenglu       -5.69        3.30      -0.072      298.28     1004.06       75.51        0.00        0.30        0.30      843.60
2024-06-20_13_00_00      badaguan       -6.74        0.48       0.006      294.54     1004.18       93.47        0.00        0.89        0.89      515.79
2024-06-20_13_00_00       beizhai       -6.82        4.04      -0.149      297.46     1004.26       76.52        0.00        0.36        0.36      756.22
2024-06-20_13_00_00    dengzhoulu       -6.68        1.26      -0.014      296.33     1004.16       85.91        0.00        0.94        0.94      480.91
2024-06-20_13_00_00       shangma       -4.60        4.85       0.004      297.88     1003.99       78.10        0.63        1.00        1.00      160.86
2024-06-20_13_00_00    xingdenglu       -6.19        3.73      -0.077      297.99     1004.04       76.52        0.00        0.27        0.27      851.16
2024-06-20_14_00_00      badaguan       -6.72        0.09       0.003      294.44     1003.89       93.85        0.05        0.99        0.99      235.69
2024-06-20_14_00_00       beizhai       -6.61        4.14      -0.138      297.46     1004.00       76.06        0.00        0.22        0.22      808.13
2024-06-20_14_00_00    dengzhoulu       -6.61        1.10      -0.016      296.04     1003.87       86.98        0.03        0.98        0.98      363.61
2024-06-20_14_00_00       shangma       -4.58        5.75       0.003      297.58     1003.81       78.94        0.01        1.00        1.00      188.59
2024-06-20_14_00_00    xingdenglu       -6.10        3.76      -0.076      297.88     1003.82       76.80        0.00        0.03        0.03      895.86
2024-06-20_15_00_00      badaguan       -6.64       -1.07      -0.003      294.34     1002.99       94.27        0.03        0.98        0.98      210.46
2024-06-20_15_00_00       beizhai       -5.97        2.30      -0.145      297.33     1003.19       76.75        0.00        0.39        0.39      585.00
2024-06-20_15_00_00    dengzhoulu       -6.21       -0.17      -0.020      295.69     1003.02       88.39        0.01        1.00        1.00      180.63
2024-06-20_15_00_00       shangma       -4.28        3.95       0.004      298.31     1003.04       75.17        0.00        0.87        0.87      282.29
2024-06-20_15_00_00    xingdenglu       -5.37        2.96      -0.066      298.18     1002.96       75.02        0.00        0.00        0.00      790.28
2024-06-20_16_00_00      badaguan       -6.53       -0.42      -0.002      294.38     1003.57       94.05        0.00        0.95        0.95      182.11
2024-06-20_16_00_00       beizhai       -5.25        1.61      -0.134      297.05     1003.63       78.00        0.00        0.61        0.61      316.84
2024-06-20_16_00_00    dengzhoulu       -6.12        0.84      -0.019      295.78     1003.57       87.84        0.00        0.78        0.78      255.38
2024-06-20_16_00_00       shangma       -5.44        0.40       0.008      297.93     1003.40       76.21        0.02        1.00        1.00       69.35
2024-06-20_16_00_00    xingdenglu       -4.94        2.71      -0.058      298.43     1003.36       73.46        0.00        0.09        0.09      582.20
2024-06-20_17_00_00      badaguan       -5.72       -0.76      -0.003      294.24     1003.99       94.91        0.00        0.93        0.93       81.05
2024-06-20_17_00_00       beizhai       -5.02        2.16      -0.128      295.84     1004.21       84.59        0.00        0.96        0.96       84.61
2024-06-20_17_00_00    dengzhoulu       -5.36        0.03      -0.018      295.42     1004.02       90.08        0.00        0.75        0.75      140.39
2024-06-20_17_00_00       shangma       -5.88        0.21       0.008      297.03     1003.93       80.96        0.00        0.98        0.98       67.99
2024-06-20_17_00_00    xingdenglu       -5.07        2.72      -0.062      297.28     1003.97       79.18        0.00        0.17        0.17      356.13
2024-06-20_18_00_00      badaguan       -5.96       -0.22       0.000      294.09     1003.46       95.82        0.00        1.00        1.00       19.14
2024-06-20_18_00_00       beizhai       -5.23        2.76      -0.129      295.48     1003.53       86.75        0.00        0.51        0.51       90.03
2024-06-20_18_00_00    dengzhoulu       -5.16        0.36      -0.016      294.96     1003.46       92.89        0.00        1.00        1.00       19.13
2024-06-20_18_00_00       shangma       -4.59        1.67       0.005      296.89     1003.36       81.76        0.00        0.09        0.09      179.76
2024-06-20_18_00_00    xingdenglu       -5.00        2.98      -0.062      296.51     1003.38       83.36        0.00        0.00        0.00      216.15
2024-06-20_19_00_00      badaguan       -5.22       -0.44       0.001      293.87     1003.40       97.30        0.00        0.93        0.93        0.20
2024-06-20_19_00_00       beizhai       -4.54        2.39      -0.103      294.67     1003.53       92.21        0.00        0.00        0.00       29.45
2024-06-20_19_00_00    dengzhoulu       -4.46        0.00      -0.012      294.47     1003.42       96.45        0.00        0.98        0.98        0.00
