CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-03_00_00_00      badaguan        3.27        4.13       0.035      294.77     1008.73       55.17        0.00        0.00        1.00        0.00
2024-06-03_00_00_00       beizhai        0.11        0.53      -0.113      295.75     1009.47       43.95        0.00        0.00        1.00        0.00
2024-06-03_00_00_00    dengzhoulu        2.42        2.61       0.026      297.09     1008.80       34.62        0.00        0.00        1.00        0.00
2024-06-03_00_00_00       shangma       -3.14       -2.17       0.008      295.66     1009.14       47.53        0.00        0.00        1.00        0.00
2024-06-03_00_00_00    xingdenglu       -0.80        0.75      -0.030      295.99     1009.05       45.87        0.00        0.00        1.00        0.00
2024-06-03_01_00_00      badaguan        2.44       -2.01      -0.015      294.67     1009.20       54.42        0.00        0.00        1.00        0.00
2024-06-03_01_00_00       beizhai       -1.48       -1.93      -0.130      295.43     1009.60       40.68        0.00        0.00        1.00        0.00
2024-06-03_01_00_00    dengzhoulu        1.18       -1.57      -0.002      296.12     1009.27       37.19        0.00        0.00        1.00        0.00
2024-06-03_01_00_00       shangma       -2.92       -3.70       0.005      295.44     1009.68       49.64        0.00        0.00        1.00        0.00
2024-06-03_01_00_00    xingdenglu       -0.86       -2.26      -0.029      296.13     1009.32       44.30        0.00        0.00        1.00        0.00
2024-06-03_02_00_00      badaguan        0.10       -4.38      -0.034      293.98     1009.70       60.80        0.00        0.00        0.00        0.00
2024-06-03_02_00_00       beizhai       -4.12       -3.04      -0.229      294.59     1009.91       46.66        0.00        0.00        0.00        0.00
2024-06-03_02_00_00    dengzhoulu       -0.55       -3.37      -0.018      295.60     1009.81       43.62        0.00        0.00        0.00        0.00
2024-06-03_02_00_00       shangma       -1.67       -2.70       0.003      291.80     1010.39       69.13        0.00        0.00        0.27        0.00
2024-06-03_02_00_00    xingdenglu       -2.60       -2.48      -0.055      294.82     1010.03       52.28        0.00        0.00        0.00        0.00
2024-06-03_03_00_00      badaguan       -0.66       -4.95      -0.037      293.64     1010.09       61.94        0.00        0.00        0.00        0.00
2024-06-03_03_00_00       beizhai       -4.98       -4.34      -0.261      295.35     1010.15       36.57        0.00        0.00        0.00        0.00
2024-06-03_03_00_00    dengzhoulu       -0.46       -4.03      -0.017      295.00     1010.20       46.12        0.00        0.00        0.00        0.00
2024-06-03_03_00_00       shangma       -1.60       -2.20       0.003      290.16     1010.89       74.55        0.00        0.00        0.00        0.00
2024-06-03_03_00_00    xingdenglu       -1.99       -3.48      -0.037      294.48     1010.32       48.94        0.00        0.00        0.00        0.00
2024-06-03_04_00_00      badaguan        0.01       -5.62      -0.039      293.50     1010.44       58.85        0.00        0.00        0.00        0.00
2024-06-03_04_00_00       beizhai       -3.66       -4.05      -0.229      294.14     1010.68       36.52        0.00        0.00        0.00        0.00
2024-06-03_04_00_00    dengzhoulu       -0.19       -4.36      -0.017      294.47     1010.58       44.08        0.00        0.00        0.00        0.00
2024-06-03_04_00_00       shangma       -0.77       -2.88       0.001      288.98     1011.18       80.40        0.00        0.00        0.00        0.00
2024-06-03_04_00_00    xingdenglu       -1.64       -3.81      -0.044      293.92     1010.76       47.42        0.00        0.00        0.00        0.00
2024-06-03_05_00_00      badaguan        0.26       -5.71      -0.037      292.78     1011.15       62.64        0.00        0.00        0.00        0.00
2024-06-03_05_00_00       beizhai       -3.50       -4.57      -0.224      293.09     1011.38       42.32        0.00        0.00        0.00        0.00
2024-06-03_05_00_00    dengzhoulu        0.00       -4.51      -0.016      293.38     1011.30       50.12        0.00        0.00        0.00        0.00
2024-06-03_05_00_00       shangma       -0.45       -3.11       0.002      288.11     1011.80       85.35        0.00        0.00        0.00        0.00
2024-06-03_05_00_00    xingdenglu       -1.64       -4.57      -0.041      292.85     1011.46       54.30        0.00        0.00        0.00        0.00
2024-06-03_06_00_00      badaguan       -0.23       -5.76      -0.037      292.89     1011.65       59.49        0.00        0.00        1.00       40.87
2024-06-03_06_00_00       beizhai       -3.84       -5.37      -0.208      294.28     1011.88       36.25        0.00        0.00        0.00      128.41
2024-06-03_06_00_00    dengzhoulu       -0.42       -4.81      -0.018      293.86     1011.77       44.28        0.00        0.00        0.82       64.24
2024-06-03_06_00_00       shangma       -1.12       -3.37       0.003      291.01     1012.24       55.02        0.00        0.00        0.00      122.77
2024-06-03_06_00_00    xingdenglu       -1.78       -4.69      -0.027      293.59     1011.93       47.93        0.00        0.00        0.00      124.65
2024-06-03_07_00_00      badaguan        0.46       -4.36      -0.026      292.71     1012.08       61.75        0.00        0.00        1.00      151.12
2024-06-03_07_00_00       beizhai       -4.51       -6.41      -0.231      294.97     1012.13       38.58        0.00        0.00        1.00      291.78
