CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-10_00_00_00      badaguan       -2.26        2.55       0.008      293.10     1006.37       89.45        0.00        0.00        0.00        0.00
2024-06-10_00_00_00       beizhai       -3.15        3.06      -0.369      295.57     1006.80       65.75        0.00        0.00        0.00        0.00
2024-06-10_00_00_00    dengzhoulu       -1.49        3.13      -0.008      294.02     1006.32       81.76        0.00        0.00        0.00        0.00
2024-06-10_00_00_00       shangma       -1.50        6.86       0.000      295.01     1005.78       73.84        0.00        0.00        0.00        0.00
2024-06-10_00_00_00    xingdenglu       -3.03        2.80      -0.103      295.86     1006.17       68.24        0.00        0.00        0.00        0.00
2024-06-10_01_00_00      badaguan       -2.33        2.15      -0.006      293.17     1006.57       87.55        0.00        0.00        0.00        0.00
2024-06-10_01_00_00       beizhai       -2.92        2.83      -0.364      295.33     1006.89       67.07        0.00        0.00        0.00        0.00
2024-06-10_01_00_00    dengzhoulu       -2.20        2.77      -0.019      294.04     1006.53       79.61        0.00        0.00        0.00        0.00
2024-06-10_01_00_00       shangma       -0.83        6.58      -0.000      294.68     1005.95       75.98        0.00        0.00        0.00        0.00
2024-06-10_01_00_00    xingdenglu       -2.61        2.58      -0.087      295.73     1006.39       69.11        0.00        0.00        0.00        0.00
2024-06-10_02_00_00      badaguan       -2.31        1.55      -0.010      292.88     1006.59       89.73        0.00        0.00        0.00        0.00
2024-06-10_02_00_00       beizhai       -2.38        2.43      -0.337      294.28     1007.13       72.36        0.00        0.00        0.00        0.00
2024-06-10_02_00_00    dengzhoulu       -1.39        1.76      -0.026      293.63     1006.53       82.42        0.00        0.00        0.00        0.00
2024-06-10_02_00_00       shangma       -1.48        5.28       0.002      294.18     1006.25       78.48        0.00        0.00        0.00        0.00
2024-06-10_02_00_00    xingdenglu       -3.19        2.62      -0.111      295.42     1006.53       71.19        0.00        0.00        0.00        0.00
2024-06-10_03_00_00      badaguan       -0.41        2.90       0.015      292.74     1006.77       91.56        0.00        0.00        1.00        0.00
2024-06-10_03_00_00       beizhai       -1.93        2.00      -0.327      293.85     1007.00       72.91        0.00        0.00        0.00        0.00
2024-06-10_03_00_00    dengzhoulu       -0.59        3.08       0.003      293.49     1006.73       84.17        0.00        0.00        0.94        0.00
2024-06-10_03_00_00       shangma       -1.28        5.23       0.001      294.14     1006.14       77.83        0.00        0.00        0.00        0.00
2024-06-10_03_00_00    xingdenglu       -2.35        2.12      -0.107      295.33     1006.39       70.46        0.00        0.00        0.00        0.00
2024-06-10_04_00_00      badaguan        1.04        2.72       0.011      293.12     1006.59       87.55        0.00        0.00        0.83        0.00
2024-06-10_04_00_00       beizhai       -0.84        1.88      -0.245      294.05     1006.91       70.50        0.00        0.00        0.00        0.00
2024-06-10_04_00_00    dengzhoulu        0.52        2.58       0.002      293.72     1006.56       80.68        0.00        0.00        0.73        0.00
2024-06-10_04_00_00       shangma       -0.83        5.42       0.002      293.85     1006.12       80.39        0.00        0.00        0.00        0.00
2024-06-10_04_00_00    xingdenglu       -1.44        2.92      -0.054      294.85     1006.50       73.11        0.00        0.00        0.00        0.00
2024-06-10_05_00_00      badaguan        0.87        2.57       0.014      293.50     1006.83       83.48        0.00        0.00        1.00        0.00
2024-06-10_05_00_00       beizhai       -0.73        2.13      -0.192      294.27     1007.25       68.87        0.00        0.00        1.00        0.00
2024-06-10_05_00_00    dengzhoulu        0.37        2.18       0.001      294.02     1006.81       75.96        0.00        0.00        1.00        0.00
2024-06-10_05_00_00       shangma       -0.36        4.10       0.000      294.87     1006.20       68.00        0.00        0.00        0.01        0.00
2024-06-10_05_00_00    xingdenglu       -1.88        2.94      -0.074      294.78     1006.73       73.50        0.00        0.00        1.00        0.00
2024-06-10_06_00_00      badaguan        1.17        2.32       0.013      293.97     1006.30       80.29        0.00        0.00        1.00       57.32
2024-06-10_06_00_00       beizhai       -0.66        1.78      -0.189      296.74     1006.77       61.54        0.00        0.00        1.00       78.83
2024-06-10_06_00_00    dengzhoulu        0.65        2.00       0.002      294.96     1006.27       70.08        0.00        0.00        1.00       62.22
2024-06-10_06_00_00       shangma        0.09        2.65      -0.001      297.13     1006.01       59.79        0.00        0.00        1.00       89.44
2024-06-10_06_00_00    xingdenglu       -2.13        2.43      -0.084      295.66     1006.34       68.93        0.00        0.00        1.00       59.52
2024-06-10_07_00_00      badaguan        0.29        2.35       0.013      294.86     1006.40       75.90        0.00        0.00        0.72      304.68
2024-06-10_07_00_00       beizhai        0.10        2.23       0.025      299.56     1006.78       50.21        0.00        0.00        0.00      335.67
2024-06-10_07_00_00    dengzhoulu       -0.18        2.29      -0.001      297.28     1006.40       60.50        0.00        0.00        0.00      330.71
2024-06-10_07_00_00       shangma        1.82        1.89      -0.004      300.57     1006.03       47.35        0.00        0.00        0.00      331.07
2024-06-10_07_00_00    xingdenglu       -1.42        2.25      -0.026      298.40     1006.39       57.92        0.00        0.00        0.00      331.83
2024-06-10_08_00_00      badaguan        0.95        2.72       0.020      295.17     1006.81       74.32        0.00        0.00        0.00      540.51
2024-06-10_08_00_00       beizhai        1.20        2.00       0.044      301.49     1007.05       42.59        0.00        0.00        0.00      546.26
2024-06-10_08_00_00    dengzhoulu       -0.35        2.22       0.007      298.13     1006.81       57.37        0.00        0.00        0.00      541.24
2024-06-10_08_00_00       shangma        3.22        1.09      -0.004      303.40     1006.37       37.16        0.00        0.00        0.73      518.44
2024-06-10_08_00_00    xingdenglu       -0.69        2.85      -0.001      300.23     1006.66       52.06        0.00        0.00        0.00      541.80
2024-06-10_09_00_00      badaguan        1.72        3.46       0.030      295.47     1006.72       73.77        0.00        0.00        0.00      728.24
2024-06-10_09_00_00       beizhai        1.79        2.19       0.070      302.73     1007.01       37.71        0.00        0.00        1.00      671.89
2024-06-10_09_00_00    dengzhoulu        0.77        2.98       0.019      299.43     1006.73       53.00        0.00        0.00        0.00      728.98
2024-06-10_09_00_00       shangma        2.27        1.14      -0.003      305.34     1006.27       29.14        0.00        0.00        1.00      644.46
2024-06-10_09_00_00    xingdenglu        0.18        2.26       0.004      302.07     1006.60       43.97        0.00        0.00        1.00      678.97
2024-06-10_10_00_00      badaguan        1.39        3.39       0.029      295.57     1006.77       75.01        0.00        0.00        0.28      874.55
2024-06-10_10_00_00       beizhai        2.11        2.13       0.079      304.15     1007.01       33.87        0.00        0.00        1.00      843.92
2024-06-10_10_00_00    dengzhoulu        0.53        3.12       0.017      300.18     1006.76       51.74        0.00        0.00        1.00      863.10
2024-06-10_10_00_00       shangma        1.20        1.19       0.000      306.83     1006.23       25.57        0.00        0.00        1.00      847.37
2024-06-10_10_00_00    xingdenglu        0.99        1.77       0.015      304.26     1006.53       34.62        0.00        0.00        1.00      836.93
2024-06-10_11_00_00      badaguan        0.45        3.24       0.027      295.22     1006.49       78.99        0.00        0.00        0.00      979.52
2024-06-10_11_00_00       beizhai        1.43        3.25       0.082      305.31     1006.74       31.16        0.00        0.00        1.00      966.87
2024-06-10_11_00_00    dengzhoulu       -0.30        3.08       0.012      300.25     1006.48       53.47        0.00        0.00        0.00      980.80
2024-06-10_11_00_00       shangma       -0.94        2.55       0.003      307.25     1005.85       26.73        0.00        0.00        1.00      871.98
2024-06-10_11_00_00    xingdenglu        0.70        2.19       0.015      305.72     1006.17       30.11        0.00        0.00        1.00      925.07
2024-06-10_12_00_00      badaguan       -0.72        2.45       0.010      294.63     1005.94       84.33        0.00        0.00        0.00     1022.08
2024-06-10_12_00_00       beizhai        0.22        3.59       0.063      305.95     1006.08       29.34        0.00        0.00        1.00     1009.67
2024-06-10_12_00_00    dengzhoulu       -0.63        3.06      -0.003      299.94     1005.90       56.19        0.00        0.00        0.00     1023.79
2024-06-10_12_00_00       shangma       -2.16        3.74       0.001      307.59     1005.21       26.59        0.00        0.00        1.00      837.37
2024-06-10_12_00_00    xingdenglu       -1.13        3.38      -0.011      306.07     1005.42       32.59        0.00        0.00        0.23     1026.02
2024-06-10_13_00_00      badaguan       -0.88        2.64       0.012      294.90     1005.31       83.09        0.00        0.00        0.00     1005.67
2024-06-10_13_00_00       beizhai       -0.23        4.14       0.047      306.00     1005.53       30.13        0.00        0.00        0.00     1013.79
2024-06-10_13_00_00    dengzhoulu       -0.46        3.41      -0.001      300.65     1005.25       53.64        0.00        0.00        0.00     1007.82
2024-06-10_13_00_00       shangma       -1.90        5.05       0.000      306.99     1004.60       30.17        0.00        0.00        0.00     1010.57
2024-06-10_13_00_00    xingdenglu       -0.98        3.70      -0.010      306.39     1004.87       31.85        0.00        0.00        0.00     1010.96
2024-06-10_14_00_00      badaguan       -1.18        2.70       0.016      295.43     1005.00       80.29        0.00        0.00        0.00      930.02
2024-06-10_14_00_00       beizhai       -0.04        4.46       0.041      305.63     1005.26       32.68        0.00        0.00        0.00      937.30
2024-06-10_14_00_00    dengzhoulu       -0.70        3.48       0.002      301.11     1004.96       52.00        0.00        0.00        0.00      932.73
2024-06-10_14_00_00       shangma       -1.57        6.32      -0.000      306.73     1004.21       31.50        0.00        0.00        0.00      937.09
2024-06-10_14_00_00    xingdenglu       -0.55        4.39      -0.008      306.28     1004.55       33.67        0.00        0.00        0.00      935.21
2024-06-10_15_00_00      badaguan       -1.22        2.77       0.014      295.89     1004.72       76.96        0.00        0.00        0.00      798.27
2024-06-10_15_00_00       beizhai       -0.44        4.89       0.027      304.49     1005.05       37.81        0.00        0.00        0.00      807.15
2024-06-10_15_00_00    dengzhoulu       -0.67        3.67       0.001      301.69     1004.68       49.24        0.00        0.00        0.00      800.45
2024-06-10_15_00_00       shangma       -0.80        7.19      -0.001      305.82     1003.86       35.58        0.00        0.00        0.00      808.41
2024-06-10_15_00_00    xingdenglu       -0.71        5.04      -0.008      305.41     1004.33       37.99        0.00        0.00        0.00      805.76
2024-06-10_16_00_00      badaguan       -2.05        2.97       0.015      295.19     1004.85       80.25        0.00        0.00        0.00      626.18
2024-06-10_16_00_00       beizhai       -1.74        5.02      -0.009      303.97     1005.14       38.88        0.00        0.00        0.00      630.61
2024-06-10_16_00_00    dengzhoulu       -1.75        3.79      -0.002      300.20     1004.79       54.63        0.00        0.00        0.00      627.55
2024-06-10_16_00_00       shangma       -1.16        8.26      -0.001      304.68     1003.79       38.86        0.00        0.00        0.00      633.74
2024-06-10_16_00_00    xingdenglu       -2.13        5.56      -0.018      303.98     1004.39       42.70        0.00        0.00        0.00      629.91
2024-06-10_17_00_00      badaguan       -2.70        3.31       0.024      294.35     1005.18       85.47        0.00        0.00        0.00      422.25
2024-06-10_17_00_00       beizhai       -3.00        5.07      -0.046      303.04     1005.43       40.56        0.00        0.00        0.00      424.74
2024-06-10_17_00_00    dengzhoulu       -2.65        4.22       0.002      298.09     1005.08       65.53        0.00        0.00        0.00      423.49
2024-06-10_17_00_00       shangma       -3.61        8.49      -0.000      302.49     1004.13       45.31        0.00        0.00        0.00      428.69
2024-06-10_17_00_00    xingdenglu       -3.81        4.92      -0.039      301.24     1004.71       52.38        0.00        0.00        0.00      424.39
2024-06-10_18_00_00      badaguan       -1.65        3.03       0.017      293.53     1005.63       90.43        0.00        0.00        1.00      150.32
2024-06-10_18_00_00       beizhai       -2.76        5.54      -0.044      300.64     1006.04       52.60        0.00        0.00        1.00      167.37
2024-06-10_18_00_00    dengzhoulu       -1.84        3.92      -0.001      296.06     1005.56       76.93        0.00        0.00        1.00      166.39
2024-06-10_18_00_00       shangma       -2.99        8.92      -0.001      299.09     1004.82       61.73        0.00        0.00        1.00      151.91
2024-06-10_18_00_00    xingdenglu       -3.75        4.86      -0.041      299.18     1005.45       62.20        0.00        0.00        1.00      179.40
2024-06-10_19_00_00      badaguan       -2.43        2.80       0.014      293.77     1005.74       88.95        0.00        0.00        1.00       14.27
2024-06-10_19_00_00       beizhai       -3.19        4.10      -0.128      298.75     1006.13       59.57        0.00        0.00        1.00        4.16
2024-06-10_19_00_00    dengzhoulu       -2.71        3.31      -0.004      295.78     1005.71       78.05        0.00        0.00        1.00       14.01
2024-06-10_19_00_00       shangma       -3.58        6.37       0.003      297.20     1005.00       70.81        0.00        0.00        1.00        6.34
2024-06-10_19_00_00    xingdenglu       -3.81        4.15      -0.047      297.74     1005.50       67.98        0.00        0.00        1.00        5.51
2024-06-10_20_00_00      badaguan       -2.58        3.32       0.014      293.33     1006.09       91.21        0.00        0.00        1.00        0.00
2024-06-10_20_00_00       beizhai       -3.12        4.16      -0.227      297.81     1006.55       60.73        0.00        0.00        1.00        0.00
2024-06-10_20_00_00    dengzhoulu       -1.99        4.15      -0.003      294.95     1005.97       81.67        0.00        0.00        1.00        0.00
2024-06-10_20_00_00       shangma       -2.76        7.66       0.001      296.88     1005.37       70.75        0.00        0.00        1.00        0.00
2024-06-10_20_00_00    xingdenglu       -2.56        4.06      -0.040      297.40     1005.86       67.42        0.00        0.00        1.00        0.00
2024-06-10_21_00_00      badaguan       -2.78        2.46       0.017      293.39     1006.47       89.97        0.00        0.00        1.00        0.00
2024-06-10_21_00_00       beizhai       -4.03        3.18      -0.219      297.16     1006.99       62.79        0.00        0.00        1.00        0.00
2024-06-10_21_00_00    dengzhoulu       -2.15        3.55      -0.002      294.75     1006.40       81.20        0.00        0.00        1.00        0.00
2024-06-10_21_00_00       shangma       -1.36        8.19      -0.001      296.99     1005.75       67.53        0.00        0.00        1.00        0.00
2024-06-10_21_00_00    xingdenglu       -2.45        4.09      -0.038      296.87     1006.32       68.32        0.00        0.00        1.00        0.00
2024-06-10_22_00_00      badaguan       -3.30        3.08       0.017      293.53     1006.59       87.36        0.00        0.00        1.00        0.00
2024-06-10_22_00_00       beizhai       -3.94        3.80      -0.191      297.39     1007.03       61.07        0.00        0.00        1.00        0.00
2024-06-10_22_00_00    dengzhoulu       -2.97        3.42      -0.004      294.97     1006.47       77.64        0.00        0.00        1.00        0.00
2024-06-10_22_00_00       shangma       -2.33        7.32      -0.000      296.73     1005.82       68.38        0.00        0.00        1.00        0.00
2024-06-10_22_00_00    xingdenglu       -3.87        3.10      -0.062      297.22     1006.24       65.08        0.00        0.00        1.00        0.00
2024-06-10_23_00_00      badaguan       -2.33        2.66       0.014      293.90     1007.03       84.16        0.00        0.00        1.00        0.00
2024-06-10_23_00_00       beizhai       -3.71        3.66      -0.257      296.65     1007.57       61.98        0.00        0.00        1.00        0.00
2024-06-10_23_00_00    dengzhoulu       -1.59        3.60      -0.003      295.63     1006.98       72.07        0.00        0.00        1.00        0.00
2024-06-10_23_00_00       shangma       -1.46        7.84      -0.001      296.61     1006.33       68.33        0.00        0.00        1.00        0.00
2024-06-10_23_00_00    xingdenglu       -3.52        2.89      -0.079      296.72     1006.84       67.12        0.00        0.00        1.00        0.00
2024-06-11_00_00_00      badaguan       -2.06        2.51       0.001      294.26     1007.27       80.43        0.00        0.00        1.00        0.00
2024-06-11_00_00_00       beizhai       -3.04        3.44      -0.294      296.46     1007.80       58.24        0.00        0.00        1.00        0.00
2024-06-11_00_00_00    dengzhoulu       -1.20        2.79      -0.011      295.78     1007.24       69.02        0.00        0.00        1.00        0.00
2024-06-11_00_00_00       shangma       -0.94        8.01      -0.001      296.62     1006.55       66.16        0.00        0.00        1.00        0.00
2024-06-11_00_00_00    xingdenglu       -2.56        3.27      -0.076      296.78     1007.06       62.38        0.00        0.00        1.00        0.00
2024-06-11_01_00_00      badaguan       -2.67        3.21       0.027      293.94     1007.34       80.31        0.00        0.00        0.28        0.00
2024-06-11_01_00_00       beizhai       -2.61        3.46      -0.310      296.28     1007.76       57.61        0.00        0.00        1.00        0.00
2024-06-11_01_00_00    dengzhoulu       -1.99        3.57       0.007      295.47     1007.27       67.45        0.00        0.00        1.00        0.00
2024-06-11_01_00_00       shangma       -0.51        7.43      -0.001      296.39     1006.64       64.32        0.00        0.00        1.00        0.00
2024-06-11_01_00_00    xingdenglu       -2.67        2.83      -0.081      296.62     1007.10       60.80        0.00        0.00        1.00        0.00
2024-06-11_02_00_00      badaguan       -1.06        2.89       0.010      293.58     1007.38       82.57        0.00        0.00        1.00        0.00
2024-06-11_02_00_00       beizhai       -2.10        3.08      -0.319      296.01     1007.76       57.31        0.00        0.00        1.00        0.00
2024-06-11_02_00_00    dengzhoulu       -0.98        3.13      -0.005      294.90     1007.33       70.60        0.00        0.00        1.00        0.00
2024-06-11_02_00_00       shangma       -1.26        6.80       0.000      295.77     1006.69       65.27        0.00        0.00        0.40        0.00
2024-06-11_02_00_00    xingdenglu       -2.67        3.43      -0.060      296.55     1007.17       59.81        0.00        0.00        1.00        0.00
2024-06-11_03_00_00      badaguan        0.82        3.34       0.017      293.60     1007.36       82.58        0.00        0.00        1.00        0.00
2024-06-11_03_00_00       beizhai       -1.66        2.49      -0.283      295.30     1007.65       59.90        0.00        0.00        1.00        0.00
2024-06-11_03_00_00    dengzhoulu        0.40        3.31       0.006      294.99     1007.37       69.95        0.00        0.00        1.00        0.00
2024-06-11_03_00_00       shangma       -0.87        6.33      -0.001      295.29     1006.80       67.44        0.00        0.00        1.00        0.00
2024-06-11_03_00_00    xingdenglu       -2.22        3.67      -0.045      295.86     1007.25       63.78        0.00        0.00        1.00        0.00
2024-06-11_04_00_00      badaguan        0.99        4.04       0.020      293.56     1007.54       82.70        0.00        0.00        1.00        0.00
2024-06-11_04_00_00       beizhai       -1.52        2.66      -0.246      294.72     1007.92       62.16        0.00        0.00        1.00        0.00
2024-06-11_04_00_00    dengzhoulu        0.54        3.79       0.007      294.84     1007.55       70.89        0.00        0.00        1.00        0.00
2024-06-11_04_00_00       shangma       -1.21        5.84       0.001      296.15     1006.82       58.76        0.00        0.00        0.64        0.00
2024-06-11_04_00_00    xingdenglu       -2.51        3.94      -0.050      295.37     1007.42       66.51        0.00        0.00        0.91        0.00
2024-06-11_05_00_00      badaguan        2.15        4.77       0.021      293.74     1007.51       80.79        0.00        0.00        0.00        0.00
2024-06-11_05_00_00       beizhai       -1.47        2.69      -0.246      293.87     1007.93       65.23        0.00        0.00        1.00        0.00
2024-06-11_05_00_00    dengzhoulu        1.24        3.86       0.009      294.77     1007.56       70.51        0.00        0.00        0.00        0.00
2024-06-11_05_00_00       shangma       -1.11        5.93       0.000      295.66     1006.91       60.30        0.00        0.00        0.00        0.00
2024-06-11_05_00_00    xingdenglu       -2.39        3.91      -0.055      294.90     1007.52       69.49        0.00        0.00        0.00        0.00
2024-06-11_06_00_00      badaguan        1.98        4.98       0.023      293.74     1007.62       81.93        0.00        0.00        0.00      121.57
2024-06-11_06_00_00       beizhai       -1.22        3.90      -0.085      296.41     1008.11       57.35        0.00        0.00        0.00      126.20
2024-06-11_06_00_00    dengzhoulu        1.38        4.35       0.010      295.14     1007.67       70.23        0.00        0.00        0.00      121.92
2024-06-11_06_00_00       shangma        0.21        5.42      -0.002      298.55     1006.95       46.24        0.00        0.00        0.00      121.72
2024-06-11_06_00_00    xingdenglu       -2.11        4.10      -0.043      295.71     1007.60       66.62        0.00        0.00        0.00      123.02
2024-06-11_07_00_00      badaguan        1.36        5.50       0.025      293.64     1007.66       84.12        0.00        0.00        0.00      328.26
2024-06-11_07_00_00       beizhai       -1.33        4.39      -0.024      297.36     1008.13       56.48        0.00        0.00        0.00      334.24
2024-06-11_07_00_00    dengzhoulu        0.71        4.90       0.009      295.27     1007.67       72.43        0.00        0.00        0.00      328.71
2024-06-11_07_00_00       shangma       -1.10        6.19       0.001      298.86     1007.00       50.29        0.00        0.00        0.00      328.43
