CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-14_00_00_00      badaguan       -2.92        3.33       0.015      292.49     1005.34       98.91        0.03        1.00        1.00        0.00
2024-06-14_00_00_00       beizhai       -3.22        5.78      -0.096      292.71     1004.99       89.22        0.00        0.03        1.00        0.00
2024-06-14_00_00_00    dengzhoulu       -2.66        3.83      -0.003      292.69     1005.17       98.47        0.00        1.00        1.00        0.00
2024-06-14_00_00_00       shangma       -2.62        8.28      -0.001      292.61     1004.03       98.42        0.00        1.00        1.00        0.00
2024-06-14_00_00_00    xingdenglu       -3.54        6.14      -0.044      292.75     1004.56       97.62        0.00        0.94        1.00        0.00
2024-06-14_01_00_00      badaguan       -3.56        4.03       0.026      292.53     1004.97       98.79        0.02        1.00        1.00        0.00
2024-06-14_01_00_00       beizhai       -4.11        6.11      -0.110      292.64     1005.04       90.08        0.00        0.30        1.00        0.00
2024-06-14_01_00_00    dengzhoulu       -3.16        3.84       0.004      292.72     1004.92       98.66        0.00        1.00        1.00        0.00
2024-06-14_01_00_00       shangma       -4.39        9.41       0.001      292.71     1003.86       98.72        0.00        1.00        1.00        0.00
2024-06-14_01_00_00    xingdenglu       -4.54        5.83      -0.053      292.73     1004.77       98.51        0.01        1.00        1.00        0.00
2024-06-14_02_00_00      badaguan       -3.50        3.33       0.024      292.51     1004.80       98.83        0.07        1.00        1.00        0.00
2024-06-14_02_00_00       beizhai       -4.09        6.25      -0.124      293.42     1004.36       85.12        0.00        0.00        1.00        0.00
2024-06-14_02_00_00    dengzhoulu       -3.26        3.48       0.004      292.68     1004.68       98.72        0.01        1.00        1.00        0.00
2024-06-14_02_00_00       shangma       -1.06        8.15      -0.003      292.80     1004.07       98.84        0.00        0.98        1.00        0.00
2024-06-14_02_00_00    xingdenglu       -3.69        5.86      -0.040      292.93     1004.23       96.80        0.00        0.66        1.00        0.00
2024-06-14_03_00_00      badaguan       -3.01        3.28       0.026      292.30     1004.86       99.43        0.07        1.00        1.00        0.00
2024-06-14_03_00_00       beizhai       -3.52        4.72      -0.120      293.15     1004.75       90.27        0.00        0.00        0.40        0.00
2024-06-14_03_00_00    dengzhoulu       -3.02        3.09       0.007      292.32     1004.79       98.49        0.02        1.00        1.00        0.00
2024-06-14_03_00_00       shangma       -1.53        5.36      -0.001      292.63     1004.56       98.71        0.00        1.00        1.00        0.00
2024-06-14_03_00_00    xingdenglu       -3.52        4.20      -0.044      292.79     1004.55       97.07        0.00        0.77        0.77        0.00
2024-06-14_04_00_00      badaguan       -3.21        3.36       0.025      292.19     1005.22       99.53        0.05        1.00        1.00        0.00
2024-06-14_04_00_00       beizhai       -3.62        5.29      -0.110      292.54     1005.15       95.79        0.00        0.00        1.00        0.00
2024-06-14_04_00_00    dengzhoulu       -2.70        3.21       0.007      292.28     1005.18       98.60        0.01        1.00        1.00        0.00
2024-06-14_04_00_00       shangma       -1.90        7.03      -0.001      292.36     1004.65       98.75        0.00        1.00        1.00        0.00
2024-06-14_04_00_00    xingdenglu       -3.32        4.71      -0.041      292.64     1005.02       97.99        0.00        0.75        1.00        0.00
2024-06-14_05_00_00      badaguan       -4.00        3.08       0.020      292.10     1004.46       99.48        0.04        1.00        1.00        0.00
2024-06-14_05_00_00       beizhai       -3.39        4.56      -0.121      293.31     1004.48       91.60        0.00        0.00        0.83        0.00
2024-06-14_05_00_00    dengzhoulu       -3.13        3.14       0.002      292.08     1004.39       98.52        0.00        1.00        1.00        0.00
2024-06-14_05_00_00       shangma       -1.93        6.76      -0.001      292.44     1003.92       98.89        0.00        1.00        1.00        0.00
2024-06-14_05_00_00    xingdenglu       -3.86        4.48      -0.050      292.98     1004.24       96.38        0.00        0.88        1.00        0.00
2024-06-14_06_00_00      badaguan       -4.55        4.08       0.030      292.03     1004.45       99.44        0.05        1.00        1.00        9.29
2024-06-14_06_00_00       beizhai       -4.36        6.18      -0.082      294.07     1004.16       87.75        0.00        0.00        0.00      123.82
2024-06-14_06_00_00    dengzhoulu       -3.80        3.82       0.007      292.07     1004.33       98.52        0.00        1.00        1.00       10.42
2024-06-14_06_00_00       shangma       -2.45        6.80      -0.001      292.40     1003.81       98.57        0.00        1.00        1.00       12.93
2024-06-14_06_00_00    xingdenglu       -4.51        4.92      -0.053      292.92     1004.01       96.17        0.00        0.77        0.77       44.08
2024-06-14_07_00_00      badaguan       -2.84        4.76       0.031      292.07     1005.46       99.43        0.04        1.00        1.00       14.14
2024-06-14_07_00_00       beizhai       -4.36        6.22      -0.089      294.12     1005.57       89.05        0.00        0.00        1.00      296.05
2024-06-14_07_00_00    dengzhoulu       -2.52        3.89       0.010      292.13     1005.42       98.44        0.02        1.00        1.00       19.36
2024-06-14_07_00_00       shangma       -2.24        6.88      -0.000      292.38     1005.02       98.48        0.00        1.00        1.00       17.43
2024-06-14_07_00_00    xingdenglu       -4.22        4.63      -0.059      292.83     1005.38       96.70        0.00        0.90        1.00       88.79
2024-06-14_08_00_00      badaguan       -3.26        3.25       0.020      292.27     1005.49       99.48        0.02        1.00        1.00       43.76
2024-06-14_08_00_00       beizhai       -3.73        6.41      -0.064      293.87     1005.30       91.83        0.00        0.34        1.00      321.13
2024-06-14_08_00_00    dengzhoulu       -2.87        3.15       0.002      292.41     1005.41       98.27        0.00        1.00        1.00       44.97
2024-06-14_08_00_00       shangma       -2.70        7.52      -0.001      292.71     1004.82       97.46        0.00        1.00        1.00       73.47
2024-06-14_08_00_00    xingdenglu       -3.96        4.87      -0.052      292.93     1005.17       97.25        0.00        1.00        1.00      107.10
2024-06-14_09_00_00      badaguan       -2.40        4.61       0.026      292.65     1006.05       98.24        0.01        1.00        1.00      102.21
2024-06-14_09_00_00       beizhai       -4.13        6.69      -0.075      293.69     1006.00       93.50        0.00        0.80        0.98      355.58
2024-06-14_09_00_00    dengzhoulu       -2.39        4.46       0.006      293.02     1005.96       97.64        0.00        1.00        1.00      109.57
2024-06-14_09_00_00       shangma       -2.96        8.60      -0.000      293.64     1005.39       94.97        0.00        1.00        1.00      237.89
2024-06-14_09_00_00    xingdenglu       -4.03        6.00      -0.051      293.50     1005.80       96.13        0.00        1.00        1.00      216.54
2024-06-14_10_00_00      badaguan       -2.31        5.81       0.035      292.86     1005.61       97.35        0.00        1.00        1.00      179.83
2024-06-14_10_00_00       beizhai       -4.17        7.29      -0.070      293.33     1005.45       94.45        0.00        0.83        0.84      306.66
2024-06-14_10_00_00    dengzhoulu       -2.22        5.54       0.010      293.39     1005.54       96.69        0.00        1.00        1.00      184.06
2024-06-14_10_00_00       shangma       -3.52        9.93      -0.000      294.39     1004.48       93.25        0.00        1.00        1.00      413.66
2024-06-14_10_00_00    xingdenglu       -4.03        6.71      -0.048      293.61     1005.23       95.99        0.00        1.00        1.00      198.35
2024-06-14_11_00_00      badaguan       -2.92        6.29       0.039      292.87     1006.00       97.22        0.00        1.00        1.00      212.50
2024-06-14_11_00_00       beizhai       -4.57        7.93      -0.086      293.26     1005.69       95.34        0.00        1.00        1.00      228.72
2024-06-14_11_00_00    dengzhoulu       -2.72        5.99       0.011      293.48     1005.89       96.12        0.00        1.00        1.00      216.77
2024-06-14_11_00_00       shangma       -3.93       11.48      -0.000      294.41     1004.67       92.56        0.00        1.00        1.00      405.85
2024-06-14_11_00_00    xingdenglu       -4.55        7.37      -0.054      293.87     1005.41       94.10        0.00        1.00        1.00      247.79
2024-06-14_12_00_00      badaguan       -2.60        6.83       0.043      292.99     1005.01       96.81        0.00        1.00        1.00      201.31
2024-06-14_12_00_00       beizhai       -4.33        7.57      -0.086      293.30     1005.32       96.06        0.00        1.00        1.00      158.65
2024-06-14_12_00_00    dengzhoulu       -2.45        5.97       0.014      293.53     1004.99       96.94        0.00        1.00        1.00      116.85
2024-06-14_12_00_00       shangma       -1.74       10.55      -0.002      293.93     1004.61       96.31        0.00        1.00        1.00      144.20
2024-06-14_12_00_00    xingdenglu       -3.67        6.44      -0.044      293.92     1005.08       95.48        0.00        1.00        1.00      223.91
2024-06-14_13_00_00      badaguan       -1.86        5.38       0.033      293.11     1004.25       96.43        0.00        1.00        1.00      318.41
2024-06-14_13_00_00       beizhai       -4.12        7.99      -0.061      294.37     1004.11       89.24        0.00        0.82        0.82      568.13
2024-06-14_13_00_00    dengzhoulu       -1.96        5.74       0.009      293.96     1004.16       95.29        0.00        1.00        1.00      270.54
2024-06-14_13_00_00       shangma       -2.62       10.37      -0.001      295.66     1003.45       86.59        0.00        0.88        0.88      776.33
2024-06-14_13_00_00    xingdenglu       -3.88        7.33      -0.044      294.67     1003.75       90.82        0.00        1.00        1.00      364.95
2024-06-14_14_00_00      badaguan       -0.71        5.40       0.031      293.26     1004.37       94.93        0.00        0.72        0.72      597.37
2024-06-14_14_00_00       beizhai       -2.10        7.60      -0.013      295.41     1004.31       81.56        0.00        0.00        0.00      912.22
