CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-05-22_00_00_00      badaguan       -3.27        2.50       0.014      288.14     1018.17       96.79        0.04        1.00        1.00        0.00
2024-05-22_00_00_00       beizhai       -2.17        3.60      -0.047      288.78     1017.74       93.79        0.00        0.10        0.58        0.00
2024-05-22_00_00_00    dengzhoulu       -2.87        2.38      -0.001      288.82     1018.08       97.85        0.02        1.00        1.00        0.00
2024-05-22_00_00_00       shangma       -2.14        4.08       0.000      289.00     1017.88       98.03        0.01        1.00        1.00        0.00
2024-05-22_00_00_00    xingdenglu       -2.76        3.50      -0.026      288.96     1017.92       97.46        0.00        1.00        1.00        0.00
2024-05-22_01_00_00      badaguan       -2.19        3.48       0.024      287.38     1018.78       98.86        0.07        1.00        1.00        0.00
2024-05-22_01_00_00       beizhai       -2.66        4.16      -0.068      288.69     1018.35       97.29        0.00        0.41        1.00        0.00
2024-05-22_01_00_00    dengzhoulu       -2.05        3.36       0.006      287.67     1018.68       97.18        0.06        1.00        1.00        0.00
2024-05-22_01_00_00       shangma       -1.51        4.81       0.000      289.06     1018.44       98.23        0.04        1.00        1.00        0.00
2024-05-22_01_00_00    xingdenglu       -2.51        3.89      -0.022      288.81     1018.54       97.53        0.00        1.00        1.00        0.00
2024-05-22_02_00_00      badaguan       -2.64        2.66       0.021      286.43     1018.47       98.58        0.02        1.00        1.00        0.00
2024-05-22_02_00_00       beizhai       -2.38        4.08      -0.064      288.68     1018.08       95.34        0.00        0.82        1.00        0.00
2024-05-22_02_00_00    dengzhoulu       -2.12        2.53       0.005      286.74     1018.38       97.01        0.00        1.00        1.00        0.00
2024-05-22_02_00_00       shangma       -1.32        4.49      -0.001      287.93     1018.31       97.88        0.03        1.00        1.00        0.00
2024-05-22_02_00_00    xingdenglu       -2.54        3.51      -0.022      287.98     1018.29       97.75        0.00        1.00        1.00        0.00
2024-05-22_03_00_00      badaguan       -2.63        2.62       0.018      286.28     1018.34       98.61        0.01        1.00        1.00        0.00
