CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-27_00_00_00      badaguan       -1.96        2.42       0.019      294.34     1014.81       91.80        0.00        0.00        0.00        0.00
2024-06-27_00_00_00       beizhai       -2.19        2.54      -0.126      292.65     1014.95       62.59        0.00        0.00        0.76        0.00
2024-06-27_00_00_00    dengzhoulu       -1.60        1.68       0.004      293.92     1014.79       92.49        0.00        0.00        0.00        0.00
2024-06-27_00_00_00       shangma       -1.12        2.50       0.001      292.44     1014.70       94.15        0.00        0.00        0.00        0.00
2024-06-27_00_00_00    xingdenglu       -2.76        1.83      -0.074      294.47     1014.71       68.57        0.00        0.00        1.00        0.00
2024-06-27_01_00_00      badaguan       -1.00        2.27       0.015      294.36     1015.41       92.25        0.00        0.00        1.00        0.00
2024-06-27_01_00_00       beizhai       -1.88        3.30      -0.095      292.14     1015.65       73.86        0.00        0.00        0.00        0.00
2024-06-27_01_00_00    dengzhoulu       -0.71        1.49       0.004      293.73     1015.44       93.96        0.00        0.00        0.82        0.00
2024-06-27_01_00_00       shangma       -0.65        3.10      -0.001      292.41     1015.42       95.30        0.00        0.00        0.00        0.00
2024-06-27_01_00_00    xingdenglu       -1.82        2.72      -0.044      294.16     1015.49       69.93        0.00        0.00        0.00        0.00
2024-06-27_02_00_00      badaguan       -1.88        1.53       0.009      294.21     1015.08       93.14        0.00        0.00        1.00        0.00
2024-06-27_02_00_00       beizhai       -2.26        2.25      -0.143      291.54     1015.18       67.04        0.00        0.00        1.00        0.00
2024-06-27_02_00_00    dengzhoulu       -1.23        0.94      -0.003      293.48     1015.07       95.21        0.00        0.00        1.00        0.00
2024-06-27_02_00_00       shangma       -1.09        2.30       0.001      291.62     1015.04       96.85        0.00        0.00        1.00        0.00
2024-06-27_02_00_00    xingdenglu       -2.64        1.54      -0.072      293.79     1015.00       76.03        0.00        0.00        1.00        0.00
2024-06-27_03_00_00      badaguan       -1.70        2.12       0.013      294.16     1015.27       94.06        0.00        0.00        1.00        0.00
2024-06-27_03_00_00       beizhai       -1.92        2.76      -0.085      291.43     1015.34       64.49        0.00        0.00        0.77        0.00
2024-06-27_03_00_00    dengzhoulu       -1.12        1.35      -0.000      293.38     1015.26       96.44        0.00        0.00        1.00        0.00
2024-06-27_03_00_00       shangma       -1.11        2.55       0.001      291.31     1015.15       92.37        0.00        0.00        1.00        0.00
2024-06-27_03_00_00    xingdenglu       -2.10        2.24      -0.052      293.72     1015.20       68.73        0.00        0.00        0.53        0.00
2024-06-27_04_00_00      badaguan       -1.93        1.42       0.008      294.12     1015.64       94.23        0.00        0.00        1.00        0.00
2024-06-27_04_00_00       beizhai       -1.90        2.42      -0.098      291.32     1015.79       71.50        0.00        0.00        1.00        0.00
2024-06-27_04_00_00    dengzhoulu       -1.23        1.00      -0.003      293.21     1015.64       97.25        0.00        0.00        1.00        0.00
2024-06-27_04_00_00       shangma       -1.03        2.51       0.001      291.35     1015.58       94.58        0.00        0.00        1.00        0.00
2024-06-27_04_00_00    xingdenglu       -2.04        1.87      -0.054      293.65     1015.62       73.35        0.00        0.00        1.00        0.00
2024-06-27_05_00_00      badaguan       -2.42        1.26       0.007      294.04     1015.57       94.79        0.00        0.00        1.00        0.00
2024-06-27_05_00_00       beizhai       -2.02        2.27      -0.093      291.14     1015.64       68.25        0.00        0.00        1.00        0.00
2024-06-27_05_00_00    dengzhoulu       -1.52        0.90      -0.005      293.06     1015.55       95.92        0.00        0.00        1.00        0.00
2024-06-27_05_00_00       shangma       -1.26        2.14       0.001      291.17     1015.50       93.47        0.00        0.00        1.00        0.00
2024-06-27_05_00_00    xingdenglu       -2.08        1.62      -0.058      293.49     1015.49       74.32        0.00        0.00        1.00        0.00
2024-06-27_06_00_00      badaguan       -2.21        0.74       0.003      294.18     1015.63       93.27        0.00        0.00        1.00       36.40
2024-06-27_06_00_00       beizhai       -1.69        2.30      -0.061      294.55     1015.80       56.59        0.00        0.00        0.84      115.57
2024-06-27_06_00_00    dengzhoulu       -1.33        0.76      -0.007      293.50     1015.66       92.46        0.00        0.00        1.00       41.48
2024-06-27_06_00_00       shangma       -1.15        2.27       0.001      293.45     1015.72       85.89        0.00        0.00        0.51       98.65
2024-06-27_06_00_00    xingdenglu       -1.83        2.07      -0.035      294.52     1015.71       70.28        0.00        0.00        0.90       87.87
2024-06-27_07_00_00      badaguan       -3.00        0.44       0.004      294.65     1015.33       87.05        0.00        0.00        1.00      149.19
2024-06-27_07_00_00       beizhai       -1.89        2.18      -0.029      296.01     1015.53       51.19        0.00        0.00        1.00      152.08
2024-06-27_07_00_00    dengzhoulu       -2.29        0.68      -0.004      294.97     1015.32       79.04        0.00        0.00        1.00      171.25
2024-06-27_07_00_00       shangma       -1.58        1.93       0.001      295.10     1015.32       77.20        0.00        0.00        1.00      195.77
2024-06-27_07_00_00    xingdenglu       -1.91        1.42      -0.023      295.44     1015.30       68.59        0.00        0.00        1.00      135.89
2024-06-27_08_00_00      badaguan       -2.92        1.08       0.007      294.93     1014.85       84.14        0.00        0.00        0.01      538.96
2024-06-27_08_00_00       beizhai       -0.99        2.53       0.026      297.80     1014.92       40.45        0.00        0.00        1.00      333.23
2024-06-27_08_00_00    dengzhoulu       -2.46        1.46      -0.003      296.27     1014.84       68.16        0.00        0.00        0.16      526.00
2024-06-27_08_00_00       shangma       -1.13        1.53       0.000      296.46     1014.87       64.36        0.00        0.00        1.00      312.27
2024-06-27_08_00_00    xingdenglu       -0.81        1.77      -0.007      297.05     1014.79       57.39        0.00        0.00        1.00      277.14
2024-06-27_09_00_00      badaguan       -2.86        1.54       0.010      295.00     1015.09       86.10        0.00        0.00        1.00      628.21
2024-06-27_09_00_00       beizhai       -1.64        4.57       0.020      298.28     1015.00       41.87        0.00        0.00        1.00      577.41
2024-06-27_09_00_00    dengzhoulu       -2.57        2.06      -0.001      296.50     1015.05       69.02        0.00        0.00        1.00      510.31
2024-06-27_09_00_00       shangma       -1.06        3.54       0.000      298.47     1014.76       49.24        0.00        0.00        1.00      578.95
2024-06-27_09_00_00    xingdenglu       -0.91        3.36      -0.011      298.40     1014.77       49.49        0.00        0.00        1.00      503.41
2024-06-27_10_00_00      badaguan       -3.64        1.65       0.011      295.14     1014.71       87.46        0.00        0.00        0.62      875.55
2024-06-27_10_00_00       beizhai       -2.20        4.31       0.011      298.77     1014.67       41.84        0.00        0.00        1.00      781.25
2024-06-27_10_00_00    dengzhoulu       -3.31        2.14      -0.003      297.08     1014.68       66.24        0.00        0.00        0.00      885.68
2024-06-27_10_00_00       shangma       -1.10        3.82       0.000      299.23     1014.48       47.56        0.00        0.00        1.00      776.08
2024-06-27_10_00_00    xingdenglu       -2.04        3.19      -0.023      299.09     1014.46       46.59        0.00        0.00        1.00      650.17
2024-06-27_11_00_00      badaguan       -3.56        2.14       0.014      295.23     1014.34       86.94        0.00        0.00        0.00      987.51
2024-06-27_11_00_00       beizhai       -2.11        4.22       0.034      299.58     1014.07       38.84        0.00        0.00        0.77      934.70
2024-06-27_11_00_00    dengzhoulu       -3.38        2.72      -0.001      297.29     1014.25       65.73        0.00        0.00        0.00      988.77
2024-06-27_11_00_00       shangma       -1.27        4.00       0.000      299.94     1013.88       43.55        0.00        0.00        1.00      830.13
2024-06-27_11_00_00    xingdenglu       -2.23        3.86      -0.024      299.75     1013.85       44.82        0.00        0.00        1.00      966.59
2024-06-27_12_00_00      badaguan       -3.80        2.72       0.017      295.32     1013.95       86.20        0.00        0.00        1.00      909.20
2024-06-27_12_00_00       beizhai       -3.57        4.98      -0.005      299.59     1013.63       40.14        0.00        0.00        1.00      998.64
2024-06-27_12_00_00    dengzhoulu       -3.74        3.16      -0.001      297.34     1013.89       66.17        0.00        0.00        1.00      966.11
2024-06-27_12_00_00       shangma       -1.22        5.83      -0.001      299.84     1013.54       48.49        0.00        0.00        0.11     1024.90
2024-06-27_12_00_00    xingdenglu       -3.29        4.71      -0.036      299.53     1013.51       47.81        0.00        0.00        1.00      990.43
