CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-01_00_00_00      badaguan        1.22       -5.11      -0.032      291.26     1015.31       59.44        0.00        0.00        0.02        0.00
2024-06-01_00_00_00       beizhai       -0.84       -5.61      -0.136      289.80     1015.23       48.08        0.00        0.00        0.76        0.00
2024-06-01_00_00_00    dengzhoulu        0.86       -4.11      -0.014      291.60     1015.37       45.86        0.00        0.00        0.03        0.00
2024-06-01_00_00_00       shangma        1.35       -3.31      -0.001      289.34     1015.53       55.72        0.00        0.00        0.00        0.00
2024-06-01_00_00_00    xingdenglu        0.06       -3.62      -0.013      290.70     1015.44       50.55        0.00        0.00        1.00        0.00
2024-06-01_01_00_00      badaguan        1.41       -4.97      -0.031      290.76     1016.04       61.03        0.00        0.00        0.00        0.00
2024-06-01_01_00_00       beizhai       -1.46       -5.04      -0.169      288.91     1015.89       51.85        0.00        0.00        0.00        0.00
2024-06-01_01_00_00    dengzhoulu        0.83       -3.54      -0.014      290.74     1016.12       50.58        0.00        0.00        0.00        0.00
2024-06-01_01_00_00       shangma        1.21       -2.91      -0.002      288.12     1016.22       61.14        0.00        0.00        0.00        0.00
2024-06-01_01_00_00    xingdenglu       -0.45       -3.11      -0.026      289.47     1016.15       53.69        0.00        0.00        0.00        0.00
2024-06-01_02_00_00      badaguan        0.75       -4.24      -0.024      290.38     1016.58       61.20        0.00        0.00        0.00        0.00
2024-06-01_02_00_00       beizhai       -2.04       -4.42      -0.185      288.81     1016.37       51.27        0.00        0.00        0.00        0.00
2024-06-01_02_00_00    dengzhoulu        0.46       -3.06      -0.012      290.12     1016.60       52.25        0.00        0.00        0.00        0.00
2024-06-01_02_00_00       shangma        0.85       -2.69      -0.001      287.18     1016.67       64.94        0.00        0.00        0.00        0.00
2024-06-01_02_00_00    xingdenglu       -0.79       -2.67      -0.034      289.06     1016.63       56.07        0.00        0.00        0.00        0.00
