CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-26_00_00_00      badaguan       -1.87        2.87       0.014      294.07     1014.29       87.06        0.00        0.00        0.00        0.00
2024-06-26_00_00_00       beizhai       -1.87        2.55      -0.152      292.06     1014.49       55.43        0.00        0.00        0.00        0.00
2024-06-26_00_00_00    dengzhoulu       -1.62        2.41      -0.001      293.82     1014.25       83.71        0.00        0.00        0.00        0.00
2024-06-26_00_00_00       shangma       -1.02        4.29      -0.000      293.13     1013.88       82.74        0.00        0.00        0.00        0.00
2024-06-26_00_00_00    xingdenglu       -3.07        2.32      -0.084      294.72     1014.09       59.13        0.00        0.00        0.00        0.00
2024-06-26_01_00_00      badaguan       -0.84        2.52       0.010      293.97     1014.65       88.79        0.00        0.00        0.00        0.00
2024-06-26_01_00_00       beizhai       -1.79        2.45      -0.161      291.68     1014.94       55.18        0.00        0.00        0.00        0.00
2024-06-26_01_00_00    dengzhoulu       -0.78        1.89      -0.002      293.54     1014.64       86.41        0.00        0.00        0.00        0.00
2024-06-26_01_00_00       shangma       -0.51        3.55      -0.000      292.37     1014.43       89.52        0.00        0.00        0.00        0.00
2024-06-26_01_00_00    xingdenglu       -2.52        1.94      -0.084      294.53     1014.52       57.41        0.00        0.00        0.00        0.00
2024-06-26_02_00_00      badaguan       -0.76        2.97       0.015      293.93     1014.74       89.61        0.00        0.00        0.00        0.00
2024-06-26_02_00_00       beizhai       -1.75        2.46      -0.149      291.21     1014.96       59.24        0.00        0.00        0.00        0.00
2024-06-26_02_00_00    dengzhoulu       -0.85        2.06       0.002      293.35     1014.72       88.22        0.00        0.00        0.00        0.00
2024-06-26_02_00_00       shangma       -0.68        2.95       0.000      291.65     1014.47       91.11        0.00        0.00        0.00        0.00
2024-06-26_02_00_00    xingdenglu       -2.17        1.81      -0.081      294.21     1014.57       58.86        0.00        0.00        0.00        0.00
2024-06-26_03_00_00      badaguan       -0.87        2.78       0.015      293.85     1015.11       90.71        0.00        0.00        0.00        0.00
2024-06-26_03_00_00       beizhai       -1.84        2.70      -0.110      290.57     1015.29       72.15        0.00        0.00        0.00        0.00
2024-06-26_03_00_00    dengzhoulu       -0.92        1.76       0.001      293.09     1015.10       90.91        0.00        0.00        0.00        0.00
2024-06-26_03_00_00       shangma       -0.98        3.42      -0.000      291.85     1014.84       91.47        0.00        0.00        0.00        0.00
2024-06-26_03_00_00    xingdenglu       -3.35        2.36      -0.090      293.96     1014.95       66.52        0.00        0.00        0.00        0.00
2024-06-26_04_00_00      badaguan       -0.28        2.99       0.016      293.76     1015.48       92.87        0.00        0.00        0.00        0.00
2024-06-26_04_00_00       beizhai       -1.93        2.64      -0.131      290.24     1015.72       73.76        0.00        0.00        0.00        0.00
2024-06-26_04_00_00    dengzhoulu       -0.53        1.98       0.004      292.88     1015.47       94.94        0.00        0.00        0.00        0.00
2024-06-26_04_00_00       shangma       -0.90        3.40       0.000      291.69     1015.25       93.51        0.00        0.00        0.00        0.00
2024-06-26_04_00_00    xingdenglu       -2.93        2.64      -0.075      293.39     1015.38       74.92        0.00        0.00        0.00        0.00
2024-06-26_05_00_00      badaguan       -1.16        1.75       0.008      293.56     1015.39       93.60        0.00        0.00        0.00        0.00
2024-06-26_05_00_00       beizhai       -1.70        2.22      -0.129      290.02     1015.65       64.29        0.00        0.00        0.00        0.00
2024-06-26_05_00_00    dengzhoulu       -1.08        1.35      -0.004      292.41     1015.39       96.82        0.00        0.00        0.00        0.00
2024-06-26_05_00_00       shangma       -1.08        2.94       0.001      291.02     1015.34       95.05        0.00        0.00        0.00        0.00
2024-06-26_05_00_00    xingdenglu       -2.49        1.60      -0.083      293.21     1015.35       71.24        0.00        0.00        0.00        0.00
2024-06-26_06_00_00      badaguan       -1.78        1.39       0.007      293.88     1015.82       90.77        0.00        0.00        0.00      115.92
2024-06-26_06_00_00       beizhai       -0.97        1.72      -0.078      294.38     1016.00       51.11        0.00        0.00        0.00      121.22
2024-06-26_06_00_00    dengzhoulu       -1.38        1.23      -0.003      293.68     1015.82       86.49        0.00        0.00        0.00      116.36
2024-06-26_06_00_00       shangma       -1.10        3.12       0.000      293.62     1015.64       87.45        0.00        0.00        0.00      115.63
2024-06-26_06_00_00    xingdenglu       -1.96        1.63      -0.064      295.02     1015.72       60.88        0.00        0.00        0.00      117.51
2024-06-26_07_00_00      badaguan       -1.58        1.53       0.010      294.20     1016.19       86.88        0.00        0.00        0.00      326.27
2024-06-26_07_00_00       beizhai       -0.17        2.47       0.021      297.20     1016.33       40.53        0.00        0.00        0.00      333.63
2024-06-26_07_00_00    dengzhoulu       -1.14        1.68       0.002      294.93     1016.18       76.70        0.00        0.00        0.00      326.97
2024-06-26_07_00_00       shangma       -0.11        3.13      -0.002      295.66     1016.00       73.23        0.00        0.00        0.00      325.04
2024-06-26_07_00_00    xingdenglu       -0.96        2.27      -0.007      296.34     1016.09       59.81        0.00        0.00        0.00      328.11
2024-06-26_08_00_00      badaguan       -1.65        2.50       0.015      294.06     1016.59       91.84        0.00        0.00        0.00      537.73
2024-06-26_08_00_00       beizhai        0.51        2.96       0.048      298.74     1016.59       36.83        0.00        0.00        0.00      545.89
2024-06-26_08_00_00    dengzhoulu       -0.99        2.43       0.004      295.45     1016.55       78.58        0.00        0.00        0.00      538.48
2024-06-26_08_00_00       shangma        0.48        3.19      -0.002      297.83     1016.21       56.63        0.00        0.00        0.00      536.24
2024-06-26_08_00_00    xingdenglu        0.14        2.53       0.006      297.98     1016.33       52.56        0.00        0.00        0.00      539.42
2024-06-26_09_00_00      badaguan       -1.41        3.18       0.017      294.16     1016.90       91.66        0.00        0.00        0.00      727.21
2024-06-26_09_00_00       beizhai       -0.16        3.75       0.037      298.91     1016.95       39.78        0.00        0.00        0.00      735.40
2024-06-26_09_00_00    dengzhoulu       -0.97        3.10       0.005      295.95     1016.85       73.91        0.00        0.00        0.00      728.01
2024-06-26_09_00_00       shangma       -0.04        4.28      -0.001      299.04     1016.52       48.68        0.00        0.00        0.00      726.61
