CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-21_00_00_00      badaguan       -4.56        0.36       0.003      294.07     1002.61       97.68        0.00        1.00        1.00        0.00
2024-06-21_00_00_00       beizhai       -0.24        1.25       0.007      294.22     1002.60       94.51        0.00        0.00        1.00        0.00
2024-06-21_00_00_00    dengzhoulu       -3.77        0.84      -0.008      294.54     1002.59       98.18        0.00        1.00        1.00        0.00
2024-06-21_00_00_00       shangma       -2.07        0.16       0.003      295.03     1002.55       93.89        0.00        0.85        1.00        0.00
2024-06-21_00_00_00    xingdenglu       -1.59        1.53      -0.020      295.04     1002.52       92.88        0.00        0.00        1.00        0.00
2024-06-21_01_00_00      badaguan       -3.90        0.75       0.005      294.12     1003.12       97.56        0.00        0.98        0.98        0.00
2024-06-21_01_00_00       beizhai       -0.38        1.08       0.023      293.60     1003.14       94.03        0.00        0.00        0.00        0.00
2024-06-21_01_00_00    dengzhoulu       -3.35        1.18      -0.005      294.66     1003.11       97.96        0.00        0.91        0.91        0.00
2024-06-21_01_00_00       shangma       -0.51        1.98       0.000      295.02     1003.24       94.38        0.00        0.86        0.86        0.00
2024-06-21_01_00_00    xingdenglu       -2.06        2.18      -0.019      294.84     1003.06       94.09        0.00        0.00        0.00        0.00
2024-06-21_02_00_00      badaguan       -3.61        0.03      -0.002      294.06     1002.96       97.94        0.00        0.93        0.95        0.00
2024-06-21_02_00_00       beizhai       -0.19       -0.03       0.023      292.96     1003.17       95.93        0.00        0.00        0.64        0.00
2024-06-21_02_00_00    dengzhoulu       -3.03        0.64      -0.008      294.51     1002.97       98.91        0.00        0.87        1.00        0.00
2024-06-21_02_00_00       shangma       -0.61        0.46       0.001      295.18     1003.23       93.80        0.00        1.00        1.00        0.00
2024-06-21_02_00_00    xingdenglu       -1.92        1.79      -0.020      294.49     1003.06       96.10        0.00        0.00        0.77        0.00
2024-06-21_03_00_00      badaguan       -2.91        0.35       0.001      294.10     1003.32       97.80        0.00        0.69        0.69        0.00
2024-06-21_03_00_00       beizhai       -0.21        0.26       0.007      293.11     1003.42       97.35        0.00        0.00        1.00        0.00
2024-06-21_03_00_00    dengzhoulu       -2.53        0.88      -0.007      294.61     1003.32       98.83        0.00        0.33        0.33        0.00
2024-06-21_03_00_00       shangma       -0.53        0.82       0.001      295.00     1003.26       95.10        0.00        1.00        1.00        0.00
2024-06-21_03_00_00    xingdenglu       -1.98        1.19      -0.028      294.27     1003.28       96.55        0.00        0.00        0.00        0.00
2024-06-21_04_00_00      badaguan       -2.48        0.72       0.002      294.11     1002.92       97.66        0.00        0.71        1.00        0.00
