CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-05-13_00_00_00      badaguan        0.16        0.76       0.002      288.26     1017.06       58.58        0.00        0.00        0.00        0.00
2024-05-13_00_00_00       beizhai       -1.27       -1.39      -0.115      286.25     1016.87       33.30        0.00        0.00        0.00        0.00
2024-05-13_00_00_00    dengzhoulu       -0.04        0.96      -0.003      287.97     1017.04       48.78        0.00        0.00        0.00        0.00
2024-05-13_00_00_00       shangma        0.24        2.16      -0.003      285.26     1016.89       66.89        0.00        0.00        0.00        0.00
2024-05-13_00_00_00    xingdenglu       -0.62        1.37      -0.014      286.95     1016.97       59.30        0.00        0.00        0.00        0.00
2024-05-13_01_00_00      badaguan        1.06       -0.06      -0.005      288.40     1017.26       56.22        0.00        0.00        0.00        0.00
2024-05-13_01_00_00       beizhai        0.03        0.66       0.018      285.51     1017.20       44.82        0.00        0.00        0.00        0.00
2024-05-13_01_00_00    dengzhoulu        0.89        0.43      -0.003      288.10     1017.25       43.11        0.00        0.00        0.00        0.00
2024-05-13_01_00_00       shangma        1.80        1.94      -0.005      285.34     1017.14       53.74        0.00        0.00        0.00        0.00
2024-05-13_01_00_00    xingdenglu       -0.27        1.53      -0.015      286.83     1017.26       57.45        0.00        0.00        0.00        0.00
2024-05-13_02_00_00      badaguan        1.30       -0.64      -0.012      288.40     1017.53       55.17        0.00        0.00        0.00        0.00
2024-05-13_02_00_00       beizhai       -0.37        0.74      -0.049      284.89     1017.54       47.01        0.00        0.00        0.00        0.00
2024-05-13_02_00_00    dengzhoulu        1.15       -0.37      -0.007      287.99     1017.55       40.24        0.00        0.00        0.00        0.00
2024-05-13_02_00_00       shangma        2.47        1.54      -0.005      285.39     1017.43       42.11        0.00        0.00        0.00        0.00
2024-05-13_02_00_00    xingdenglu       -0.49        1.18      -0.034      286.80     1017.58       52.86        0.00        0.00        0.00        0.00
2024-05-13_03_00_00      badaguan        1.01       -0.33      -0.010      288.64     1017.47       50.01        0.00        0.00        0.00        0.00
2024-05-13_03_00_00       beizhai       -0.13        0.29      -0.042      285.57     1017.47       38.97        0.00        0.00        0.00        0.00
2024-05-13_03_00_00    dengzhoulu        0.87       -0.46      -0.008      288.08     1017.47       36.10        0.00        0.00        0.00        0.00
2024-05-13_03_00_00       shangma        2.87        1.18      -0.005      284.90     1017.42       41.57        0.00        0.00        0.00        0.00
2024-05-13_03_00_00    xingdenglu       -0.00        0.57      -0.020      287.25     1017.51       46.84        0.00        0.00        0.00        0.00
2024-05-13_04_00_00      badaguan        0.43       -0.49      -0.008      288.75     1017.37       46.63        0.00        0.00        0.00        0.00
2024-05-13_04_00_00       beizhai        0.08        0.02      -0.044      285.49     1017.41       36.48        0.00        0.00        0.00        0.00
2024-05-13_04_00_00    dengzhoulu        0.54       -0.58      -0.007      287.95     1017.36       35.05        0.00        0.00        0.00        0.00
2024-05-13_04_00_00       shangma        2.91        1.14      -0.006      284.54     1017.26       41.49        0.00        0.00        0.00        0.00
2024-05-13_04_00_00    xingdenglu        0.55        0.10      -0.007      287.16     1017.41       44.72        0.00        0.00        0.00        0.00
2024-05-13_05_00_00      badaguan        0.38       -0.46      -0.011      288.44     1017.81       51.47        0.00        0.00        0.00        0.00
2024-05-13_05_00_00       beizhai        0.03       -0.18      -0.057      285.31     1017.87       34.63        0.00        0.00        0.00        0.00
2024-05-13_05_00_00    dengzhoulu        0.30       -0.51      -0.010      287.92     1017.80       35.05        0.00        0.00        0.00        0.00
2024-05-13_05_00_00       shangma        2.85        1.39      -0.006      284.12     1017.72       41.17        0.00        0.00        0.00        0.00
2024-05-13_05_00_00    xingdenglu        0.37       -0.07      -0.008      287.01     1017.87       42.86        0.00        0.00        0.00        0.00
2024-05-13_06_00_00      badaguan        0.64       -0.04      -0.004      288.94     1017.92       45.91        0.00        0.00        0.00       91.39
2024-05-13_06_00_00       beizhai       -0.06        0.00      -0.062      287.55     1017.97       36.66        0.00        0.00        0.00       95.71
2024-05-13_06_00_00    dengzhoulu        0.49       -0.25      -0.005      288.55     1017.91       32.95        0.00        0.00        0.00       91.69
2024-05-13_06_00_00       shangma        2.42        1.39      -0.005      285.88     1017.87       43.59        0.00        0.00        0.00       90.79
