CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-05-23_00_00_00      badaguan       -2.40        1.89       0.001      288.01     1013.31       95.50        0.00        0.99        0.99        0.00
2024-05-23_00_00_00       beizhai       -2.78        3.66      -0.199      288.46     1013.29       77.00        0.00        0.00        0.00        0.00
2024-05-23_00_00_00    dengzhoulu       -1.71        2.87      -0.010      288.10     1013.22       94.23        0.00        0.79        0.79        0.00
2024-05-23_00_00_00       shangma       -1.36        5.97      -0.001      287.58     1012.85       97.43        0.00        0.75        0.75        0.00
2024-05-23_00_00_00    xingdenglu       -3.76        3.20      -0.092      289.10     1013.10       80.53        0.00        0.00        0.00        0.00
2024-05-23_01_00_00      badaguan       -3.25        2.38       0.003      288.02     1013.01       93.23        0.00        0.72        0.72        0.00
2024-05-23_01_00_00       beizhai       -2.81        3.62      -0.212      288.22     1013.03       77.64        0.00        0.00        0.00        0.00
2024-05-23_01_00_00    dengzhoulu       -1.82        3.01      -0.012      288.11     1012.92       91.71        0.00        0.00        0.00        0.00
2024-05-23_01_00_00       shangma       -1.33        5.86      -0.001      287.63     1012.59       96.66        0.00        0.72        0.72        0.00
2024-05-23_01_00_00    xingdenglu       -3.93        3.23      -0.100      288.90     1012.82       81.15        0.00        0.00        0.00        0.00
2024-05-23_02_00_00      badaguan       -3.68        2.27       0.005      287.97     1013.18       92.60        0.00        0.72        0.72        0.00
2024-05-23_02_00_00       beizhai       -2.66        3.29      -0.209      287.78     1013.27       81.09        0.00        0.00        0.00        0.00
2024-05-23_02_00_00    dengzhoulu       -2.12        2.64      -0.011      287.75     1013.09       93.34        0.00        0.00        0.00        0.00
2024-05-23_02_00_00       shangma       -1.57        5.71      -0.000      287.34     1012.77       95.17        0.00        0.00        0.00        0.00
2024-05-23_02_00_00    xingdenglu       -3.99        2.78      -0.101      288.69     1013.05       83.06        0.00        0.00        0.00        0.00
2024-05-23_03_00_00      badaguan       -2.66        2.95       0.016      287.86     1013.30       94.87        0.01        0.93        0.93        0.00
2024-05-23_03_00_00       beizhai       -2.40        2.99      -0.216      287.44     1013.35       81.36        0.00        0.00        0.00        0.00
2024-05-23_03_00_00    dengzhoulu       -1.64        3.21      -0.001      287.60     1013.20       94.56        0.00        0.73        0.73        0.00
2024-05-23_03_00_00       shangma       -1.36        5.64      -0.001      286.99     1012.87       96.14        0.00        0.00        0.00        0.00
2024-05-23_03_00_00    xingdenglu       -3.86        2.87      -0.097      288.60     1013.10       83.26        0.00        0.00        0.00        0.00
2024-05-23_04_00_00      badaguan       -2.61        2.50       0.009      287.57     1013.41       97.40        0.06        1.00        1.00        0.00
2024-05-23_04_00_00       beizhai       -2.21        2.61      -0.229      287.01     1013.41       81.01        0.00        0.00        0.00        0.00
2024-05-23_04_00_00    dengzhoulu       -1.32        3.06      -0.003      287.04     1013.35       97.68        0.01        0.99        0.99        0.00
2024-05-23_04_00_00       shangma       -0.80        5.81      -0.002      286.62     1012.87       99.05        0.00        0.07        0.07        0.00
2024-05-23_04_00_00    xingdenglu       -3.33        2.31      -0.108      288.63     1013.11       81.49        0.00        0.00        0.00        0.00
2024-05-23_05_00_00      badaguan       -2.18        3.70       0.028      287.53     1013.42       98.50        0.03        0.93        0.93        0.00
2024-05-23_05_00_00       beizhai       -2.18        2.39      -0.204      286.84     1013.24       80.02        0.00        0.00        0.00        0.00
2024-05-23_05_00_00    dengzhoulu       -1.98        3.19       0.011      287.77     1013.23       95.29        0.00        0.84        0.84        0.00
2024-05-23_05_00_00       shangma       -1.05        5.42      -0.001      286.91     1012.84       98.64        0.00        0.96        0.96        0.00
2024-05-23_05_00_00    xingdenglu       -3.36        2.31      -0.104      288.79     1012.96       79.27        0.00        0.00        0.00        0.00
2024-05-23_06_00_00      badaguan       -1.22        3.72       0.024      286.84     1013.30       98.73        0.06        1.00        1.00        7.96
2024-05-23_06_00_00       beizhai       -1.97        2.31      -0.111      290.43     1013.16       68.66        0.00        0.00        0.00      112.99
2024-05-23_06_00_00    dengzhoulu       -1.25        3.21       0.010      286.81     1013.20       97.39        0.01        0.99        0.99       11.53
2024-05-23_06_00_00       shangma       -1.11        5.24      -0.002      287.42     1012.91       96.36        0.00        0.94        0.94       21.22
2024-05-23_06_00_00    xingdenglu       -2.96        3.21      -0.043      289.05     1013.05       80.85        0.00        0.00        0.00      109.62
2024-05-23_07_00_00      badaguan        0.02        4.06       0.025      286.97     1013.39       98.68        0.07        1.00        1.00       40.46
2024-05-23_07_00_00       beizhai       -0.89        3.85       0.013      291.60     1013.22       68.41        0.00        0.00        0.00      327.00
2024-05-23_07_00_00    dengzhoulu       -0.47        3.57       0.013      287.02     1013.31       97.18        0.01        1.00        1.00       43.64
2024-05-23_07_00_00       shangma       -0.96        6.16      -0.003      287.44     1012.91       96.84        0.00        0.83        0.83      120.17
2024-05-23_07_00_00    xingdenglu       -2.17        4.35      -0.014      288.41     1013.20       89.27        0.00        0.00        0.00      322.39
2024-05-23_08_00_00      badaguan       -0.39        2.93       0.018      287.09     1013.56       98.56        0.05        1.00        1.00       95.81
2024-05-23_08_00_00       beizhai        0.22        3.34       0.040      292.17     1013.44       70.85        0.00        0.00        0.00      540.64
2024-05-23_08_00_00    dengzhoulu       -0.63        2.84       0.008      287.30     1013.48       96.83        0.00        1.00        1.00      105.15
