CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-18_00_00_00      badaguan       -1.09        2.08       0.014      293.70     1006.89       78.37        0.00        0.00        0.00        0.00
2024-06-18_00_00_00       beizhai       -2.14        2.84      -0.236      293.04     1007.19       62.61        0.00        0.00        0.00        0.00
2024-06-18_00_00_00    dengzhoulu       -1.33        2.04      -0.005      293.96     1006.81       65.31        0.00        0.00        0.00        0.00
2024-06-18_00_00_00       shangma       -1.19        5.91       0.002      294.14     1006.24       64.06        0.00        0.00        0.00        0.00
2024-06-18_00_00_00    xingdenglu       -3.21        2.00      -0.122      294.70     1006.59       63.49        0.00        0.00        0.00        0.00
2024-06-18_01_00_00      badaguan       -1.22        2.53       0.016      293.50     1007.28       81.45        0.00        0.00        0.00        0.00
2024-06-18_01_00_00       beizhai       -2.03        2.69      -0.234      292.41     1007.62       70.03        0.00        0.00        0.00        0.00
2024-06-18_01_00_00    dengzhoulu       -1.00        2.30      -0.002      293.57     1007.22       71.47        0.00        0.00        0.00        0.00
2024-06-18_01_00_00       shangma       -1.30        5.77       0.002      293.72     1006.66       67.71        0.00        0.00        0.00        0.00
2024-06-18_01_00_00    xingdenglu       -3.17        2.09      -0.122      294.35     1007.00       68.28        0.00        0.00        0.00        0.00
2024-06-18_02_00_00      badaguan       -2.10        2.84       0.019      293.33     1007.56       83.91        0.00        0.00        0.00        0.00
2024-06-18_02_00_00       beizhai       -2.12        2.53      -0.247      292.17     1007.88       64.68        0.00        0.00        0.00        0.00
2024-06-18_02_00_00    dengzhoulu       -1.66        2.51      -0.004      293.33     1007.49       75.81        0.00        0.00        0.00        0.00
2024-06-18_02_00_00       shangma       -1.62        5.78       0.003      293.51     1006.94       70.56        0.00        0.00        0.00        0.00
2024-06-18_02_00_00    xingdenglu       -3.30        2.18      -0.117      294.34     1007.25       66.78        0.00        0.00        0.00        0.00
2024-06-18_03_00_00      badaguan       -1.19        4.43       0.025      292.95     1007.73       90.86        0.00        0.00        0.00        0.00
2024-06-18_03_00_00       beizhai       -2.18        2.66      -0.258      292.08     1007.98       61.28        0.00        0.00        0.00        0.00
2024-06-18_03_00_00    dengzhoulu       -1.12        3.64       0.004      292.87     1007.65       85.70        0.00        0.00        0.00        0.00
2024-06-18_03_00_00       shangma       -1.42        5.95       0.002      293.21     1007.02       74.26        0.00        0.00        0.00        0.00
2024-06-18_03_00_00    xingdenglu       -3.45        2.63      -0.116      294.33     1007.33       62.19        0.00        0.00        0.00        0.00
2024-06-18_04_00_00      badaguan        0.91        5.19       0.033      292.90     1008.12       93.13        0.00        0.00        0.17        0.00
2024-06-18_04_00_00       beizhai       -2.12        2.72      -0.246      291.51     1008.49       66.44        0.00        0.00        0.00        0.00
2024-06-18_04_00_00    dengzhoulu        0.18        3.67       0.018      292.59     1008.15       92.72        0.00        0.00        0.10        0.00
2024-06-18_04_00_00       shangma       -1.05        5.33       0.000      292.80     1007.78       78.49        0.00        0.00        0.00        0.00
2024-06-18_04_00_00    xingdenglu       -2.49        3.71      -0.046      293.55     1008.13       69.52        0.00        0.00        0.00        0.00
2024-06-18_05_00_00      badaguan       -0.15        2.57       0.021      292.80     1008.92       92.81        0.00        0.00        0.00        0.00
2024-06-18_05_00_00       beizhai       -1.99        2.46      -0.249      290.80     1009.23       72.83        0.00        0.00        0.00        0.00
2024-06-18_05_00_00    dengzhoulu       -0.50        1.82       0.005      292.16     1008.92       93.90        0.00        0.00        0.00        0.00
2024-06-18_05_00_00       shangma       -1.10        3.78       0.001      291.97     1008.70       84.63        0.00        0.00        0.00        0.00
2024-06-18_05_00_00    xingdenglu       -2.51        3.09      -0.056      292.82     1008.93       78.68        0.00        0.00        0.00        0.00
2024-06-18_06_00_00      badaguan       -1.48        1.91       0.011      292.86     1008.69       90.30        0.00        0.00        0.00      121.98
2024-06-18_06_00_00       beizhai       -1.74        2.01      -0.223      294.67     1009.03       53.85        0.00        0.00        0.00      126.38
2024-06-18_06_00_00    dengzhoulu       -1.08        2.04      -0.004      292.88     1008.66       84.88        0.00        0.00        0.00      122.38
2024-06-18_06_00_00       shangma       -1.19        3.54       0.002      294.56     1008.37       65.06        0.00        0.00        0.00      121.44
2024-06-18_06_00_00    xingdenglu       -2.33        3.05      -0.044      294.10     1008.64       67.85        0.00        0.00        0.00      122.90
2024-06-18_07_00_00      badaguan       -1.76        2.47       0.011      293.02     1009.28       89.40        0.00        0.00        0.00      331.51
2024-06-18_07_00_00       beizhai       -0.37        2.73      -0.008      297.38     1009.61       40.82        0.00        0.00        0.00      336.61
2024-06-18_07_00_00    dengzhoulu       -1.25        2.47      -0.003      293.90     1009.23       78.96        0.00        0.00        0.00      332.14
2024-06-18_07_00_00       shangma       -1.09        3.84       0.002      296.47     1008.93       55.84        0.00        0.00        0.00      330.09
2024-06-18_07_00_00    xingdenglu       -1.81        3.33      -0.015      296.00     1009.17       59.84        0.00        0.00        0.00      332.22
2024-06-18_08_00_00      badaguan       -1.85        3.95       0.022      293.49     1009.35       87.59        0.00        0.00        0.00      541.51
2024-06-18_08_00_00       beizhai        0.16        3.47       0.042      299.32     1009.48       36.03        0.00        0.00        0.00      546.30
