CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-05-25_00_00_00      badaguan       -3.15        0.96       0.005      288.19     1015.57       99.06        0.00        1.00        1.00        0.00
2024-05-25_00_00_00       beizhai       -1.63        2.34      -0.039      289.41     1015.31       79.01        0.00        0.00        0.00        0.00
2024-05-25_00_00_00    dengzhoulu       -2.49        1.38      -0.005      288.61     1015.51       97.56        0.00        1.00        1.00        0.00
2024-05-25_00_00_00       shangma       -1.04        2.50      -0.001      288.91     1015.64       98.09        0.00        0.85        0.85        0.00
2024-05-25_00_00_00    xingdenglu       -1.45        1.77      -0.013      288.39     1015.53       98.27        0.00        0.14        0.14        0.00
2024-05-25_01_00_00      badaguan       -3.81        1.49       0.009      287.70     1016.16       98.77        0.01        1.00        1.00        0.00
2024-05-25_01_00_00       beizhai       -2.03        2.63      -0.057      289.15     1015.97       81.55        0.00        0.00        0.00        0.00
2024-05-25_01_00_00    dengzhoulu       -2.91        1.60      -0.003      288.24     1016.13       97.36        0.00        1.00        1.00        0.00
2024-05-25_01_00_00       shangma       -1.83        2.47       0.000      288.57     1016.13       97.73        0.00        1.00        1.00        0.00
2024-05-25_01_00_00    xingdenglu       -1.67        1.90      -0.014      288.36     1016.20       98.13        0.00        0.77        0.77        0.00
2024-05-25_02_00_00      badaguan       -4.02        1.51       0.008      287.53     1016.50       98.75        0.01        1.00        1.00        0.00
2024-05-25_02_00_00       beizhai       -2.31        2.82      -0.078      289.41     1016.26       79.78        0.00        0.00        0.00        0.00
2024-05-25_02_00_00    dengzhoulu       -3.04        1.71      -0.002      287.92     1016.44       97.33        0.00        1.00        1.00        0.00
2024-05-25_02_00_00       shangma       -1.47        2.55       0.000      288.48     1016.70       97.90        0.00        1.00        1.00        0.00
2024-05-25_02_00_00    xingdenglu       -2.05        2.39      -0.014      288.51     1016.53       97.45        0.00        0.44        0.44        0.00
2024-05-25_03_00_00      badaguan       -3.99        1.43       0.011      287.70     1017.03       98.83        0.04        1.00        1.00        0.00
2024-05-25_03_00_00       beizhai       -2.50        3.37      -0.071      289.65     1016.43       78.82        0.00        0.00        0.00        0.00
2024-05-25_03_00_00    dengzhoulu       -2.96        1.84      -0.002      287.95     1016.92       97.50        0.00        1.00        1.00        0.00
