CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-07_00_00_00      badaguan       -2.74        3.38       0.021      290.61     1015.82       96.08        0.00        0.00        1.00        0.00
2024-06-07_00_00_00       beizhai       -2.63        4.02      -0.094      289.63     1015.82       81.71        0.00        0.00        1.00        0.00
2024-06-07_00_00_00    dengzhoulu       -2.27        2.80       0.005      290.46     1015.77       95.61        0.00        0.00        1.00        0.00
2024-06-07_00_00_00       shangma       -1.96        4.62       0.000      290.19     1015.61       95.32        0.00        0.00        1.00        0.00
2024-06-07_00_00_00    xingdenglu       -3.33        3.44      -0.047      290.53     1015.69       89.25        0.00        0.00        1.00        0.00
2024-06-07_01_00_00      badaguan       -2.90        3.43       0.023      290.60     1015.78       96.37        0.00        0.00        1.00        0.00
2024-06-07_01_00_00       beizhai       -3.29        3.82      -0.110      289.76     1015.58       79.32        0.00        0.00        1.00        0.00
2024-06-07_01_00_00    dengzhoulu       -2.48        2.79       0.005      290.43     1015.70       95.49        0.00        0.00        1.00        0.00
2024-06-07_01_00_00       shangma       -1.78        4.35       0.000      290.03     1015.40       96.72        0.00        0.00        1.00        0.00
2024-06-07_01_00_00    xingdenglu       -3.82        3.36      -0.056      290.62     1015.43       86.64        0.00        0.00        1.00        0.00
2024-06-07_02_00_00      badaguan       -2.42        3.70       0.023      290.58     1015.63       97.15        0.00        0.00        1.00        0.00
2024-06-07_02_00_00       beizhai       -2.45        3.82      -0.081      289.22     1015.64       89.77        0.00        0.00        1.00        0.00
2024-06-07_02_00_00    dengzhoulu       -1.91        2.96       0.006      290.40     1015.61       96.72        0.00        0.00        1.00        0.00
2024-06-07_02_00_00       shangma       -1.75        4.44       0.000      289.91     1015.28       96.82        0.00        0.00        1.00        0.00
2024-06-07_02_00_00    xingdenglu       -2.73        3.42      -0.041      290.35     1015.58       91.59        0.00        0.00        1.00        0.00
2024-06-07_03_00_00      badaguan       -3.02        4.00       0.026      290.54     1015.47       97.74        0.00        0.01        1.00        0.00
2024-06-07_03_00_00       beizhai       -3.22        4.23      -0.088      288.86     1015.31       95.88        0.00        0.00        1.00        0.00
2024-06-07_03_00_00    dengzhoulu       -2.19        3.12       0.007      290.24     1015.47       98.46        0.00        0.00        1.00        0.00
2024-06-07_03_00_00       shangma       -1.33        4.42      -0.000      289.40     1015.34       97.96        0.00        0.00        0.89        0.00
2024-06-07_03_00_00    xingdenglu       -2.70        3.94      -0.032      290.12     1015.42       95.35        0.00        0.13        1.00        0.00
2024-06-07_04_00_00      badaguan       -2.97        3.24       0.021      290.57     1015.75       97.78        0.00        0.00        1.00        0.00
