CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-02_00_00_00      badaguan        1.14        2.93       0.018      291.61     1014.82       69.07        0.00        0.00        1.00        0.00
2024-06-02_00_00_00       beizhai       -1.36        1.63      -0.179      291.36     1015.14       43.69        0.00        0.00        1.00        0.00
2024-06-02_00_00_00    dengzhoulu        0.07        2.23       0.004      292.45     1014.85       52.22        0.00        0.00        1.00        0.00
2024-06-02_00_00_00       shangma       -0.99        3.42       0.002      293.00     1014.50       42.57        0.00        0.00        1.00        0.00
2024-06-02_00_00_00    xingdenglu       -2.27        2.43      -0.056      292.55     1014.83       51.94        0.00        0.00        1.00        0.00
2024-06-02_01_00_00      badaguan        1.97        3.66       0.021      291.40     1014.94       76.60        0.00        0.00        1.00        0.00
2024-06-02_01_00_00       beizhai       -0.70        1.79      -0.147      291.10     1015.32       47.69        0.00        0.00        1.00        0.00
2024-06-02_01_00_00    dengzhoulu        0.70        2.51       0.008      292.12     1015.04       63.84        0.00        0.00        1.00        0.00
2024-06-02_01_00_00       shangma       -0.83        3.16       0.001      292.42     1014.73       47.39        0.00        0.00        1.00        0.00
2024-06-02_01_00_00    xingdenglu       -1.71        2.55      -0.047      292.17     1015.04       57.78        0.00        0.00        1.00        0.00
2024-06-02_02_00_00      badaguan        1.75        2.27       0.009      291.38     1014.84       75.83        0.00        0.00        1.00        0.00
2024-06-02_02_00_00       beizhai       -0.80        1.86      -0.167      290.62     1015.18       55.88        0.00        0.00        1.00        0.00
2024-06-02_02_00_00    dengzhoulu        0.58        1.48       0.000      291.81     1014.88       64.62        0.00        0.00        1.00        0.00
2024-06-02_02_00_00       shangma       -0.21        2.80       0.001      292.04     1014.63       51.46        0.00        0.00        1.00        0.00
2024-06-02_02_00_00    xingdenglu       -1.72        2.42      -0.063      291.91     1014.88       64.44        0.00        0.00        1.00        0.00
2024-06-02_03_00_00      badaguan        1.25        2.11       0.007      291.29     1014.83       74.24        0.00        0.00        1.00        0.00
2024-06-02_03_00_00       beizhai       -0.51        1.78      -0.159      290.44     1015.19       55.72        0.00        0.00        1.00        0.00
2024-06-02_03_00_00    dengzhoulu        0.49        1.63      -0.002      291.56     1014.85       61.20        0.00        0.00        1.00        0.00
2024-06-02_03_00_00       shangma       -0.35        2.78       0.002      291.31     1014.47       53.43        0.00        0.00        1.00        0.00
2024-06-02_03_00_00    xingdenglu       -1.66        2.12      -0.072      291.80     1014.83       63.24        0.00        0.00        1.00        0.00
2024-06-02_04_00_00      badaguan        1.23        2.29       0.011      291.36     1014.67       70.04        0.00        0.00        1.00        0.00
2024-06-02_04_00_00       beizhai       -0.50        1.80      -0.170      290.43     1014.94       50.52        0.00        0.00        1.00        0.00
2024-06-02_04_00_00    dengzhoulu        0.51        1.83       0.000      291.56     1014.66       55.71        0.00        0.00        1.00        0.00
2024-06-02_04_00_00       shangma       -0.30        3.09       0.000      291.32     1014.34       49.46        0.00        0.00        1.00        0.00
2024-06-02_04_00_00    xingdenglu       -1.59        2.24      -0.071      291.84     1014.60       59.15        0.00        0.00        1.00        0.00
2024-06-02_05_00_00      badaguan        1.68        2.54       0.015      291.39     1014.57       66.25        0.00        0.00        1.00        0.00
2024-06-02_05_00_00       beizhai       -0.59        1.82      -0.177      290.39     1014.85       48.00        0.00        0.00        1.00        0.00
2024-06-02_05_00_00    dengzhoulu        0.95        1.97       0.005      291.53     1014.56       50.02        0.00        0.00        1.00        0.00
2024-06-02_05_00_00       shangma        0.01        3.08       0.002      291.25     1014.18       46.24        0.00        0.00        1.00        0.00
2024-06-02_05_00_00    xingdenglu       -1.48        2.28      -0.068      291.70     1014.55       57.52        0.00        0.00        1.00        0.00
2024-06-02_06_00_00      badaguan        2.07        2.61       0.014      291.42     1014.69       64.44        0.00        0.00        1.00       40.67
2024-06-02_06_00_00       beizhai       -0.67        1.68      -0.174      291.08     1014.97       47.41        0.00        0.00        1.00       35.22
2024-06-02_06_00_00    dengzhoulu        1.32        2.07       0.007      291.98     1014.69       45.99        0.00        0.00        1.00       38.05
2024-06-02_06_00_00       shangma        0.68        2.70      -0.001      291.71     1014.34       45.27        0.00        0.00        1.00       34.31
2024-06-02_06_00_00    xingdenglu       -1.51        2.41      -0.066      292.05     1014.66       52.67        0.00        0.00        1.00       36.30
2024-06-02_07_00_00      badaguan        2.25        3.35       0.019      291.91     1014.54       62.82        0.00        0.00        1.00      143.26
2024-06-02_07_00_00       beizhai       -0.55        2.12      -0.085      294.07     1014.85       36.18        0.00        0.00        1.00      149.70
2024-06-02_07_00_00    dengzhoulu        1.86        3.14       0.011      293.62     1014.54       40.28        0.00        0.00        1.00      149.93
2024-06-02_07_00_00       shangma        0.84        3.32      -0.002      294.64     1014.18       36.09        0.00        0.00        1.00      132.52
2024-06-02_07_00_00    xingdenglu       -1.02        2.90      -0.029      293.42     1014.52       44.89        0.00        0.00        1.00      145.37
2024-06-02_08_00_00      badaguan        2.55        4.12       0.023      292.11     1014.26       63.83        0.00        0.00        1.00      461.37
2024-06-02_08_00_00       beizhai       -0.56        2.64      -0.004      295.05     1014.58       34.82        0.00        0.00        1.00      285.19
2024-06-02_08_00_00    dengzhoulu        1.85        3.53       0.012      294.32     1014.29       42.03        0.00        0.00        1.00      464.17
2024-06-02_08_00_00       shangma        1.89        3.22      -0.004      296.55     1014.03       31.71        0.00        0.00        1.00      307.19
2024-06-02_08_00_00    xingdenglu       -0.92        2.95      -0.007      294.88     1014.31       40.28        0.00        0.00        1.00      284.38
2024-06-02_09_00_00      badaguan        2.54        4.59       0.024      291.95     1013.91       68.03        0.00        0.00        1.00      426.36
2024-06-02_09_00_00       beizhai        0.19        3.28       0.035      296.37     1014.20       34.22        0.00        0.00        1.00      503.93
2024-06-02_09_00_00    dengzhoulu        1.54        3.66       0.012      294.03     1013.94       49.45        0.00        0.00        1.00      428.88
2024-06-02_09_00_00       shangma        0.69        3.50      -0.002      298.10     1013.58       29.60        0.00        0.00        1.00      476.94
2024-06-02_09_00_00    xingdenglu       -0.45        3.19      -0.004      296.64     1013.88       37.43        0.00        0.00        1.00      464.65
2024-06-02_10_00_00      badaguan        3.78        6.06       0.035      292.57     1013.69       64.96        0.00        0.00        0.42      858.33
2024-06-02_10_00_00       beizhai       -0.13        3.35       0.024      296.63     1014.00       35.86        0.00        0.00        1.00      508.23
2024-06-02_10_00_00    dengzhoulu        2.77        4.88       0.022      295.50     1013.71       44.47        0.00        0.00        1.00      822.43
2024-06-02_10_00_00       shangma       -1.28        4.58      -0.000      297.22     1013.30       39.56        0.00        0.00        1.00      523.29
2024-06-02_10_00_00    xingdenglu       -0.22        3.13      -0.004      297.51     1013.60       37.30        0.00        0.00        1.00      486.96
2024-06-02_11_00_00      badaguan        3.19        6.11       0.034      292.75     1013.17       66.08        0.00        0.00        1.00      764.29
2024-06-02_11_00_00       beizhai       -0.29        3.66       0.034      298.15     1013.58       34.08        0.00        0.00        1.00      793.31
2024-06-02_11_00_00    dengzhoulu        2.29        5.06       0.021      295.93     1013.22       44.77        0.00        0.00        1.00      764.41
2024-06-02_11_00_00       shangma       -1.61        3.69       0.001      299.75     1012.81       33.05        0.00        0.00        1.00      797.28
2024-06-02_11_00_00    xingdenglu        0.66        3.04       0.014      299.52     1013.09       32.86        0.00        0.00        1.00      878.05
2024-06-02_12_00_00      badaguan        1.72        5.75       0.029      292.52     1012.52       69.00        0.00        0.00        1.00      766.65
2024-06-02_12_00_00       beizhai       -0.30        4.16       0.045      298.71     1013.07       32.97        0.00        0.00        1.00      827.50
2024-06-02_12_00_00    dengzhoulu        1.20        4.98       0.012      295.61     1012.59       47.67        0.00        0.00        1.00      739.16
2024-06-02_12_00_00       shangma       -2.74        5.26       0.001      299.10     1012.05       38.52        0.00        0.00        1.00      797.23
