CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-08_00_00_00      badaguan       -0.60       -0.49       0.006      291.02     1009.29       96.30        0.00        0.53        1.00        0.00
2024-06-08_00_00_00       beizhai       -1.56        2.14      -0.116      289.48     1009.76       87.73        0.00        0.00        0.77        0.00
2024-06-08_00_00_00    dengzhoulu       -0.87       -0.55       0.004      290.90     1009.34       95.60        0.00        0.00        1.00        0.00
2024-06-08_00_00_00       shangma       -0.29        1.08       0.000      291.25     1009.63       93.36        1.33        0.00        1.00        0.00
2024-06-08_00_00_00    xingdenglu       -0.94       -0.22      -0.036      290.92     1009.61       89.32        0.01        0.00        1.00        0.00
2024-06-08_01_00_00      badaguan       -0.76       -0.72      -0.011      291.03     1009.74       95.62        0.01        0.57        1.00        0.00
2024-06-08_01_00_00       beizhai       -0.75        1.79      -0.080      290.76     1010.13       89.58        0.24        0.00        1.00        0.00
2024-06-08_01_00_00    dengzhoulu       -1.06       -0.20      -0.010      291.23     1009.68       90.77        0.02        0.00        1.00        0.00
2024-06-08_01_00_00       shangma       -1.54        1.90       0.002      291.26     1009.35       92.52        0.01        0.00        1.00        0.00
2024-06-08_01_00_00    xingdenglu       -1.98        1.35      -0.045      291.66     1009.59       86.88        0.09        0.00        1.00        0.00
2024-06-08_02_00_00      badaguan       -0.58       -0.31      -0.003      291.03     1010.18       95.82        0.19        0.00        0.09        0.00
2024-06-08_02_00_00       beizhai       -0.81        3.27      -0.081      290.83     1009.68       94.41        0.28        0.00        1.00        0.00
2024-06-08_02_00_00    dengzhoulu       -0.49        0.83      -0.006      291.10     1009.86       92.99        0.15        0.00        0.18        0.00
2024-06-08_02_00_00       shangma       -0.99        5.06       0.001      291.39     1008.62       91.61        1.01        0.00        1.00        0.00
2024-06-08_02_00_00    xingdenglu       -1.52        3.34      -0.028      291.71     1009.41       89.60        0.18        0.22        1.00        0.00
2024-06-08_03_00_00      badaguan       -0.70        2.72       0.019      291.19     1008.36       95.84        0.15        0.00        0.00        0.00
2024-06-08_03_00_00       beizhai       -1.86        2.57      -0.147      289.90     1008.55       96.65        0.05        0.00        0.00        0.00
2024-06-08_03_00_00    dengzhoulu       -0.66        2.60       0.005      291.22     1008.33       94.12        0.07        0.00        0.18        0.00
2024-06-08_03_00_00       shangma       -0.47        5.08      -0.001      291.60     1007.79       92.01        0.06        0.61        0.99        0.00
2024-06-08_03_00_00    xingdenglu       -2.33        2.94      -0.040      291.25     1008.28       94.09        0.06        0.00        0.10        0.00
2024-06-08_04_00_00      badaguan       -2.39        2.78       0.016      291.17     1008.57       96.66        0.00        0.00        0.00        0.00
2024-06-08_04_00_00       beizhai       -2.30        3.27      -0.126      290.69     1008.58       94.32        0.00        0.00        0.00        0.00
2024-06-08_04_00_00    dengzhoulu       -2.05        2.66      -0.001      291.09     1008.53       96.11        0.00        0.00        0.00        0.00
2024-06-08_04_00_00       shangma       -1.25        4.91      -0.001      290.82     1008.11       96.53        0.00        0.00        0.00        0.00
2024-06-08_04_00_00    xingdenglu       -2.86        3.44      -0.049      291.47     1008.36       93.64        0.00        0.00        0.00        0.00
2024-06-08_05_00_00      badaguan       -1.51        3.05       0.020      291.09     1009.07       98.37        0.00        0.00        0.00        0.00
2024-06-08_05_00_00       beizhai       -1.87        2.92      -0.154      290.33     1009.06       95.47        0.00        0.02        0.02        0.00
2024-06-08_05_00_00    dengzhoulu       -1.62        2.67       0.002      290.91     1009.04       98.60        0.00        0.00        0.00        0.00
2024-06-08_05_00_00       shangma       -1.12        5.31      -0.001      290.87     1008.62       96.97        0.00        0.00        0.00        0.00
2024-06-08_05_00_00    xingdenglu       -3.15        3.02      -0.068      291.48     1008.84       94.19        0.00        0.00        0.00        0.00
2024-06-08_06_00_00      badaguan       -0.54        2.90       0.015      291.16     1009.06       98.80        0.00        0.07        0.07      113.55
2024-06-08_06_00_00       beizhai       -1.50        3.51      -0.078      291.81     1009.17       91.64        0.00        0.00        0.00      126.13
2024-06-08_06_00_00    dengzhoulu       -0.41        3.11       0.004      291.47     1009.03       97.49        0.00        0.00        0.00      121.87
2024-06-08_06_00_00       shangma       -0.09        4.88      -0.000      292.00     1008.79       92.91        0.00        0.00        0.00      121.65
2024-06-08_06_00_00    xingdenglu       -2.22        3.70      -0.026      291.88     1008.96       93.50        0.00        0.00        0.00      122.94
2024-06-08_07_00_00      badaguan       -0.33        3.01       0.013      291.09     1009.16       98.79        0.00        0.72        0.72      164.62
2024-06-08_07_00_00       beizhai        0.22        3.57       0.029      292.62     1009.29       87.97        0.00        0.00        0.00      335.97
2024-06-08_07_00_00    dengzhoulu       -0.45        2.92       0.001      291.70     1009.14       95.32        0.00        0.00        0.00      330.75
2024-06-08_07_00_00       shangma        0.76        4.31      -0.004      293.80     1008.83       82.76        0.00        0.00        0.00      330.45
