CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-05-12_00_00_00      badaguan        1.40        2.54       0.011      286.64     1013.15       80.47        0.00        0.00        1.00        0.00
2024-05-12_00_00_00       beizhai       -0.75        1.97      -0.046      283.46     1013.10       61.72        0.00        0.00        1.00        0.00
2024-05-12_00_00_00    dengzhoulu        0.72        1.93       0.005      286.18     1013.11       72.09        0.00        0.00        1.00        0.00
2024-05-12_00_00_00       shangma        1.49        2.28      -0.004      284.16     1013.06       67.46        0.00        0.00        0.00        0.00
2024-05-12_00_00_00    xingdenglu       -1.18        2.03      -0.050      285.74     1013.13       74.54        0.00        0.00        0.90        0.00
2024-05-12_01_00_00      badaguan        1.69        2.95       0.014      286.50     1013.29       80.58        0.00        0.00        0.00        0.00
2024-05-12_01_00_00       beizhai       -0.56        2.13      -0.049      283.02     1013.29       59.85        0.00        0.00        0.00        0.00
2024-05-12_01_00_00    dengzhoulu        0.88        2.07       0.007      285.75     1013.26       75.02        0.00        0.00        0.00        0.00
2024-05-12_01_00_00       shangma        1.71        2.59      -0.003      283.52     1013.15       69.86        0.00        0.00        0.03        0.00
2024-05-12_01_00_00    xingdenglu       -0.88        2.10      -0.042      285.31     1013.33       77.02        0.00        0.00        0.00        0.00
2024-05-12_02_00_00      badaguan        1.86        2.50       0.009      286.49     1013.49       75.65        0.00        0.00        0.00        0.00
2024-05-12_02_00_00       beizhai       -0.73        1.96      -0.079      282.71     1013.56       59.13        0.00        0.00        0.00        0.00
2024-05-12_02_00_00    dengzhoulu        1.12        1.95       0.003      285.49     1013.47       68.00        0.00        0.00        0.00        0.00
2024-05-12_02_00_00       shangma        1.71        2.58      -0.001      282.80     1013.29       69.54        0.00        0.00        0.00        0.00
2024-05-12_02_00_00    xingdenglu       -1.20        2.07      -0.054      285.04     1013.53       76.67        0.00        0.00        0.00        0.00
2024-05-12_03_00_00      badaguan        1.62        2.68       0.013      286.61     1013.50       71.36        0.00        0.00        0.00        0.00
2024-05-12_03_00_00       beizhai       -0.81        1.67      -0.055      282.89     1013.54       52.78        0.00        0.00        0.00        0.00
2024-05-12_03_00_00    dengzhoulu        0.88        2.15       0.005      285.38     1013.49       61.95        0.00        0.00        0.00        0.00
2024-05-12_03_00_00       shangma        1.75        2.20      -0.002      282.25     1013.39       66.73        0.00        0.00        0.00        0.00
2024-05-12_03_00_00    xingdenglu       -1.14        2.06      -0.043      284.92     1013.52       71.05        0.00        0.00        0.00        0.00
2024-05-12_04_00_00      badaguan        1.82        1.62       0.004      286.50     1014.15       70.49        0.00        0.00        0.00        0.00
2024-05-12_04_00_00       beizhai       -0.30        1.43      -0.048      283.10     1014.16       48.35        0.00        0.00        0.00        0.00
2024-05-12_04_00_00    dengzhoulu        1.44        1.55       0.002      285.27     1014.13       57.81        0.00        0.00        0.00        0.00
2024-05-12_04_00_00       shangma        1.41        1.95      -0.001      281.98     1014.09       61.76        0.00        0.00        0.00        0.00
2024-05-12_04_00_00    xingdenglu       -0.67        1.95      -0.028      284.81     1014.20       66.29        0.00        0.00        0.00        0.00
2024-05-12_05_00_00      badaguan        1.74       -0.19      -0.003      287.30     1014.13       58.81        0.00        0.00        0.00        0.00
2024-05-12_05_00_00       beizhai       -0.41        0.39      -0.065      283.54     1014.25       42.28        0.00        0.00        0.00        0.00
2024-05-12_05_00_00    dengzhoulu        1.27       -0.50       0.002      286.10     1014.13       41.87        0.00        0.00        0.00        0.00
2024-05-12_05_00_00       shangma        0.97        1.96       0.000      281.56     1014.03       57.24        0.00        0.00        0.00        0.00
2024-05-12_05_00_00    xingdenglu       -0.52        0.98      -0.029      285.32     1014.22       55.14        0.00        0.00        0.00        0.00
2024-05-12_06_00_00      badaguan        0.35       -1.80      -0.018      287.19     1014.18       59.56        0.00        0.00        0.00       89.61
2024-05-12_06_00_00       beizhai       -0.29       -0.75      -0.140      285.71     1014.29       42.64        0.00        0.00        0.00       93.75
2024-05-12_06_00_00    dengzhoulu        0.59       -1.56      -0.015      286.24     1014.18       42.44        0.00        0.00        0.00       89.88
2024-05-12_06_00_00       shangma        0.40        1.65       0.002      283.33     1014.06       61.72        0.00        0.00        0.00       88.81
2024-05-12_06_00_00    xingdenglu       -0.32        0.42      -0.037      286.70     1014.27       47.65        0.00        0.00        0.00       90.57
2024-05-12_07_00_00      badaguan        0.90       -3.40      -0.022      287.38     1014.86       59.82        0.00        0.00        0.00      311.87
2024-05-12_07_00_00       beizhai        0.79       -2.99      -0.034      288.50     1014.71       38.16        0.00        0.00        0.00      316.67
2024-05-12_07_00_00    dengzhoulu        1.15       -3.39      -0.008      287.87     1014.82       41.93        0.00        0.00        0.00      312.15
2024-05-12_07_00_00       shangma        2.38       -1.38      -0.001      286.34     1014.55       48.77        0.00        0.00        0.00      309.39
2024-05-12_07_00_00    xingdenglu        1.16       -1.86       0.015      287.72     1014.82       46.95        0.00        0.00        0.00      312.21
2024-05-12_08_00_00      badaguan        2.28       -2.40      -0.023      287.89     1014.57       60.03        0.00        0.00        0.00      534.81
2024-05-12_08_00_00       beizhai        0.60       -2.61      -0.028      290.73     1014.46       30.13        0.00        0.00        0.00      540.39
2024-05-12_08_00_00    dengzhoulu        2.50       -2.52      -0.007      289.31     1014.56       37.15        0.00        0.00        0.00      535.33
2024-05-12_08_00_00       shangma        0.97       -1.59      -0.000      289.34     1014.73       41.43        0.00        0.00        0.00      533.02
2024-05-12_08_00_00    xingdenglu        1.54       -1.29       0.021      288.66     1014.67       41.99        0.00        0.00        0.00      535.47
2024-05-12_09_00_00      badaguan        2.30       -3.44      -0.031      288.74     1014.37       55.65        0.00        0.00        0.00      735.35
2024-05-12_09_00_00       beizhai       -0.11       -3.32      -0.035      293.60     1014.30       23.98        0.00        0.00        0.00      739.14
2024-05-12_09_00_00    dengzhoulu        1.97       -3.41      -0.010      290.71     1014.40       32.26        0.00        0.00        0.00      735.54
2024-05-12_09_00_00       shangma       -0.08       -2.31       0.001      291.79     1014.67       32.93        0.00        0.00        0.00      731.13
2024-05-12_09_00_00    xingdenglu        1.40       -2.07       0.018      290.88     1014.52       36.72        0.00        0.00        0.00      734.20
2024-05-12_10_00_00      badaguan        1.82       -3.20      -0.024      290.17     1014.21       50.44        0.00        0.00        0.00      893.69
2024-05-12_10_00_00       beizhai        0.11       -3.71      -0.034      295.41     1014.12       19.95        0.00        0.00        0.00      896.69
2024-05-12_10_00_00    dengzhoulu        1.51       -3.46      -0.008      293.36     1014.25       24.10        0.00        0.00        0.00      893.79
2024-05-12_10_00_00       shangma        0.64       -3.77       0.000      294.22     1014.58       27.44        0.00        0.00        0.00      889.49
2024-05-12_10_00_00    xingdenglu        1.67       -2.63       0.021      293.90     1014.25       29.38        0.00        0.00        0.00      891.99
2024-05-12_11_00_00      badaguan        2.48       -3.48      -0.024      291.09     1014.58       48.98        0.00        0.00        0.00      998.34
2024-05-12_11_00_00       beizhai        1.51       -4.68       0.005      295.84     1014.50       20.97        0.00        0.00        0.00      999.77
2024-05-12_11_00_00    dengzhoulu        2.21       -3.84      -0.007      295.22     1014.60       22.30        0.00        0.00        0.00      998.33
2024-05-12_11_00_00       shangma        0.86       -4.10       0.001      296.33     1014.64       22.84        0.00        0.00        0.00      994.79
2024-05-12_11_00_00    xingdenglu        1.92       -3.57       0.019      295.58     1014.47       26.26        0.00        0.00        0.00      995.84
2024-05-12_12_00_00      badaguan        2.05       -3.45      -0.022      292.17     1014.40       44.71        0.00        0.00        0.00     1041.87
2024-05-12_12_00_00       beizhai        1.93       -4.87       0.007      296.41     1014.41       22.12        0.00        0.00        0.00     1041.81
2024-05-12_12_00_00    dengzhoulu        1.74       -4.08      -0.008      296.95     1014.41       18.27        0.00        0.00        0.00     1042.01
2024-05-12_12_00_00       shangma        1.40       -4.52       0.000      297.78     1014.29       22.19        0.00        0.00        0.00     1034.64
2024-05-12_12_00_00    xingdenglu        1.69       -3.91       0.017      296.61     1014.25       24.88        0.00        0.00        0.00     1038.63
2024-05-12_13_00_00      badaguan        0.67       -3.46      -0.018      292.78     1013.72       44.27        0.00        0.00        0.00     1015.94
2024-05-12_13_00_00       beizhai        1.58       -5.63      -0.005      297.02     1013.82       21.98        0.00        0.00        0.00     1015.10
2024-05-12_13_00_00    dengzhoulu        1.30       -4.06      -0.013      297.83     1013.73       19.79        0.00        0.00        0.00     1015.68
2024-05-12_13_00_00       shangma        3.33       -7.05      -0.001      298.77     1013.59       20.79        0.00        0.00        0.00     1009.76
2024-05-12_13_00_00    xingdenglu        1.05       -3.98       0.005      297.45     1013.55       24.53        0.00        0.00        0.00     1011.35
2024-05-12_14_00_00      badaguan       -2.12        1.82       0.029      290.02     1013.47       54.31        0.00        0.00        0.00      926.90
2024-05-12_14_00_00       beizhai        1.94       -6.23       0.003      297.43     1013.24       21.09        0.00        0.00        0.00      928.32
2024-05-12_14_00_00    dengzhoulu       -0.65       -0.16       0.022      295.38     1013.46       24.20        0.00        0.00        0.00      926.94
2024-05-12_14_00_00       shangma        3.69       -7.24      -0.002      298.20     1013.51       20.27        0.00        0.00        0.00      929.09
2024-05-12_14_00_00    xingdenglu        2.91       -6.01       0.027      297.81     1013.11       23.98        0.00        0.00        0.00      925.16
2024-05-12_15_00_00      badaguan        0.79       -2.32      -0.004      292.57     1013.68       41.93        0.00        0.00        0.00      787.62
2024-05-12_15_00_00       beizhai        2.42       -5.72       0.027      297.05     1013.55       20.05        0.00        0.00        0.00      790.21
2024-05-12_15_00_00    dengzhoulu        3.06       -5.56       0.003      298.09     1013.52       18.54        0.00        0.00        0.00      788.23
2024-05-12_15_00_00       shangma        3.54       -7.16      -0.001      297.76     1013.76       20.99        0.00        0.00        0.00      790.78
2024-05-12_15_00_00    xingdenglu        2.19       -6.14       0.017      297.39     1013.40       23.17        0.00        0.00        0.00      787.74
2024-05-12_16_00_00      badaguan       -2.34        1.14       0.019      289.38     1014.54       59.95        0.00        0.00        0.00      601.74
2024-05-12_16_00_00       beizhai        1.15       -1.19       0.041      295.42     1014.27       23.85        0.00        0.00        0.00      603.85
2024-05-12_16_00_00    dengzhoulu       -1.16       -0.33       0.018      294.32     1014.46       28.10        0.00        0.00        0.00      602.86
2024-05-12_16_00_00       shangma        3.23       -6.96      -0.001      297.15     1014.26       22.14        0.00        0.00        0.00      604.86
2024-05-12_16_00_00    xingdenglu        1.99       -5.36       0.018      296.86     1014.00       23.20        0.00        0.00        0.00      603.25
2024-05-12_17_00_00      badaguan       -1.37        1.68       0.011      288.63     1014.74       65.11        0.00        0.00        0.00      384.35
2024-05-12_17_00_00       beizhai       -0.13        1.73       0.056      293.03     1014.60       32.76        0.00        0.00        0.00      384.81
2024-05-12_17_00_00    dengzhoulu       -1.40        1.77       0.003      292.28     1014.69       34.10        0.00        0.00        0.00      384.72
2024-05-12_17_00_00       shangma        2.95       -6.72      -0.001      296.14     1014.46       23.95        0.00        0.00        0.00      388.09
2024-05-12_17_00_00    xingdenglu        0.80       -2.17       0.018      295.27     1014.37       27.12        0.00        0.00        0.00      385.57
2024-05-12_18_00_00      badaguan       -1.57        1.45       0.005      287.95     1015.37       70.77        0.00        0.00        0.00      158.02
2024-05-12_18_00_00       beizhai       -0.62        2.27       0.022      291.04     1015.34       39.54        0.00        0.00        0.00      157.86
2024-05-12_18_00_00    dengzhoulu       -1.73        1.99      -0.004      290.59     1015.33       43.71        0.00        0.00        0.00      158.36
2024-05-12_18_00_00       shangma        2.32       -5.36      -0.001      294.85     1014.96       26.06        0.00        0.00        0.00      161.92
2024-05-12_18_00_00    xingdenglu       -1.12        1.04      -0.009      292.90     1015.18       36.11        0.00        0.00        0.00      158.44
2024-05-12_19_00_00      badaguan       -1.03        1.65       0.003      287.46     1015.90       75.54        0.00        0.00        0.00        0.00
2024-05-12_19_00_00       beizhai       -0.81        1.78      -0.037      288.12     1015.87       47.50        0.00        0.00        0.00        0.00
2024-05-12_19_00_00    dengzhoulu       -1.24        1.98      -0.003      289.24     1015.86       52.81        0.00        0.00        0.00        0.00
2024-05-12_19_00_00       shangma        0.58       -2.81       0.000      290.96     1015.50       32.67        0.00        0.00        0.00        0.03
2024-05-12_19_00_00    xingdenglu       -1.91        2.07      -0.032      289.99     1015.80       47.34        0.00        0.00        0.00        0.00
2024-05-12_20_00_00      badaguan       -0.18        1.81       0.002      287.17     1016.16       79.48        0.00        0.00        0.00        0.00
2024-05-12_20_00_00       beizhai       -0.83        1.89      -0.046      287.16     1016.17       49.30        0.00        0.00        0.00        0.00
2024-05-12_20_00_00    dengzhoulu       -0.39        2.01      -0.001      288.45     1016.14       60.71        0.00        0.00        0.00        0.00
2024-05-12_20_00_00       shangma       -1.10        2.27       0.002      288.45     1016.09       49.46        0.00        0.00        0.00        0.00
2024-05-12_20_00_00    xingdenglu       -1.30        2.15      -0.021      288.87     1016.12       53.03        0.00        0.00        0.00        0.00
2024-05-12_21_00_00      badaguan       -0.06        1.67       0.001      287.01     1016.35       81.10        0.00        0.00        0.00        0.00
2024-05-12_21_00_00       beizhai       -1.06        1.85      -0.052      286.34     1016.40       52.33        0.00        0.00        0.00        0.00
2024-05-12_21_00_00    dengzhoulu       -0.35        1.84      -0.002      287.95     1016.31       65.38        0.00        0.00        0.00        0.00
2024-05-12_21_00_00       shangma       -0.48        2.43      -0.001      286.77     1016.22       63.20        0.00        0.00        0.00        0.00
2024-05-12_21_00_00    xingdenglu       -1.51        1.98      -0.031      287.74     1016.34       62.88        0.00        0.00        0.00        0.00
2024-05-12_22_00_00      badaguan       -0.59        1.51       0.001      286.78     1016.46       83.65        0.00        0.00        0.00        0.00
2024-05-12_22_00_00       beizhai       -0.89        1.95      -0.048      285.75     1016.47       54.16        0.00        0.00        0.00        0.00
2024-05-12_22_00_00    dengzhoulu       -0.80        1.75      -0.004      287.53     1016.43       68.75        0.00        0.00        0.00        0.00
2024-05-12_22_00_00       shangma       -0.98        2.52       0.000      285.86     1016.27       69.76        0.00        0.00        0.00        0.00
2024-05-12_22_00_00    xingdenglu       -1.73        2.01      -0.035      287.57     1016.40       61.72        0.00        0.00        0.00        0.00
2024-05-12_23_00_00      badaguan       -0.38        1.68       0.003      286.66     1016.68       85.18        0.00        0.00        0.00        0.00
2024-05-12_23_00_00       beizhai       -1.27        2.04      -0.054      285.13     1016.67       55.51        0.00        0.00        0.00        0.00
2024-05-12_23_00_00    dengzhoulu       -0.66        1.88      -0.004      287.19     1016.64       71.65        0.00        0.00        0.00        0.00
2024-05-12_23_00_00       shangma       -1.09        2.81       0.001      285.23     1016.41       73.06        0.00        0.00        0.00        0.00
